FromNode,ToNode,InteractionType
PWY-6519,PWY-4381,interact_with
PWY-6519,PWY0-1507,interact_with
BIOTIN-BIOSYNTHESIS-PWY,PWY-6519,Contains
PWY-6784,,
DTDPRHAMSYN-PWY,,
OANTIGEN-PWY,DTDPRHAMSYN-PWY,Contains
GLUTSYN-PWY,GLNSYN-PWY,interact_with
AMMASSIM-PWY,GLUTSYN-PWY,Contains
PWY-5505,GLUTSYN-PWY,Contains
PWY0-1477,,
GALACTUROCAT-PWY,ENTNER-DOUDOROFF-PWY,interact_with
GALACT-GLUCUROCAT-PWY,GALACTUROCAT-PWY,Contains
P121-PWY,PWY-6126,interact_with
PWY-6277,,
KDOSYN-PWY,KDO-LIPASYN-PWY,interact_with
KDOSYN-PWY,PWY-1269,interact_with
KDOSYN-PWY,NAGLIPASYN-PWY,interact_with
KDOSYN-PWY,NAGLIPASYN-PWY,interact_with
LPSSYN-PWY,KDOSYN-PWY,Contains
KDO-NAGLIPASYN-PWY,KDOSYN-PWY,Contains
RIBOSYN2-PWY,,
PWY-5973,PWY-6282,interact_with
PWY-6284,PWY-5973,Contains
PWY-5084,,
PWY-6507,,
HSERMETANA-PWY,PWY-5344,interact_with
PWY-5345,HSERMETANA-PWY,Contains
PWY-6896,,
GLUTATHIONESYN-PWY,,
PWY-4041,GLUTATHIONESYN-PWY,Contains
PWY0-1182,TRESYN-PWY,interact_with
PWY0-1182,GLYCOLYSIS,interact_with
TRPCAT-PWY,,
PWY-6505,TRPCAT-PWY,Contains
REDCITCYC,ASPARTATESYN-PWY,interact_with
REDCITCYC,AMINO-ACID-BIOSYNTHESIS,interact_with
REDCITCYC,GLUTSYN-PWY,interact_with
PWY0-1329,,
GALACTCAT-PWY,GALDEG-PWY,interact_with
PWY0-981,,
PWY-6944,,
PWY0-1507,PWY-6578,interact_with
PWY0-1507,PWY-6519,interact_with
BIOTIN-BIOSYNTHESIS-PWY,PWY0-1507,Contains
PWY-5499,,
GLUGLNSYN-PWY,GLNSYN-PWY,interact_with
GLUGLNSYN-PWY,TCA-VARIANTS,interact_with
PWY-5505,GLUGLNSYN-PWY,Contains
PWY-5921,GLUTAMATE-SYN,interact_with
PWY-6018,,
PWY-5057,,
PWY-5941,GLYCOLYSIS,interact_with
PWY-5669,PWY-5667,interact_with
PWY-5669,GLYCOLYSIS,interact_with
PHOSLIPSYN-PWY,PWY-5669,Contains
NAD-BIOSYNTHESIS-II,,
PWY-5269,PWY-5667,interact_with
PWY0-1337,FAO-PWY,interact_with
PWY0-1337,FAO-PWY,INCOMING
METSYN-PWY,,
PWY-5481,ANAGLYCOLYSIS-PWY,interact_with
PWY-6190,,
PWY-5651,PWY-5653,interact_with
NADSYN-PWY,PWY-5651,Contains
PWY-5655,PWY-5651,Contains
PWY-101,,
PWY0-1415,PWY-5188,interact_with
PWY-6163,,
ARO-PWY,PWY-6163,Contains
GLUTAMATE-DEG1-PWY,TCA,OUTGOING
OANTIGEN-PWY,,
PWY-5849,,
VALSYN-PWY,ALANINE-VALINESYN-PWY,OUTGOING
VALSYN-PWY,LEUSYN-PWY,interact_with
BRANCHED-CHAIN-AA-SYN-PWY,VALSYN-PWY,Contains
PWY1-3,,
PWY-5041,,
PPGPPMET-PWY,,
PWY-7147,PWY0-1507,interact_with
PWY0-1479,,
PWY-7187,PWY0-162,interact_with
PWY-7187,PWY0-162,interact_with
PWY-7187,PWY-7184,interact_with
PWY0-166,PWY-7187,Contains
PWY-5386,PYRUVDEHYD-PWY,interact_with
PWY0-541,,
CITRULLINE-DEG-PWY,,
PWY-5521,,
HEME-BIOSYNTHESIS-II,PWY-5188,interact_with
HEME-BIOSYNTHESIS-II,PWY-5189,interact_with
PWY-5918,HEME-BIOSYNTHESIS-II,Contains
PWY-5920,HEME-BIOSYNTHESIS-II,Contains
KETOGLUCONMET-PWY,OXIDATIVEPENT-PWY,interact_with
KETOGLUCONMET-PWY,ENTNER-DOUDOROFF-PWY,interact_with
ASPARAGINESYN-PWY,,
PWY0-1325,ASPARAGINESYN-PWY,Contains
PWY-5530,ENTNER-DOUDOROFF-PWY,interact_with
PWY-3982,,
VALDEG-PWY,PANTO-PWY,OUTGOING
PWY-7174,SAM-PWY,interact_with
PWY-7174,NONMEVIPP-PWY,interact_with
PWY-6505,TCA,interact_with
NONMEVIPP-PWY,,
PWY-6932,PWY-5340,OUTGOING
PWY-6932,CYSTSYN-PWY,interact_with
PWY0-166,PWY0-162,interact_with
PWY0-166,PWY0-162,interact_with
PWY0-166,PWY0-162,interact_with
PWY-4621,,
PWY-2161,,
PWY-7176,PWY-7184,interact_with
PWY-7176,PWY-7185,interact_with
PWY-7176,PWY-5686,interact_with
PWY0-162,PWY-7176,Contains
TRPSYN-PWY,SERSYN-PWY,interact_with
TRPSYN-PWY,ARO-PWY,interact_with
TRPSYN-PWY,GLNSYN-PWY,interact_with
ALANINE-VALINESYN-PWY,VALSYN-PWY,interact_with
PWY0-1061,ALANINE-VALINESYN-PWY,Contains
PEPTIDOGLYCANSYN-PWY,ALANINE-VALINESYN-PWY,interact_with
PEPTIDOGLYCANSYN-PWY,ALANINE-VALINESYN-PWY,interact_with
PEPTIDOGLYCANSYN-PWY,UDPNAGSYN-PWY,interact_with
PEPTIDOGLYCANSYN-PWY,PWY-5785,INCOMING
PEPTIDOGLYCANSYN-PWY,GLUTSYN-PWY,interact_with
LPSSYN-PWY,,
GLUCONEO-PWY,,
PWY-7183,,
PWY-5966,FASYN-ELONG-PWY,interact_with
THISYN-PWY,TYRSYN,interact_with
THISYN-PWY,AIR-BIOSYNTHESIS,INCOMING
P381-PWY,PWY-5188,interact_with
PWY-6675,,
PWY0-321,TCA,interact_with
PWY-6147,PWY-6125,interact_with
PWY-6612,PWY-6147,Contains
PWY-5782,,
PWY-6518,,
GLUTORN-PWY,ARGSYN-PWY,interact_with
ARGSYN-PWY,GLUTORN-PWY,Contains
PWY-5189,,
PWY-5920,PWY-5189,Contains
SER-GLYSYN-PWY,,
PYRUVDEHYD-PWY,GLYCOLYSIS,interact_with
PYRUVDEHYD-PWY,TCA,interact_with
PWY-5162,TCA,interact_with
PWY-6505,PWY-5162,Contains
PWY-5655,PWY-5162,Contains
SERDEG-PWY,,
TYRFUMCAT-PWY,PHENYLALANINE-DEG1-PWY,interact_with
TYRFUMCAT-PWY,TCA,interact_with
PWY-6605,PWY-6126,interact_with
PWY-5043,PWY-6605,Contains
PWY66-368,,
PWY-6893,PWY-6890,interact_with
PWY-6893,PWY-6891,interact_with
PWY-6895,PWY-6893,Contains
PWY-5418,CATECHOL-DEGRADATION,interact_with
PWY-7159,PWY-5188,interact_with
PWY-6890,AIR-BIOSYNTHESIS,INCOMING
PWY-6895,PWY-6890,Contains
THISYN-PWY,PWY-6890,Contains
PWY-6012,,
PWY-881,,
PWY-5508,PWY-5507,interact_with
PWY-5508,P381-PWY,interact_with
P381-PWY,PWY-5508,Contains
PWY-5668,PWY-5667,interact_with
PWY-5668,GLYCOLYSIS,interact_with
PHOSLIPSYN-PWY,PWY-5668,Contains
P21-PWY,GLYCOLYSIS,interact_with
ILEUSYN-PWY,HOMOSER-THRESYN-PWY,interact_with
PWY-3001,ILEUSYN-PWY,Contains
BRANCHED-CHAIN-AA-SYN-PWY,ILEUSYN-PWY,Contains
PWY-5028,,
GLYCOLYSIS,FERMENTATION-PWY,interact_with
GLYCOLYSIS,SERSYN-PWY,interact_with
GLYCOLYSIS-E-D,GLYCOLYSIS,Contains
PWY-1882,,
PWY-5340,,
SO4ASSIM-PWY,PWY-5340,Contains
GLYCOLYSIS-E-D,,
PWY-6910,PWY-6893,interact_with
PWY-6897,PWY-6910,Contains
PWY0-1313,,
GLUCUROCAT-PWY,ENTNER-DOUDOROFF-PWY,interact_with
GLUCUROCAT-PWY,GLYCOLYSIS,interact_with
GALACT-GLUCUROCAT-PWY,GLUCUROCAT-PWY,Contains
NADSYN-PWY,,
ASPARAGINE-BIOSYNTHESIS,ASPARTATESYN-PWY,interact_with
PWY0-1325,ASPARAGINE-BIOSYNTHESIS,Contains
PWY0-1305,,
PWY0-662,,
PWY-5686,PWY-7176,interact_with
PWY-5686,PRPP-BIOSYNTHESIS,INCOMING
PWY0-162,PWY-5686,Contains
PWY-3282,,
PWY-1722,PWY-1881,interact_with
PWY-1882,PWY-1722,Contains
PWY-6964,,
PWY-3282,PWY-6964,Contains
TCA,FATTY-ACID-DEGRADATION,INCOMING
TCA,PYRUVDEHYD-PWY,interact_with
PWY-7089,,
ASPARTATESYN-PWY,TCA,interact_with
PWY-5345,ASPARTATESYN-PWY,Contains
THRESYN-PWY,ASPARTATESYN-PWY,Contains
PWY-5347,ASPARTATESYN-PWY,Contains
PWY-3001,ASPARTATESYN-PWY,Contains
PWY-6284,PWY0-1319,interact_with
PWY-6284,PWY0-1319,interact_with
PWY-5964,,
PWY0-1264,,
PWY0-162,ASPARTATESYN-PWY,interact_with
PWY0-162,PWY-7185,interact_with
PWY0-162,PWY-7184,interact_with
PWY0-162,PRPP-BIOSYNTHESIS,INCOMING
PWY0-162,GLNSYN-PWY,interact_with
PWY-5676,,
PWY-5509,PWY-5507,interact_with
PWY-5509,P381-PWY,interact_with
PWY-5507,PWY-5509,Contains
PWY-6019,,
PWY-7097,,
GLYCOGENSYNTH-PWY,,
PWY0-1335,,
CHLOROPHYLL-SYN,PWY-5188,interact_with
12DICHLORETHDEG-PWY,,
PWY0-1221,,
PWY-6788,,
MENAQUINONESYN-PWY,,
PWY-5155,PANTO-PWY,interact_with
PWY-5155,ASPARTATESYN-PWY,interact_with
PANTOSYN-PWY,PWY-5155,Contains
PWY-6897,,
PWY-6717,,
PWY0-1334,,
PWY-4081,,
PWY-6502,PWY-6125,interact_with
PWY-6502,PWY-6125,interact_with
ARO-PWY,NONOXIPENT-PWY,interact_with
PWY-5785,,
PWY-6385,AMMASSIM-PWY,interact_with
PWY-6385,ALANINE-VALINESYN-PWY,interact_with
PWY-6385,UDPNAGSYN-PWY,interact_with
PWY-6385,ALANINE-VALINESYN-PWY,interact_with
PHENYLALANINE-DEG1-PWY,TYRFUMCAT-PWY,interact_with
PWY0-1299,,
PROSYN-PWY,GLUTAMATE-SYN,INCOMING
PWY-6164,NONOXIPENT-PWY,interact_with
PWY-6164,PWY-6163,interact_with
ARO-PWY,PWY-6164,Contains
PWYQT-4429,,
PWY-5505,,
BRANCHED-CHAIN-AA-SYN-PWY,,
COA-PWY,,
PANTOSYN-PWY,COA-PWY,Contains
HOMOCYSDEGR-PWY,SERSYN-PWY,interact_with
HOMOCYSDEGR-PWY,PWY-5344,interact_with
HOMOCYSDEGR-PWY,METHIONINE-DEG1-PWY,interact_with
PWY-6292,HOMOCYSDEGR-PWY,Contains
PWY-5347,TCA,interact_with
PWY-6895,TYRSYN,interact_with
PWY-6895,AIR-BIOSYNTHESIS,INCOMING
PWY-6134,,
PWY-5653,PWY-5651,interact_with
NADSYN-PWY,PWY-5653,Contains
PWY0-501,,
GALACT-GLUCUROCAT-PWY,,
ILEUDEG-PWY,TCA,interact_with
GLYSYN-PWY,SERSYN-PWY,interact_with
SER-GLYSYN-PWY,GLYSYN-PWY,Contains
PWY-5920,GLYCINE-SYN,INCOMING
PWY-6292,SERSYN-PWY,interact_with
PWY-6282,PWY-5973,interact_with
PWY-6282,PWY0-862,interact_with
PWY-6284,PWY-6282,Contains
PWY-6118,GLYCOLYSIS,interact_with
PWY-4041,,
PWY0-163,,
PWY-6038,P2-PWY,interact_with
PWY-6038,TCA,interact_with
PWY-3722,,
PWY-6125,PWY-6620,interact_with
PWY-6125,IMP-BIOSYNTHESIS,INCOMING
SO4ASSIM-PWY,PWY-5344,interact_with
SO4ASSIM-PWY,CYSTSYN-PWY,interact_with
PWY-5345,SO4ASSIM-PWY,Contains
SULFATE-CYS-PWY,SO4ASSIM-PWY,Contains
HISDEG-PWY,,
P163-PWY,,
PWY-6387,GLUTSYN-PWY,interact_with
PWY-6387,ALANINE-VALINESYN-PWY,interact_with
PWY-6387,UDPNAGSYN-PWY,interact_with
PWY-6387,ALANINE-VALINESYN-PWY,interact_with
PWY-6385,PWY-6387,Contains
PEPTIDOGLYCANSYN-PWY,PWY-6387,Contains
PWY-6901,,
PWY-5143,,
PWY-5043,,
GLYCOCAT-PWY,,
PWY-6987,,
PWY-5913,METHIONINE-SYN,interact_with
PWY-5913,LYSINE-SYN,interact_with
PWY-5913,THREONINE-BIOSYNTHESIS,interact_with
PWY-5913,ISOLEUCINE-SYN,interact_with
PWY-5913,ARGININE-SYN,OUTGOING
PWY-5913,PROLINE-SYN,OUTGOING
PWY-5913,PYRUVDEHYD-PWY,interact_with
PWY-5913,HOMOSER-METSYN-PWY,interact_with
PWY-6805,,
PWY-6784,PWY-6805,Contains
PYRIDNUCSAL-PWY,,
DISSULFRED-PWY,,
HOMOSER-THRESYN-PWY,ILEUSYN-PWY,interact_with
HOMOSER-THRESYN-PWY,HOMOSERSYN-PWY,interact_with
THRESYN-PWY,HOMOSER-THRESYN-PWY,Contains
PWY-3001,HOMOSER-THRESYN-PWY,Contains
THRDLCTCAT-PWY,,
HOMOSERSYN-PWY,ASPARTATESYN-PWY,interact_with
PWY-3001,HOMOSERSYN-PWY,Contains
PWY-5347,HOMOSERSYN-PWY,Contains
METSYN-PWY,HOMOSERSYN-PWY,Contains
THRESYN-PWY,HOMOSERSYN-PWY,Contains
PWY-5345,HOMOSERSYN-PWY,Contains
PWY4FS-7,,
PWY-3781,,
P281-PWY,TCA,interact_with
P281-PWY,TCA,interact_with
NAGLIPASYN-PWY,KDOSYN-PWY,interact_with
