OTU_id	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	6	7	8	9
0	1.000	0.710	0.098	-0.061	0.076	0.030	0.003	0.031	-0.049	-0.094	-0.005	-0.071	-0.016	-0.071	-0.013	0.043	-0.038	-0.057	-0.086	-0.037	0.122	0.068	0.002	-0.068	-0.061	0.081	0.001	0.010	0.123	0.044	-0.020	-0.046	-0.050	0.025	0.002	0.058	0.078	-0.050	0.040	-0.011	0.004	0.067	0.006	-0.042	-0.089	0.039	-0.015	0.098	0.108	-0.059
1	0.710	1.000	0.056	-0.051	0.045	0.022	0.040	0.000	-0.032	-0.095	0.035	-0.139	-0.069	-0.061	-0.018	-0.001	0.019	-0.044	-0.069	0.001	0.098	0.055	0.019	-0.014	-0.016	0.013	-0.074	0.059	0.071	-0.001	-0.014	-0.079	-0.098	0.002	0.021	0.021	0.042	-0.083	0.036	-0.017	0.009	0.054	-0.035	0.004	-0.025	0.034	-0.027	0.118	0.108	-0.054
10	0.098	0.056	1.000	-0.549	0.127	0.025	0.025	-0.079	0.007	-0.097	-0.013	-0.075	0.052	-0.019	0.131	0.084	-0.079	-0.079	-0.089	0.075	0.127	-0.048	0.006	-0.054	-0.046	-0.077	-0.067	0.051	0.060	0.024	0.011	-0.084	0.019	0.096	-0.017	-0.054	0.014	0.042	-0.050	-0.017	-0.009	0.027	-0.049	-0.092	-0.001	0.081	0.040	0.010	0.045	-0.040
11	-0.061	-0.051	-0.549	1.000	-0.062	-0.040	-0.003	-0.024	-0.041	0.100	0.024	0.075	-0.024	0.084	-0.064	-0.019	-0.005	0.063	0.036	-0.008	-0.076	0.119	0.020	0.035	0.048	0.054	0.065	-0.019	0.004	0.033	-0.020	0.088	-0.085	-0.039	0.046	0.060	-0.056	-0.081	-0.021	0.002	0.016	-0.026	-0.019	0.058	-0.042	-0.137	-0.059	-0.057	-0.038	0.022
12	0.076	0.045	0.127	-0.062	1.000	0.362	0.082	0.034	-0.107	-0.127	0.007	-0.041	0.054	0.049	0.058	-0.107	-0.037	-0.009	-0.074	0.031	-0.040	0.000	0.033	0.071	-0.032	0.070	-0.159	0.086	0.006	0.019	-0.019	0.006	-0.006	-0.032	-0.053	-0.011	-0.053	0.014	0.128	0.005	-0.120	0.118	0.079	-0.089	0.025	-0.047	-0.053	-0.050	0.054	-0.033
13	0.030	0.022	0.025	-0.040	0.362	1.000	0.006	0.083	-0.036	-0.011	0.025	-0.014	0.013	0.111	-0.050	-0.016	0.061	0.011	0.007	0.004	-0.105	-0.024	-0.024	0.014	0.038	0.038	-0.121	0.009	0.038	-0.071	0.040	0.005	-0.027	-0.086	0.021	0.024	-0.070	-0.077	0.043	-0.037	-0.068	0.145	0.071	-0.044	0.140	-0.043	-0.008	-0.031	0.009	-0.030
14	0.003	0.040	0.025	-0.003	0.082	0.006	1.000	-0.293	-0.111	0.015	-0.019	-0.072	0.010	0.023	0.148	0.010	0.034	0.046	-0.105	-0.031	-0.065	0.008	0.004	-0.032	0.001	-0.023	-0.055	-0.009	-0.017	-0.039	-0.009	0.016	0.008	-0.026	-0.059	0.067	0.013	0.003	0.004	-0.078	0.019	-0.040	-0.022	-0.031	0.052	0.005	-0.003	0.032	-0.000	0.028
15	0.031	0.000	-0.079	-0.024	0.034	0.083	-0.293	1.000	-0.075	-0.023	0.043	0.004	-0.021	-0.028	-0.077	0.124	0.009	-0.102	0.044	0.069	-0.062	0.000	-0.018	0.065	0.120	0.049	0.020	0.036	-0.042	0.013	-0.036	-0.046	0.073	0.080	0.007	-0.085	-0.043	0.014	0.025	0.012	-0.003	0.020	0.069	-0.026	-0.025	-0.002	0.039	-0.058	0.038	-0.025
16	-0.049	-0.032	0.007	-0.041	-0.107	-0.036	-0.111	-0.075	1.000	-0.040	-0.010	0.034	-0.031	0.005	0.033	0.023	0.040	-0.042	-0.050	0.090	0.078	-0.050	0.065	0.035	-0.036	0.049	0.132	0.005	-0.082	-0.066	0.022	0.027	0.064	-0.045	-0.011	-0.008	0.088	0.032	0.007	0.065	-0.014	-0.095	0.019	0.018	0.056	0.005	0.071	-0.018	-0.039	0.028
