OTU_id	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	6	7	8	9
0	1.000	0.841	0.097	-0.057	0.053	0.052	0.007	0.005	-0.080	-0.063	0.034	-0.049	-0.036	-0.095	-0.031	0.097	-0.042	-0.071	-0.120	-0.083	0.091	0.061	-0.015	-0.103	-0.061	0.062	-0.023	-0.055	0.133	0.045	-0.004	-0.026	-0.088	0.069	-0.027	0.067	0.059	-0.049	0.033	-0.011	0.011	0.103	-0.014	-0.008	-0.091	0.029	0.016	0.129	0.163	-0.056
1	0.841	1.000	0.083	-0.020	0.051	0.028	0.019	-0.040	-0.048	-0.089	0.082	-0.128	-0.099	-0.076	-0.012	0.042	0.017	-0.047	-0.123	-0.017	0.105	0.044	0.017	-0.008	-0.033	0.012	-0.059	0.029	0.105	0.051	0.012	-0.061	-0.138	0.013	0.034	0.039	0.102	-0.075	0.052	-0.006	0.006	0.086	-0.019	-0.005	-0.028	-0.002	0.032	0.133	0.191	-0.082
10	0.097	0.083	1.000	-0.825	0.187	0.100	0.069	0.005	-0.048	-0.083	-0.033	-0.084	0.012	-0.066	0.163	0.013	-0.101	-0.039	-0.106	0.056	0.123	-0.040	0.014	-0.078	-0.038	-0.091	-0.061	-0.004	0.038	0.007	0.034	-0.054	0.004	0.091	-0.049	-0.036	-0.004	-0.053	-0.045	-0.017	-0.017	0.009	-0.031	-0.069	-0.010	0.107	0.037	-0.001	0.075	-0.054
11	-0.057	-0.020	-0.825	1.000	-0.164	-0.084	-0.020	-0.037	-0.046	0.109	0.082	0.149	0.007	0.074	-0.086	-0.025	0.133	0.034	0.023	-0.059	-0.098	0.073	0.004	0.058	0.017	0.073	0.051	-0.022	0.003	-0.006	-0.026	0.082	-0.078	-0.085	0.060	0.036	0.024	-0.041	-0.014	-0.005	0.052	-0.023	0.018	0.077	-0.030	-0.140	-0.079	-0.063	-0.042	0.078
12	0.053	0.051	0.187	-0.164	1.000	0.518	0.029	0.031	-0.121	-0.189	-0.036	-0.045	0.028	0.067	0.006	-0.118	-0.099	-0.027	-0.075	0.007	-0.067	-0.041	0.003	0.052	0.088	0.044	-0.200	0.068	0.006	0.023	0.012	-0.035	-0.079	-0.047	-0.017	0.009	-0.128	-0.044	0.106	0.019	-0.139	0.148	0.085	-0.071	0.026	0.036	-0.019	-0.033	0.001	-0.042
13	0.052	0.028	0.100	-0.084	0.518	1.000	0.034	0.104	-0.121	-0.049	0.087	-0.029	-0.026	0.052	-0.064	0.004	0.059	-0.028	0.049	-0.047	-0.102	0.026	-0.015	-0.018	0.069	0.035	-0.134	-0.023	0.087	-0.084	0.042	0.026	-0.153	-0.104	0.017	-0.011	-0.124	-0.125	0.079	0.011	0.020	0.186	0.117	-0.003	0.140	-0.009	0.005	-0.002	-0.031	-0.025
14	0.007	0.019	0.069	-0.020	0.029	0.034	1.000	-0.431	-0.119	-0.017	-0.051	-0.065	-0.014	-0.005	0.112	-0.032	0.063	-0.000	-0.139	-0.074	-0.095	0.009	0.069	-0.008	0.036	-0.009	-0.061	-0.056	-0.026	-0.052	-0.070	0.058	0.022	-0.080	-0.065	0.049	0.019	-0.089	0.025	-0.095	-0.001	-0.011	-0.033	-0.016	0.037	-0.075	-0.093	0.032	0.005	0.076
15	0.005	-0.040	0.005	-0.037	0.031	0.104	-0.431	1.000	-0.103	-0.046	0.050	0.020	-0.037	-0.039	-0.034	0.217	-0.034	-0.065	0.113	0.054	-0.033	-0.040	-0.046	0.069	0.197	0.050	-0.029	0.060	-0.020	0.008	0.007	-0.067	0.063	0.133	0.006	-0.070	-0.072	0.019	-0.018	0.018	0.051	0.072	0.122	-0.007	-0.072	0.100	0.080	-0.089	0.049	-0.030
16	-0.080	-0.048	-0.048	-0.046	-0.121	-0.121	-0.119	-0.103	1.000	-0.051	-0.050	0.027	-0.062	0.007	-0.111	-0.016	0.058	-0.063	-0.055	0.087	0.054	-0.114	0.077	0.065	-0.005	0.014	0.215	-0.084	-0.096	-0.082	-0.003	0.023	0.110	-0.037	0.005	-0.046	0.091	0.085	0.011	0.092	-0.079	-0.167	0.002	0.046	0.008	-0.026	0.124	-0.027	-0.070	0.009
