genes,logFC,logCPM,F,PValue
SK_0001,-0.971634216,6.067082,6.33E+00,6.45E-02
SK_0002,0.215119692,6.101571,1.97E-01,6.83E-01
SK_0003,-0.71457337,5.989997,3.54E+00,1.62E-01
SK_0004,-0.900458916,6.520145,1.98E+00,1.97E-01
SK_0005,-0.79758697,6.170254,3.74E+00,1.40E-01
SK_0006,-0.05974357,6.476681,1.43E-02,9.19E-01
SK_0007,-0.645299925,5.660541,2.63E+00,1.58E-01
SK_0008,0.285974911,5.60361,6.07E-01,5.22E-01
SK_0009,-0.498277732,5.97264,6.97E-01,4.28E-01
SK_0010,-0.477881013,6.908723,1.26E+00,4.65E-01
SK_0011,0.160581705,9.947296,8.57E-02,8.20E-01
SK_0012,-0.326546085,5.698631,5.03E-01,4.99E-01
SK_0013,0.69909486,6.025696,1.03E+00,3.41E-01
SK_0014,0.702596513,6.177847,2.32E+00,1.94E-01
SK_0015,-1.327522721,6.359254,5.32E+00,5.04E-02
SK_0016,-0.760850899,6.310942,2.56E+00,1.76E-01
SK_0017,-0.349191526,6.589884,4.30E-01,5.63E-01
SK_0018,-1.405733729,6.311112,8.01E+00,2.25E-02
SK_0019,-0.756954067,6.04925,4.18E+00,1.46E-01
SK_0020,0.141854288,6.65415,1.06E-01,8.17E-01
SK_0021,-0.307350009,6.068069,6.00E-01,5.55E-01
SK_0022,0.08901031,14.503888,1.76E-01,7.87E-01
SK_0023,-1.063620298,5.684168,7.46E+00,2.62E-02
SK_0024,-0.207033347,6.377583,1.46E-01,7.17E-01
SK_0025,-0.363574952,6.291142,4.89E-01,5.14E-01
SK_0026,-0.189335699,6.332314,1.58E-01,7.37E-01
SK_0027,0.862455354,6.90276,2.50E+00,1.89E-01
SK_0028,-0.898925707,5.976187,3.23E+00,1.11E-01
SK_0029,2.113292314,9.625099,5.20E+00,5.26E-02
SK_0030,-0.794135365,6.131017,3.61E+00,1.37E-01
SK_0031,-0.648846203,6.564404,9.91E-01,3.49E-01
SK_0032,0.316310147,6.326869,2.86E-01,6.07E-01
SK_0033,-0.219088599,6.405142,1.43E-01,7.15E-01
SK_0034,0.99973903,6.351821,3.77E+00,8.86E-02
SK_0035,0.174682146,6.044981,1.08E-01,7.51E-01
SK_0036,-0.54668545,6.344915,1.56E+00,3.35E-01
SK_0037,-0.35975293,5.97509,3.72E-01,5.59E-01
SK_0038,0.593990092,6.193176,1.56E+00,2.74E-01
SK_0039,-0.035316276,6.150604,4.09E-03,9.51E-01
SK_0040,0.125114968,6.00658,7.21E-02,8.07E-01
SK_0041,-0.3739854,6.542899,3.24E-01,5.85E-01
SK_0042,-0.599688063,6.02783,1.38E+00,2.74E-01
SK_0043,-0.312673012,5.82222,3.14E-01,5.91E-01
SK_0044,-0.446009874,6.441046,6.63E-01,4.43E-01
SK_0045,-0.174446078,6.168643,9.20E-02,7.69E-01
SK_0046,-0.454748193,6.525172,4.55E-01,5.19E-01
SK_0047,0.890659015,6.210355,3.38E+00,1.04E-01
SK_0048,-0.612602755,7.533133,1.16E+00,4.03E-01
SK_0049,0.021062278,6.677298,1.42E-03,9.73E-01
SK_0050,-0.007980819,6.040612,2.43E-04,9.88E-01
SK_0051,0.046247195,5.920796,5.59E-03,9.42E-01
SK_0052,0.134548506,6.345531,3.97E-02,8.47E-01
SK_0053,-0.412068133,6.514974,4.52E-01,5.21E-01
SK_0054,0.595254917,6.402462,2.08E+00,3.01E-01
