ID	Definition
hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human) 
hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human) 
hsa00030	Pentose phosphate pathway - Homo sapiens (human) 
hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human) 
hsa00051	Fructose and mannose metabolism - Homo sapiens (human) 
hsa00052	Galactose metabolism - Homo sapiens (human) 
hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human) 
hsa00061	Fatty acid biosynthesis - Homo sapiens (human) 
hsa00062	Fatty acid elongation - Homo sapiens (human) 
hsa00071	Fatty acid degradation - Homo sapiens (human) 
hsa00100	Steroid biosynthesis - Homo sapiens (human) 
hsa00120	Primary bile acid biosynthesis - Homo sapiens (human) 
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human) 
hsa00140	Steroid hormone biosynthesis - Homo sapiens (human) 
hsa00190	Oxidative phosphorylation - Homo sapiens (human) 
hsa00220	Arginine biosynthesis - Homo sapiens (human) 
hsa00230	Purine metabolism - Homo sapiens (human) 
hsa00232	Caffeine metabolism - Homo sapiens (human) 
hsa00240	Pyrimidine metabolism - Homo sapiens (human) 
hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) 
hsa00260	Glycine, serine and threonine metabolism - Homo sapiens (human) 
hsa00270	Cysteine and methionine metabolism - Homo sapiens (human) 
hsa00280	Valine, leucine and isoleucine degradation - Homo sapiens (human) 
hsa00290	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human) 
hsa00310	Lysine degradation - Homo sapiens (human) 
hsa00330	Arginine and proline metabolism - Homo sapiens (human) 
hsa00340	Histidine metabolism - Homo sapiens (human) 
hsa00350	Tyrosine metabolism - Homo sapiens (human) 
hsa00360	Phenylalanine metabolism - Homo sapiens (human) 
hsa00380	Tryptophan metabolism - Homo sapiens (human) 
hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human) 
hsa00410	beta-Alanine metabolism - Homo sapiens (human) 
hsa00430	Taurine and hypotaurine metabolism - Homo sapiens (human) 
hsa00440	Phosphonate and phosphinate metabolism - Homo sapiens (human) 
hsa00450	Selenocompound metabolism - Homo sapiens (human) 
hsa00470	D-Amino acid metabolism - Homo sapiens (human) 
hsa00480	Glutathione metabolism - Homo sapiens (human) 
hsa00500	Starch and sucrose metabolism - Homo sapiens (human) 
hsa00510	N-Glycan biosynthesis - Homo sapiens (human) 
hsa00511	Other glycan degradation - Homo sapiens (human) 
hsa00512	Mucin type O-glycan biosynthesis - Homo sapiens (human) 
hsa00513	Various types of N-glycan biosynthesis - Homo sapiens (human) 
hsa00514	Other types of O-glycan biosynthesis - Homo sapiens (human) 
hsa00515	Mannose type O-glycan biosynthesis - Homo sapiens (human) 
hsa00520	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human) 
hsa00524	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human) 
hsa00531	Glycosaminoglycan degradation - Homo sapiens (human) 
hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human) 
hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human) 
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human) 
hsa00561	Glycerolipid metabolism - Homo sapiens (human) 
hsa00562	Inositol phosphate metabolism - Homo sapiens (human) 
hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human) 
hsa00564	Glycerophospholipid metabolism - Homo sapiens (human) 
hsa00565	Ether lipid metabolism - Homo sapiens (human) 
hsa00590	Arachidonic acid metabolism - Homo sapiens (human) 
hsa00591	Linoleic acid metabolism - Homo sapiens (human) 
hsa00592	alpha-Linolenic acid metabolism - Homo sapiens (human) 
hsa00600	Sphingolipid metabolism - Homo sapiens (human) 
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human) 
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human) 
