catalog,A,counts
Overview,Metabolism,358
Carbohydrate metabolism,Metabolism,349
Energy metabolism,Metabolism,224
Lipid metabolism,Metabolism,104
Nucleotide metabolism,Metabolism,184
Amino acid metabolism,Metabolism,352
Metabolism of other amino acids,Metabolism,66
Glycan biosynthesis and metabolism,Metabolism,61
Metabolism of cofactors and vitamins,Metabolism,205
Metabolism of terpenoids and polyketides,Metabolism,66
Biosynthesis of other secondary metabolites,Metabolism,48
Xenobiotics biodegradation and metabolism,Metabolism,85
Transcription,Genetic Information Processing,9
Translation,Genetic Information Processing,180
"Folding, sorting and degradation",Genetic Information Processing,75
Replication and repair,Genetic Information Processing,139
Membrane transport,Environmental Information Processing,115
Signal transduction,Environmental Information Processing,116
Transport and catabolism,Cellular Processes,17
Cell motility,Cellular Processes,4
Cell growth and death,Cellular Processes,30
Cellular community - eukaryotes,Cellular Processes,7
Cellular community - prokaryotes,Cellular Processes,95
Immune system,Organismal Systems,9
Endocrine system,Organismal Systems,36
Circulatory system,Organismal Systems,8
Digestive system,Organismal Systems,3
Excretory system,Organismal Systems,3
Nervous system,Organismal Systems,7
Sensory system,Organismal Systems,6
Aging,Organismal Systems,28
Environmental adaptation,Organismal Systems,6
Cancers,Human Diseases,29
Immune diseases,Human Diseases,6
Neurodegenerative diseases,Human Diseases,29
Substance dependence,Human Diseases,5
Cardiovascular diseases,Human Diseases,8
Endocrine and metabolic diseases,Human Diseases,13
Infectious diseases,Human Diseases,40
Drug resistance,Human Diseases,56
NOT_ASSIGN,NOT_ASSIGN,3353
