catalog,A,counts
01200 Carbon metabolism [PATH:ko01200],Metabolism,131
01210 2-Oxocarboxylic acid metabolism [PATH:ko01210],Metabolism,29
01212 Fatty acid metabolism [PATH:ko01212],Metabolism,33
01230 Biosynthesis of amino acids [PATH:ko01230],Metabolism,144
01220 Degradation of aromatic compounds [PATH:ko01220],Metabolism,21
00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Metabolism,43
00020 Citrate cycle (TCA cycle) [PATH:ko00020],Metabolism,46
00030 Pentose phosphate pathway [PATH:ko00030],Metabolism,25
00040 Pentose and glucuronate interconversions [PATH:ko00040],Metabolism,4
00051 Fructose and mannose metabolism [PATH:ko00051],Metabolism,20
00052 Galactose metabolism [PATH:ko00052],Metabolism,7
00053 Ascorbate and aldarate metabolism [PATH:ko00053],Metabolism,1
00500 Starch and sucrose metabolism [PATH:ko00500],Metabolism,7
00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],Metabolism,26
00620 Pyruvate metabolism [PATH:ko00620],Metabolism,53
00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630],Metabolism,36
00640 Propanoate metabolism [PATH:ko00640],Metabolism,34
00650 Butanoate metabolism [PATH:ko00650],Metabolism,31
00660 C5-Branched dibasic acid metabolism [PATH:ko00660],Metabolism,10
00562 Inositol phosphate metabolism [PATH:ko00562],Metabolism,6
00190 Oxidative phosphorylation [PATH:ko00190],Metabolism,76
00195 Photosynthesis [PATH:ko00195],Metabolism,17
00710 Carbon fixation in photosynthetic organisms [PATH:ko00710],Metabolism,23
00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],Metabolism,41
00680 Methane metabolism [PATH:ko00680],Metabolism,26
00910 Nitrogen metabolism [PATH:ko00910],Metabolism,13
00920 Sulfur metabolism [PATH:ko00920],Metabolism,28
00061 Fatty acid biosynthesis [PATH:ko00061],Metabolism,24
00071 Fatty acid degradation [PATH:ko00071],Metabolism,17
00072 Synthesis and degradation of ketone bodies [PATH:ko00072],Metabolism,6
00140 Steroid hormone biosynthesis [PATH:ko00140],Metabolism,1
00561 Glycerolipid metabolism [PATH:ko00561],Metabolism,10
00564 Glycerophospholipid metabolism [PATH:ko00564],Metabolism,27
