ET Within_ET_space
MH0277 ET_F FALSE
MH0087 ET_B TRUE
MH0156 ET_B TRUE
MH0444 ET_B TRUE
MH0333 ET_B TRUE
MH0233 ET_B TRUE
MH0179 ET_B TRUE
MH0074 ET_B TRUE
MH0049 ET_P TRUE
MH0239 ET_B TRUE
MH0020 ET_B TRUE
MH0420 ET_F TRUE
MH0109 ET_B TRUE
MH0061 ET_B TRUE
MH0047 ET_F TRUE
MH0108 ET_P TRUE
MH0110 ET_B TRUE
MH0121 ET_B TRUE
MH0128 ET_B TRUE
MH0292 ET_F TRUE
MH0114 ET_B TRUE
MH0166 ET_B TRUE
MH0178 ET_B TRUE
MH0236 ET_B TRUE
MH0146 ET_B TRUE
MH0186 ET_B TRUE
MH0302 ET_B TRUE
MH0127 ET_B TRUE
MH0305 ET_B TRUE
MH0122 ET_B TRUE
MH0093 ET_B TRUE
MH0182 ET_B TRUE
MH0068 ET_B TRUE
MH0078 ET_P FALSE
MH0227 ET_B TRUE
MH0155 ET_F TRUE
MH0026 ET_P TRUE
MH0088 ET_B TRUE
MH0462 ET_B TRUE
MH0034 ET_P TRUE
MH0432 ET_B TRUE
MH0067 ET_F TRUE
MH0212 ET_B TRUE
MH0084 ET_P TRUE
MH0057 ET_F TRUE
MH0133 ET_B TRUE
MH0072 ET_B TRUE
MH0251 ET_B TRUE
MH0138 ET_P TRUE
MH0051 ET_B TRUE
MH0079 ET_F TRUE
MH0230 ET_B TRUE
MH0134 ET_B TRUE
MH0045 ET_B TRUE
MH0188 ET_F TRUE
MH0003 ET_F TRUE
MH0085 ET_P TRUE
MH0167 ET_B TRUE
MH0180 ET_F TRUE
MH0073 ET_B TRUE
MH0149 ET_F TRUE
MH0037 ET_B TRUE
MH0410 ET_F TRUE
MH0062 ET_F TRUE
MH0101 ET_F TRUE
MH0458 ET_F TRUE
MH0424 ET_B TRUE
MH0150 ET_B TRUE
MH0244 ET_P TRUE
MH0211 ET_B TRUE
MH0041 ET_B TRUE
MH0287 ET_B TRUE
MH0016 ET_B TRUE
MH0199 ET_B TRUE
MH0159 ET_F TRUE
MH0119 ET_P TRUE
MH0427 ET_P TRUE
MH0105 ET_P TRUE
MH0455 ET_B TRUE
MH0161 ET_F TRUE
MH0456 ET_F TRUE
MH0048 ET_F TRUE
MH0089 ET_F TRUE
MH0289 ET_B TRUE
MH0028 ET_F TRUE
MH0131 ET_F TRUE
MH0080 ET_F TRUE
MH0054 ET_F TRUE
MH0021 ET_F TRUE
MH0164 ET_P TRUE
MH0066 ET_F TRUE
MH0414 ET_P TRUE
MH0160 ET_F TRUE
MH0002 ET_F TRUE
MH0064 ET_P TRUE
MH0425 ET_B TRUE
MH0106 ET_P TRUE
MH0046 ET_P TRUE
MH0032 ET_P TRUE
MH0136 ET_B TRUE
MH0044 ET_F TRUE
MH0247 ET_B TRUE
MH0038 ET_F TRUE
MH0162 ET_F TRUE
MH0052 ET_F TRUE
MH0176 ET_F TRUE
MH0433 ET_F TRUE
MH0205 ET_B TRUE
MH0275 ET_B TRUE
MH0139 ET_B TRUE
MH0071 ET_F TRUE
MH0148 ET_F TRUE
MH0024 ET_F TRUE
MH0193 ET_F TRUE
MH0175 ET_F TRUE
MH0158 ET_B TRUE
MH0152 ET_P TRUE
MH0039 ET_B TRUE
MH0095 ET_F TRUE
MH0142 ET_F TRUE
MH0406 ET_F TRUE
MH0137 ET_P TRUE
MH0185 ET_B TRUE
MH0104 ET_F TRUE
MH0076 ET_B TRUE
MH0083 ET_F TRUE
MH0086 ET_F TRUE
MH0453 ET_F TRUE
MH0172 ET_F TRUE
MH0111 ET_F TRUE
MH0243 ET_P TRUE
MH0153 ET_F TRUE
MH0404 ET_P TRUE
MH0177 ET_F TRUE
MH0043 ET_F TRUE
MH0097 ET_F TRUE
MH0036 ET_F TRUE
MH0154 ET_F TRUE
MH0040 ET_F TRUE
MH0055 ET_F TRUE
MH0099 ET_F TRUE
MH0274 ET_B TRUE
MH0187 ET_P TRUE
MH0443 ET_F TRUE
MH0151 ET_P TRUE
MH0403 ET_F TRUE
MH0092 ET_B TRUE
MH0189 ET_F TRUE
MH0014 ET_F TRUE
MH0441 ET_F TRUE
MH0203 ET_F TRUE
MH0130 ET_P TRUE
MH0123 ET_B TRUE
MH0313 ET_P TRUE
MH0170 ET_B TRUE
MH0135 ET_F TRUE
MH0431 ET_F TRUE
MH0094 ET_B TRUE
