koid	org	name	op	definition	source
KO00001	224324	glnBA	aq_109,aq_111		10692367
KO00002	62977	benPK	ACIAD_RS06620,ACIAD_RS06625	benzoate catabolism	11932465
KO00003	62977	areCBA	ACIAD_RS06600,ACIAD_RS06605,ACIAD_RS06610	catabolism of benzyl esters into benzoates	12957953
KO00004	62977	benABCDE	ACIAD_RS06635,ACIAD_RS06640,ACIAD_RS06645,ACIAD_RS06650,ACIAD_RS06655	benzoate degradation	12603735
KO00005	62977	catBCIJFD	ACIAD_RS06680,ACIAD_RS06685,ACIAD_RS06690,ACIAD_RS06695,ACIAD_RS06700,ACIAD_RS06705	benzoate degradation	12603735
KO00006	62977	catA	ACIAD_RS06660	benzoate degradation	12603735
KO00007	62977	salAR	ACIAD_RS06580,ACIAD_RS06585	catabolism of salicylate esters	10715011
KO00008	62977	salDE	ACIAD_RS06590,ACIAD_RS06595	catabolism of salicylate esters	10715011
KO00009	62977	rubA-rubB-estB-oxyR	ACIAD_RS04900,ACIAD_RS04905,ACIAD_RS04910,ACIAD_RS04915	alkane degradation	10400587
KO00011	103690	nir	PCC7120DELTA_RS04950,PCC7120DELTA_RS04955,PCC7120DELTA_RS04960,PCC7120DELTA_RS04965,PCC7120DELTA_RS04970,PCC7120DELTA_RS04975	nitrate assimilation	12923076
KO00013	103690	coxBACI	PCC7120DELTA_RS06615,PCC7120DELTA_RS06620,PCC7120DELTA_RS06625	cytochrome c oxidase	11948164 12603731
KO00014	103690	coxBACII	PCC7120DELTA_RS14410,PCC7120DELTA_RS14415,PCC7120DELTA_RS14420	cytochrome c oxidase	11948164 12603731
KO00015	103690	cydAB	PCC7120DELTA_RS21830,PCC7120DELTA_RS21835	cytochrome D ubiquinol oxidase	11948164
KO00016	176299	chvE-gguA-gguB	Atu2346,Atu2347,Atu2348	sugar-transporter	11514518
KO00017	176299	repABC	Atu5000,Atu5001,Atu5002	replication and partitioning	12828641
KO00018	176299	celABC	Atu3307,Atu3308,Atu3309	cellulose synthesis	10376842
KO00019	176299	celDE	Atu3302,Atu3303	cellulose synthesis	10376842
KO00020	176299	virH	Atu6150,Atu6151	virulence	9791116 10564493
KO00021	176299	glg	Atu4074,Atu4075,Atu4076,Atu4077,Atu4078	glygogen metabolism	9851999
KO00022	176299	hrcA-grpE	Atu0328,Atu0329	heat shock	10601208
KO00023	176299	acc	Atu6138,Atu6139,Atu6140,Atu6141,Atu6142,Atu6143,Atu6144,Atu6145	agrocinopines A+B and agrocin 84	9393724
KO00024	176299	virE	Atu6189,Atu6190	virulence	10209751
