geneID,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
"1,1",0.139694558,0.022320175,0.062802995,0.021963599,0.022282242,0.215326723,0.018443354,0.03464862,0.055762505,0.275565401,0.095205942,0.007601909,0.028381977
"1,3",0.103320098,0.009256689,0.14662861,0.009842021,0.009811849,0.330127083,0.009932536,0.04767738,0.068031234,0.209536683,0.037575882,0.009890296,0.00836964
"1,5",0.032955901,0.008215671,0.149187133,0.016574277,0.008420752,0.375192652,0.025622701,0.037026449,0.093560455,0.213607438,0.024193348,0.007842796,0.007600428
"1,7",0.048886363,0.006250659,0.128528078,0.007469157,0.008248292,0.344061581,0.010117046,0.038640438,0.11899099,0.203606285,0.04421155,0.006010474,0.034979086
"1,9",0.079224771,0.006628114,0.145615894,0.008619442,0.006107127,0.334838407,0.017238884,0.032312777,0.070339047,0.198443985,0.043502423,0.022298248,0.034830882
"1,11",0.115713294,0.010511644,0.154430472,0.010414257,0.010414257,0.352952634,0.010055145,0.02852204,0.045942031,0.206988691,0.038753698,0.00817437,0.007127467
"1,13",0.132904434,0.018992389,0.120454271,0.01271596,0.009097499,0.335604688,0.010523136,0.031780838,0.080294793,0.207273167,0.0131509,0.008674641,0.018533285
"1,15",0.104163982,0.013426908,0.158240677,0.029712599,0.011997516,0.350072055,0.0211011,0.026256283,0.062149243,0.197068576,0.014604398,0.005377793,0.005828871
"1,17",0.116313054,0.007415852,0.118253424,0.012666978,0.013976728,0.357161481,0.012782187,0.030354663,0.063977637,0.209190077,0.015147013,0.004869116,0.037891788
"1,19",0.046845791,0.007119362,0.164624654,0.007829344,0.012414916,0.394443902,0.011848233,0.033069533,0.054355968,0.222211366,0.014544862,0.006728546,0.023963524
"1,21",0.079898865,0.009841381,0.11830633,0.018157802,0.018531956,0.327327974,0.005192803,0.057205864,0.095142802,0.18917448,0.061009762,0.014484291,0.005725688
"1,23",0.035327074,0.007708173,0.178919501,0.016321379,0.006957057,0.39895952,0.023155302,0.0342004,0.066824688,0.204882253,0.009401262,0.008576266,0.008767123
