subnetwork,phenotype,statistics,pvalue,nodes,edges,weight1,weight2,genes
Parkinsons disease - Homo sapiens (human),A,-15.6503553, 0.0448902,12,11, 1.2407407, 1.6340580,27429; 292; 293; 54205; 7314; 7317; 7318; 7332; 7416; 7417; 7419; 9246
Synaptic Long Term Potentiation,A,-12.6655979, 0.0487106,13,20, 1.2788462, 1.9321267,2907; 3708; 3845; 468; 5573; 5579; 5605; 5894; 5908; 6195; 801; 805; 808
Fatty acid metabolism - Homo sapiens (human),B, 21.4718529, 0.0097431,6,14, 7.6666667, 1.4130435,10449; 3028; 3030; 3032; 34; 37
Purine metabolism - Homo sapiens (human),B,-9.4564069, 0.0469442,6,5, 0.5694444, 0.8174603,22978; 2987; 3251; 4860; 5142; 9583
"Valine, leucine and isoleucine degradation - Homo sapiens (human)",B, 22.6317144, 0.0097431,5,5, 7.2000000, 1.4086957,10449; 3028; 3030; 3032; 34
Wnt signaling pathway - Homo sapiens (human),B,-15.6359925, 0.0256864,13,13, 1.0512821, 1.5886288,1452; 1487; 1488; 1499; 387; 4609; 51176; 5616; 5663; 57680; 6093; 894; 896
Adherens junction - Homo sapiens (human),B,-12.2854817, 0.0363153,16,28, 0.8177083, 0.9679878,1460; 1495; 1499; 2534; 387; 51176; 52; 5879; 5880; 60; 71; 7414; 7454; 81; 87; 8826
Tight junction - Homo sapiens (human),B, 28.2895245, 0.0079717,10,17, 2.0200000, 1.5160000,1019; 103910; 10627; 387; 4627; 5579; 5583; 60; 71; 8531
Gap junction - Homo sapiens (human),B, 12.1572939, 0.0363153,8,6, 2.0937500, 1.3750000,112; 2771; 2778; 3708; 5579; 5604; 5616; 5894
Antigen processing and presentation - Homo sapiens (human),B,-150193270467245.0000000,0.0000000,6,5, 0.9861111, 1.0000000,3105; 3106; 3107; 3133; 3134; 3135
Antigen processing and presentation - Homo sapiens (human),B,-150193270467245.0000000,0.0000000,6,5, 0.9861111, 1.0000000,3105; 3106; 3107; 3133; 3134; 3135
Antigen processing and presentation - Homo sapiens (human),B,-150193270467245.0000000,0.0000000,6,5, 0.9861111, 1.0000000,3105; 3106; 3107; 3133; 3134; 3135
Antigen processing and presentation - Homo sapiens (human),B,-150193270467245.0000000,0.0000000,6,5, 0.9861111, 1.0000000,3105; 3106; 3107; 3133; 3134; 3135
Antigen processing and presentation - Homo sapiens (human),B,-150193270467245.0000000,0.0000000,6,5, 0.9861111, 1.0000000,3105; 3106; 3107; 3133; 3134; 3135
Jak-STAT signaling pathway - Homo sapiens (human),B, 9.7509647, 0.0451727,16,35, 1.1607143, 0.9037162,10379; 2057; 3561; 3563; 3575; 3716; 4609; 5292; 5296; 5781; 6772; 6777; 6778; 8835; 894; 896
Jak-STAT signaling pathway - Homo sapiens (human),B, 9.4598257, 0.0469442,6,5, 1.3571429, 1.0135135,4609; 5292; 6772; 8835; 894; 896
Natural killer cell mediated cytotoxicity - Homo sapiens (human),B, 11.1209004, 0.0380868,11,14, 1.1590909, 0.8580931,2185; 369; 5296; 5336; 5579; 5604; 5781; 5879; 5880; 5894; 7409
Fc epsilon RI signaling pathway - Homo sapiens (human),B, 24.9071249, 0.0097431,13,14, 1.7384615, 0.8403846,1432; 2534; 5296; 5336; 5579; 5604; 5606; 5879; 5880; 5894; 695; 7409; 9846
Fc epsilon RI signaling pathway - Homo sapiens (human),B, 27.3401350, 0.0079717,5,4, 2.0000000, 0.9700000,5296; 5336; 5879; 5880; 695
GnRH signaling pathway - Homo sapiens (human),B, 21.3897234, 0.0097431,15,14, 2.2166667, 1.4579710,112; 1432; 2185; 2778; 3708; 468; 5579; 5604; 5606; 5616; 5894; 801; 805; 808; 818
Parkinsons disease - Homo sapiens (human),B,-13.2490394, 0.0336581,12,11, 1.2407407, 1.6340580,27429; 292; 293; 54205; 7314; 7317; 7318; 7332; 7416; 7417; 7419; 9246
Pancreatic cancer - Homo sapiens (human),B, 17.7119464, 0.0177148,14,20, 1.3673469, 0.9642857,10928; 1147; 369; 3716; 4790; 5604; 5879; 5880; 5894; 5970; 6772; 7423; 8517; 9459
Cell Cycle: G1/S Check point Regulation,B, 23.2526853, 0.0097431,5,4, 3.6000000, 1.1862069,1017; 1019; 1026; 894; 896
Fc Epsilon RI Signaling,B,-9.7343230, 0.0451727,12,17, 0.7954545, 1.0747126,1432; 3635; 5287; 5296; 5604; 5606; 5781; 5879; 5880; 5894; 7409; 9846
Cell cycle,B, 27.2849602, 0.0088574,6,5, 3.8333333, 1.2241379,1017; 1019; 1026; 5111; 894; 896
IL-6 Signaling Pathway,B, 14.0419830, 0.0301151,19,15, 1.2302632, 0.8857510,2185; 2353; 3065; 3315; 3320; 3635; 3716; 5296; 5518; 5520; 5527; 5781; 5879; 5894; 6772; 695; 7409; 9261; 9846
Regulation of Actin Cytoskeleton,B, 31.0015566, 0.0079717,21,25, 1.6111111, 1.0798319,10092; 26999; 2934; 387; 4478; 5216; 5604; 5879; 5880; 5894; 6093; 6548; 7409; 7414; 7430; 7454; 8396; 87; 8874; 9138; 9459
