pathway	gene1	gene2
B Cell	10000	2932
B Cell	10451	29760
B Cell	10451	5879
B Cell	10451	5880
B Cell	10451	5881
B Cell	11261	10725
B Cell	11261	4772
B Cell	11261	4773
B Cell	11261	4775
B Cell	11261	4776
B Cell	207	2932
B Cell	208	2932
B Cell	23533	10000
B Cell	23533	207
B Cell	23533	208
B Cell	25780	3265
B Cell	25780	3845
B Cell	25780	4893
B Cell	29760	695
B Cell	3265	2353
B Cell	3265	3725
B Cell	3635	2213
B Cell	3845	2353
B Cell	3845	3725
B Cell	4067	6850
B Cell	4067	695
B Cell	4067	973
B Cell	4067	974
B Cell	4792	4790
B Cell	4792	5970
B Cell	4793	4790
B Cell	4793	5970
B Cell	4794	4790
B Cell	4794	5970
B Cell	4893	2353
B Cell	4893	3725
B Cell	5290	10000
B Cell	5290	207
B Cell	5290	208
B Cell	5291	10000
B Cell	5291	207
B Cell	5291	208
B Cell	5293	10000
B Cell	5293	207
B Cell	5293	208
B Cell	5294	10000
B Cell	5294	207
B Cell	5294	208
B Cell	5295	10000
B Cell	5295	207
B Cell	5295	208
B Cell	5296	10000
B Cell	5296	207
B Cell	5296	208
B Cell	5336	25780
B Cell	5336	29760
B Cell	5336	5579
B Cell	5530	10725
B Cell	5530	4772
B Cell	5530	4773
B Cell	5530	4775
B Cell	5530	4776
B Cell	5532	10725
B Cell	5532	4772
B Cell	5532	4773
B Cell	5532	4775
B Cell	5532	4776
B Cell	5533	10725
B Cell	5533	4772
B Cell	5533	4773
B Cell	5533	4775
B Cell	5533	4776
B Cell	5534	10725
B Cell	5534	4772
B Cell	5534	4773
B Cell	5534	4775
B Cell	5534	4776
B Cell	5535	10725
B Cell	5535	4772
B Cell	5535	4773
B Cell	5535	4775
B Cell	5535	4776
B Cell	5777	11025
B Cell	5777	6850
B Cell	5777	695
B Cell	5777	933
B Cell	5777	971
B Cell	63928	10725
B Cell	63928	4772
B Cell	63928	4773
B Cell	63928	4775
B Cell	63928	4776
B Cell	6850	29760
B Cell	6850	5336
B Cell	695	5336
B Cell	7409	29760
B Cell	7409	5879
B Cell	7409	5880
B Cell	7409	5881
B Cell	7410	29760
B Cell	7410	5879
B Cell	7410	5880
B Cell	7410	5881
B Cell	8503	10000
B Cell	8503	207
B Cell	8503	208
B Cell	930	10451
B Cell	930	23533
B Cell	930	5290
B Cell	930	5291
B Cell	930	5293
B Cell	930	5294
B Cell	930	5295
B Cell	930	5296
B Cell	930	7409
B Cell	930	7410
B Cell	930	8503
Glycolysis / Gluconeogenesis - Homo sapiens (human)	130589	2538
Glycolysis / Gluconeogenesis - Homo sapiens (human)	130589	2645
Glycolysis / Gluconeogenesis - Homo sapiens (human)	130589	3098
Glycolysis / Gluconeogenesis - Homo sapiens (human)	130589	3099
Glycolysis / Gluconeogenesis - Homo sapiens (human)	130589	3101
Glycolysis / Gluconeogenesis - Homo sapiens (human)	130589	57818
Glycolysis / Gluconeogenesis - Homo sapiens (human)	160287	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	160287	5315
Glycolysis / Gluconeogenesis - Homo sapiens (human)	1737	1738
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2023	441531
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2023	5223
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2023	5224
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2023	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2023	728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2026	441531
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2026	5223
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2026	5224
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2026	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2026	728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2027	441531
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2027	5223
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2027	5224
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2027	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	2027	728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	217	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	218	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	124
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	125
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	126
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	127
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	128
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	130
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	131
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	55902
Glycolysis / Gluconeogenesis - Homo sapiens (human)	219	84532
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	10327
Glycolysis / Gluconeogenesis - Homo sapiens (human)	220	124
