class	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
5745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100533955	43940.2	17512.4	22657.2	26680.8	17462.2	23036.4	12383.7	21869.5	30617.5	31328.8	28908.8	19230.5
5988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5989	0.0	0.0	0.0	0.0	0.0	2834.3	0.0	0.0	0.0	0.0	0.0	0.0
5982	0.0	0.0	0.0	0.0	0.0	0.0	3499.5	2298.6	0.0	2090.2	0.0	0.0
5983	0.0	2488.9	1619.5	0.0	0.0	0.0	0.0	0.0	0.0	2334.8	0.0	0.0
5980	8381.6	6650.0	3900.7	6965.5	0.0	0.0	3221.4	2993.2	0.0	6272.0	3615.0	4527.0
5981	3621.2	0.0	2816.4	0.0	0.0	0.0	4004.4	0.0	0.0	4912.0	0.0	0.0
5986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5987	5470.9	3924.5	8392.9	9760.7	5883.5	6168.3	5343.9	8030.1	0.0	8632.2	9824.8	6748.1
5984	0.0	3266.1	0.0	0.0	0.0	0.0	0.0	2318.0	0.0	5350.9	0.0	1617.2
5985	0.0	0.0	0.0	0.0	3590.1	3764.3	0.0	1700.6	0.0	4784.8	0.0	0.0
10613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1372.8	0.0	0.0
26585	2339.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2233.5	0.0	0.0
101060681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101060682	0.0	0.0	1966.9	5337.1	0.0	0.0	0.0	0.0	0.0	1461.0	0.0	3307.6
101060684	10931.6	16706.8	11618.4	15518.8	7246.2	6236.2	0.0	10565.2	27901.6	5727.3	17004.4	8712.7
6794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5446.2	0.0
6795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6793	6562.6	4606.7	12774.6	3840.8	4861.1	6104.7	4479.3	6483.8	4155.3	3455.0	0.0	8611.0
6790	0.0	0.0	2957.6	0.0	0.0	7819.8	0.0	0.0	0.0	3610.6	0.0	1835.2
6791	0.0	0.0	0.0	0.0	2823.7	0.0	0.0	0.0	0.0	0.0	7053.3	0.0
6799	4022.7	0.0	2513.2	3608.4	2746.4	0.0	6675.6	5336.6	9315.4	5460.0	5227.2	11561.7
56125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
402055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5064.3	5604.7	0.0	0.0	0.0
