ID,NodeType,weight,definition,evidence,is_obsolete,value_colors,label
GO:0000155,molecular_function,1,"Catalysis of the phosphorylation of a histidine residue in response to detection of an extracellular signal such as a chemical ligand or change in environment, to initiate a change in cell state or activity. The two-component sensor is a histidine kinase that autophosphorylates a histidine residue in its active site. The phosphate is then transferred to an aspartate residue in a downstream response regulator, to trigger a response.","[""GOC:bf"",""GOC:mcc"",""PMID:10966457"",""PMID:20223701"",""PMID:9191038""]",false,#FDD17A,phosphorelay sensor kinase activity
GO:0000156,molecular_function,1,"Responds to a phosphorelay sensor to initiate a change in cell state or activity. The activity of the response regulator is regulated by transfer of a phosphate from a histidine residue in the sensor, to an aspartate residue in the response regulator. Many but not all response regulators act as transcriptional regulators to elicit a response.","[""GOC:bf"",""PMID:10966457"",""PMID:11842140""]",false,#FC9854,phosphorelay response regulator activity
GO:0000160,biological_process,1,A conserved series of molecular signals found in prokaryotes and eukaryotes; involves autophosphorylation of a histidine kinase and the transfer of the phosphate group to an aspartate that then acts as a phospho-donor to response regulator proteins.,[""PMID:9191038""],false,#FDC16D,phosphorelay signal transduction system
GO:0000166,molecular_function,1,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.","[""GOC:mah"",""ISBN:0198547684""]",false,#C52C4E,nucleotide binding
GO:0000272,biological_process,1,"The chemical reactions and pathways resulting in the breakdown of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.","[""CHEBI:18154"",""GOC:go_curators""]",false,#B21749,polysaccharide catabolic process
GO:0000287,molecular_function,1,Interacting selectively and non-covalently with magnesium (Mg) ions.,[""GOC:ai""],false,#9E0142,magnesium ion binding
GO:0000976,molecular_function,1,"Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.",[""GOC:txnOH""],false,#B21749,transcription regulatory region sequence-specific DNA binding
GO:0001046,molecular_function,1,"Interacting selectively and non-covalently with a sequence of DNA that is part of a core promoter region. The core promoter is composed of the transcription start site and binding sites for the RNA polymerase and the basal transcription machinery. The transcribed region might be described as a gene, cistron, or operon.","[""GOC:pg"",""GOC:txnOH""]",false,#808080,core promoter sequence-specific DNA binding
GO:0001047,molecular_function,1,Interacting selectively and non-covalently with the regulatory region composed of the transcription start site and binding sites for the basal transcription machinery. Binding may occur as a sequence specific interaction or as an interaction observed only once a factor has been recruited to the DNA by other factors.,[""GOC:txnOH""],false,#808080,core promoter binding
GO:0001067,molecular_function,1,"Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair.",[""GOC:txnOH""],false,#808080,regulatory region nucleic acid binding
