,A01-1,A01-2,A01-3,A01-4,A01-5,A01-6,CK1,CK2,CK3,CK4,CK5,CK6,QC1,QC2,QC3
Lactic acid,46581.42375,42348.888,29207.469,35741.30363,25229.63886,23530.72638,28178.985,33199.40943,44958.297,38214.28725,45744.92371,34517.16971,24917.869,25430.904,26186.75571
Glycolic acid,584.3127903,980.6123876,631.9412557,1077.359275,742.4652076,723.5452653,610.0430271,798.836941,801.5353307,604.8036806,643.7826444,663.9811579,1096.823969,771.6420395,722.6621577
Alanine,17507.89086,47245.101,27053.559,55057.278,31680.95138,50910.0275,12130.269,30178.29375,34524.192,51165.80514,15692.071,9391.489828,31888.708,32140.125,32371.1535
Hydroxylamine,1113.509692,1663.041674,899.7137229,1260.494045,989.8804427,1104.730859,820.650275,807.6692219,444.0736832,968.5834876,1161.607715,490.9907325,1250.90625,1114.590896,917.9956121
Oxalic acid ,32744.889,62320.866,28982.769,28355.75,47284.39629,127035.108,46193.184,155546.649,42168.42987,63608.00343,210053.6206,174526.8004,73200.84,75176.916,0
Heptanoic acid,19327.58475,18405.177,12232.39675,15782.607,17025.64257,16187.82288,10001.076,13974.63842,10307.62806,20160.405,12901.632,8915.351191,15084.01288,16073.112,16826.499
Monomethyl phosphate,6349.471912,4655.142,3842.245271,4745.773196,6130.957484,4908.635997,2278.412641,2678.556773,3263.311746,4097.80993,2595.585641,3393.470933,6305.568261,5904.386455,5388.272711
Valine,12243.261,30165.06343,16099.90313,20937.85371,17614.875,26470.944,14517.18143,34038.77171,21340.85029,51224.538,16993.236,12789.282,22477.062,23507.62338,23686.35075
Urea,7645.899,4910.243782,4798.685625,6292.037875,2954.805,4198.038,5378.827625,4774.62,18932.9085,6260.27125,8359.756375,4622.4,7823.406019,8026.688125,7537.032875
Benzoic acid,1646.4625,1718.816679,1502.766211,1444.761926,1451.86087,1309.093753,1788.516308,1399.947181,1582.195945,1439.867563,1627.546629,1276.707454,2799.767262,2175.25626,2075.787244
Ethanolamine,57586.758,60118.81913,39388.947,34375.35086,53670.836,52236.52475,23799.29875,17398.48425,23205.411,25198.31375,30132.40863,27366.46613,35720.88,36868.73171,37116.11257
Leucine,10799.32541,23798.298,11944.83761,11437.5145,10746.50148,16931.63143,16927.935,43066.23813,23537.967,72545.47914,21029.93971,17079.13821,23440.88138,23177.443,23121.61075
Glycerol,39625.4955,33902.736,30693.699,28766.76463,38542.64343,28398.10314,27149.538,24481.4,30075.453,34171.60657,29704.63343,29320.88829,31914.783,32099.0515,32330.72325
Phosphoric acid,501361.104,533065.44,305520.096,428041.3966,539383.9589,351705.632,179328.576,235807.187,159662.19,269604.309,182670.6079,141441.0583,553044.748,491470.119,448809.146
Isoleucine,13481.037,41096.06563,18349.17829,24411.45314,16960.96882,29091.15457,25747.65175,48475.418,33531.66,66304.96825,25659.26657,16269.70314,28847.307,29957.148,30923.3655
Proline,8692.661714,9245.84325,5587.790056,5774.567769,5439.919575,14446.284,5018.72358,8208.612,6243.462886,11902.038,5815.025128,4657.389,7767.309714,7736.421,7688.592
Maleic acid,1914.503283,2804.563465,1423.714025,2465.795738,2576.761361,1998.437086,1626.413281,2060.043016,1634.704124,2963.793,1730.872024,1872.772946,548.6625608,887.1773984,1457.265176
