term,name,description,score,pvalue,FDR,cluster,enriched,geneIDs
map02020,Two-component system - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02020,0.992481203007519,2.82526342405852E-175,2.11894756804389E-173,133,132/0,XC_3273; XC_3272; XC_1519; XC_4131; XC_2707; XC_2708; XC_4030; XC_4031; XC_4326; XC_2972; XC_1421; XC_1419; XC_3859; XC_3860; XC_3861; XC_2245; XC_2281; XC_2297; XC_3724; XC_3529; XC_3528; XC_3532; XC_3531; XC_3530; XC_0813; XC_0812; XC_3897; XC_0001; XC_2916; XC_3873; XC_3111; XC_0647; XC_0648; XC_4059; XC_4058; XC_1295; XC_2506; XC_1235; XC_3998; XC_3997; XC_2855; XC_3957; XC_0195; XC_0197; XC_0198; XC_1768; XC_1770; XC_0194; XC_2943; XC_0204; XC_0820; XC_1062; XC_1061; XC_2251; XC_1311; XC_1058; XC_1059; XC_3823; XC_3058; XC_2321; XC_1410; XC_3757; XC_1074; XC_2504; XC_2223; XC_1801; XC_1413; XC_1937; XC_2315; XC_0286; XC_0336; XC_0638; XC_2304; XC_2307; XC_2308; XC_2309; XC_2311; XC_2313; XC_2314; XC_2316; XC_2320; XC_2136; XC_0843; XC_2300; XC_2318; XC_1802; XC_1412; XC_2284; XC_2303; XC_1414; XC_2282; XC_2302; XC_2130; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_2233; XC_1186; XC_1185; XC_1187; XC_2045; XC_1183; XC_3197; XC_1184; XC_1188; XC_1190; XC_2253; XC_2333; XC_2335; XC_0486; XC_2332; XC_2456; XC_2457; XC_1792; XC_1793; XC_1794; XC_2564; XC_1885; XC_3762; XC_1454; XC_1300; XC_1884; XC_3763; XC_1455; XC_1301; XC_1883; XC_0828; XC_0626; XC_1005; XC_2231
map02030,Bacterial chemotaxis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02030,0.86,3.52434740755524E-42,1.32163027783321E-40,50,43/89,XC_2297; XC_3724; XC_3058; XC_2321; XC_1410; XC_3757; XC_1074; XC_2504; XC_2223; XC_1801; XC_1413; XC_1937; XC_2315; XC_0286; XC_0336; XC_0638; XC_2304; XC_2307; XC_2308; XC_2309; XC_2311; XC_2313; XC_2314; XC_2316; XC_2320; XC_2136; XC_0843; XC_2300; XC_2318; XC_1802; XC_1412; XC_2284; XC_2303; XC_1414; XC_2282; XC_2302; XC_2130; XC_3059; XC_2323; XC_2163; XC_1409; XC_1290; XC_2233
map02025,Biofilm formation - Pseudomonas aeruginosa - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02025,0.6,7.5447226009545E-11,1.88618065023863E-09,20,12/120,XC_2281; XC_2506; XC_1186; XC_1185; XC_1187; XC_1183; XC_3197; XC_1184; XC_1190; XC_2253; XC_0486; XC_2231
map00190,Oxidative phosphorylation - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00190,0.25,6.23043141006684E-08,1.16820588938753E-06,52,13/119,XC_3897; XC_1792; XC_1793; XC_1794; XC_1885; XC_3762; XC_1454; XC_1300; XC_1884; XC_3763; XC_1455; XC_1301; XC_1883
map04932,Non-alcoholic fatty liver disease (NAFLD) - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04932,1,5.88979830013776E-05,0.000803154313655149,4,4/128,XC_1792; XC_1793; XC_1794; XC_2564
map05012,Parkinson disease - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05012,1,5.88979830013776E-05,0.000803154313655149,4,4/128,XC_1792; XC_1793; XC_1794; XC_2564
map02026,Biofilm formation - Escherichia coli - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02026,0.454545454545455,9.08324476537085E-05,0.000973204796289734,11,5/127,XC_2281; XC_1295; XC_2506; XC_0486; XC_2231
map05010,Alzheimer disease - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05010,0.8,0.000102762149910029,0.000963395155406526,5,4/128,XC_1792; XC_1793; XC_1794; XC_2564
map04714,Thermogenesis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04714,0.571428571428571,0.000252864106487383,0.00210720088739485,7,4/128,XC_3897; XC_1792; XC_1793; XC_1794
map01503,Cationic antimicrobial peptide (CAMP) resistance - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01503,0.3125,0.000362389752347777,0.00271792314260833,16,5/127,XC_4030; XC_4031; XC_2972; XC_2916; XC_0828
map05016,Huntington disease - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05016,0.444444444444444,0.000514726692355506,0.00350950017515118,9,4/128,XC_1792; XC_1793; XC_1794; XC_2564
map04724,Glutamatergic synapse - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04724,1,0.000561465940024015,0.00323922657706163,3,3/129,XC_1768; XC_1770; XC_0194
map04727,GABAergic synapse - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04727,1,0.000561465940024015,0.00323922657706163,3,3/129,XC_1768; XC_1770; XC_0194
map04260,Cardiac muscle contraction - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04260,1,0.000561465940024015,0.00323922657706163,3,3/129,XC_1792; XC_1793; XC_1794
map05111,Biofilm formation - Vibrio cholerae - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05111,0.1875,0.000916963016282406,0.00458481508141203,32,6/126,XC_2281; XC_2506; XC_2251; XC_1311; XC_2253; XC_0486
map04217,Necroptosis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map04217,0.6,0.00147637610723453,0.00671080048742969,5,3/129,XC_1768; XC_1770; XC_0194
map05152,Tuberculosis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map05152,0.6,0.00147637610723453,0.00671080048742969,5,3/129,XC_2707; XC_2708; XC_2564
map02024,Quorum sensing - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02024,0.146341463414634,0.0026997046652583,0.0112487694385762,41,6/126,XC_3528; XC_1295; XC_2333; XC_2335; XC_0486; XC_2332
map00630,Glyoxylate and dicarboxylate metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00630,0.161290322580645,0.0042120525631406,0.016626523275555,31,5/127,XC_1768; XC_1770; XC_0194; XC_2943; XC_0204
map02040,Flagellar assembly - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map02040,0.142857142857143,0.00649044883870669,0.0243391831451501,35,5/127,XC_2245; XC_2281; XC_2297; XC_3724; XC_2231
map00220,Arginine biosynthesis - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00220,0.230769230769231,0.0114795844562499,0.0409985159151782,13,3/129,XC_1768; XC_1770; XC_0194
map00910,Nitrogen metabolism - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map00910,0.2,0.0157064216805966,0.0535446193656704,15,3/129,XC_1768; XC_1770; XC_0194
map01110,Biosynthesis of secondary metabolites - Reference pathway,http://www.genome.jp/kegg-bin/show_pathway?map01110,0.011070110701107,0.0158013274814778,0.051526067874384,271,3/129,XC_3897; XC_2943; XC_0204
