term,name,description,score,pvalue,FDR,cluster,enriched,geneIDs
map00790,,,0.0769230769230769,0.205585906050865,0.250441012825599,26,2/133,A0A0H2X624; A0A0H2XE06
map00250,,,0.125,0.0667847402393007,0.172099138308967,24,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
map02024,,,0.204545454545455,0.000139117026798673,0.00186416815910222,44,9/126,A0A0H2XCJ1; A0A0H2X582; P0C0F7; Q4UU87; Q9L431; Q4UU85; Q9L433; Q4UZF6; A0A0H2X7S0
map00190,,,0.25,6.91014181934783E-07,2.31489750948152E-05,52,13/122,A0A0H2XBX9; A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0; A0A0H2X6N9; A0A0H2XDA2; A0A0H2X5H7; A0A0H2X587; A0A0H2X8J5; A0A0H2XBI2; A0A0H2X5S8; A0A0H2X5J4; A0A0H2X6Y5
map03070,,,0.0158730158730159,0.202033307206651,0.250670955237881,63,1/134,A0A0H2X4B5
map00730,,,0.111111111111111,0.273554880708731,0.298019138333089,9,1/134,A0A0H2X624
map02010,,,0.0727272727272727,0.118884657722866,0.177006045942934,55,4/131,A0A0H2XAJ0; A0A0H2X8M0; A0A0H2XDZ8; A0A0H2XCB8
map00860,,,0.0357142857142857,0.372559771947249,0.378204616976753,28,1/134,A0A0H2XBX9
map05016,,,0.4,0.0015169380281973,0.0078180652222476,10,4/131,A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0; A0A0H2X8L9
map00640,,,0.105263157894737,0.150629953802784,0.203882967773465,19,2/133,A0A0H2XB54; A0A0H2X472
map00720,,,0.0833333333333333,0.191315684444914,0.244155254434462,24,2/133,A0A0H2XB54; A0A0H2X472
map00500,,,0.0487804878048781,0.270889910648993,0.302493733558042,41,2/133,A0A0H2X3T6; A0A0H2X4F1
map00740,,,0.1,0.289205872577437,0.307568150201401,10,1/134,A0A0H2XEH1
map00550,,,0.0476190476190476,0.37356751547526,0.37356751547526,21,1/134,A0A0H2XA24
map01501,,,0.133333333333333,0.114234980656497,0.17394872054512,15,2/133,A0A0H2X5C1; A0A0H2X4B5
map04112,,,0.0909090909090909,0.303221868302602,0.317435393379287,11,1/134,Q4V0S8
map01502,,,0.25,0.0498048288246875,0.145083631793655,8,2/133,A0A0H2XBH1; A0A0H2XA24
map00380,,,0.111111111111111,0.141773585055791,0.197892295807042,18,2/133,A0A0H2XB54; A0A0H2X472
map05134,,,0.333333333333333,0.0335273776181859,0.104480665135742,6,2/133,A0A0H2X9H9; A0A0H2X8L9
map00620,,,0.0588235294117647,0.249559741537898,0.283398350559986,34,2/133,A0A0H2XB54; A0A0H2X472
map04217,,,0.6,0.00269028128097661,0.0116289577951892,5,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
map05200,,,0.0769230769230769,0.326754583502751,0.336808570687451,13,1/134,A0A0H2X8L9
map04626,,,0.222222222222222,0.0585224810108374,0.160041070519433,9,2/133,A0A0H2X9H9; A0A0H2X4B5
map04621,,,0.142857142857143,0.236907738649612,0.273669284302138,7,1/134,A0A0H2X9H9
map00630,,,0.161290322580645,0.0096620124647498,0.0380796961846022,31,5/130,A0A0H2X886; A0A0H2X6K8; A0A0H2X461; A0A0H2XB54; A0A0H2X472
map00900,,,0.153846153846154,0.0954339890788332,0.152239934959091,13,2/133,A0A0H2XB54; A0A0H2X472
map01503,,,0.3125,0.000931550292442829,0.00693487439929662,16,5/130,A0A0H2XDR5; A0A0H2XBW7; A0A0H2X9B2; A0A0H2X9J4; A0A0H2X4B5
map02025,,,0.6,8.49480273408564E-10,5.69151783183738E-08,20,12/123,A0A0H2X9L5; Q4UTR7; A0A0H2X6V6; A0A0H2X567; A0A0H2X5G5; A0A0H2X6S6; A0A0H2X9V7; A0A0H2X4W0; A0A0H2X4W5; A0A0H2X7J2; Q4UZF6; A0A0H2X7H0
map02026,,,0.454545454545455,0.000242478125086541,0.00232086205439975,11,5/130,A0A0H2X9L5; A0A0H2X582; Q4UTR7; Q4UZF6; A0A0H2X7H0
map05111,,,0.1875,0.00258873593317464,0.0123889505373358,32,6/129,A0A0H2X9L5; Q4UTR7; A0A0H2X7T6; A0A0H2X757; A0A0H2X7J2; Q4UZF6
map01212,,,0.0740740740740741,0.212244801753125,0.253935744954631,27,2/133,A0A0H2XB54; A0A0H2X472
map05152,,,0.6,0.00269028128097661,0.0116289577951892,5,3/132,A0A0H2XAJ0; A0A0H2X8M0; A0A0H2X8L9
map04714,,,0.571428571428571,0.000561807830278974,0.00470514057858641,7,4/131,A0A0H2XBX9; A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0
map02040,,,0.142857142857143,0.0144409438187997,0.0537524019921989,35,5/130,A0A0H2X9H9; A0A0H2X9L5; A0A0H2X7X9; A0A0H2XD14; A0A0H2X7H0
map00650,,,0.0833333333333333,0.191315684444914,0.244155254434462,24,2/133,A0A0H2XB54; A0A0H2X472
map00220,,,0.230769230769231,0.0196786365077284,0.0693930866325159,13,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
map00280,,,0.1,0.159275604325361,0.209244421368611,20,2/133,A0A0H2XB54; A0A0H2X472
map05014,,,0.166666666666667,0.215676115722957,0.253514030762073,6,1/134,A0A0H2X8L9
map00362,,,0.105263157894737,0.150629953802784,0.203882967773465,19,2/133,A0A0H2XB54; A0A0H2X472
map00072,,,0.333333333333333,0.0335273776181859,0.104480665135742,6,2/133,A0A0H2XB54; A0A0H2X472
map01524,,,0.111111111111111,0.273554880708731,0.298019138333089,9,1/134,A0A0H2X8L9
map00310,,,0.222222222222222,0.0585224810108374,0.160041070519433,9,2/133,A0A0H2XB54; A0A0H2X472
map00071,,,0.166666666666667,0.0860348374337656,0.140593514830788,12,2/133,A0A0H2XB54; A0A0H2X472
map05132,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X9H9
map05133,,,0.333333333333333,0.13879624833486,0.199985992224421,3,1/134,A0A0H2X4B5
map00910,,,0.2,0.0265152747422584,0.0888261703865655,15,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
map04210,,,0.5,0.108301231747725,0.168748430862734,2,1/134,A0A0H2X8L9
map04214,,,0.333333333333333,0.13879624833486,0.199985992224421,3,1/134,A0A0H2X8L9
map04724,,,1,0.00103881955569437,0.00632735547559295,3,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
map04727,,,1,0.00103881955569437,0.00632735547559295,3,3/132,A0A0H2X886; A0A0H2X6K8; A0A0H2X461
map04932,,,1,0.000133865021520247,0.00256255898338759,4,4/131,A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0; A0A0H2X8L9
map05010,,,0.8,0.000231799692616783,0.00258842990088742,5,4/131,A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0; A0A0H2X8L9
map05012,,,1,0.000133865021520247,0.00256255898338759,4,4/131,A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0; A0A0H2X8L9
map04260,,,1,0.00103881955569437,0.00632735547559295,3,3/132,A0A0H2X6M9; A0A0H2X8C7; A0A0H2X6P0
map05150,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X9J4
map04115,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map04215,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05210,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05222,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05416,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05145,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05161,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05163,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05164,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05167,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05168,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
map05170,,,1,0.0751158287084251,0.15023165741685,1,1/134,A0A0H2X8L9
