XC_3273	A0A0H2XBY2
XC_3272	A0A0H2XAF7
XC_1519	A0A0H2X624
XC_4131	A0A0H2XE06
XC_2707	A0A0H2XAJ0
XC_2708	A0A0H2X8M0
XC_4030	A0A0H2XDR5
XC_4031	A0A0H2XBW7
XC_4326	A0A0H2XEH1
XC_2972	A0A0H2X9B2
XC_1421	A0A0H2X5W2
XC_1419	A0A0H2X5P4
XC_3859	A0A0H2XBU1
XC_3860	A0A0H2XDI0
XC_3861	A0A0H2XBS4
XC_2245	A0A0H2X9H9
XC_2281	A0A0H2X9L5
XC_2297	A0A0H2X7X9
XC_3724	A0A0H2XD14
XC_3529	A0A0H2XAL3
XC_3528	A0A0H2XCJ1
XC_3532	A0A0H2XCE7
XC_3531	A0A0H2XAZ4
XC_3530	Q4UQV0
XC_0813	A0A0H2X606
XC_0812	A0A0H2X4A4
XC_3897	A0A0H2XBX9
XC_0001	Q4V0S8
XC_2916	A0A0H2X9J4
XC_3873	A0A0H2XBH1
XC_3111	A0A0H2XA24
XC_0647	A0A0H2X3J6
XC_0648	A0A0H2X3W2
XC_4059	A0A0H2XDZ8
XC_4058	A0A0H2XCB8
XC_1295	A0A0H2X582
XC_2506	Q4UTR7
XC_1235	A0A0H2X5C1
XC_3998	A0A0H2XDN6
XC_3997	A0A0H2XC43
XC_2855	Q4USS0
XC_3957	A0A0H2XC05
XC_0195	A0A0H2X308
XC_0197	A0A0H2X2J9
XC_0198	A0A0H2X2R9
XC_1768	A0A0H2X886
XC_1770	A0A0H2X6K8
XC_0194	A0A0H2X461
XC_2943	A0A0H2XB54
XC_0204	A0A0H2X472
XC_0820	Q4UYH8
XC_1062	A0A0H2X574
XC_1061	A0A0H2X6L0
XC_2251	A0A0H2X7T6
XC_1311	A0A0H2X757
XC_1058	A0A0H2X6G8
XC_1059	A0A0H2X4J8
XC_3823	A0A0H2XBC7
XC_3058	A0A0H2XBG3
XC_2321	A0A0H2X819
XC_1410	A0A0H2X7H4
XC_3757	A0A0H2XD97
XC_1074	A0A0H2X6I2
XC_2504	A0A0H2XA54
XC_2223	A0A0H2X9G0
XC_1801	A0A0H2X8B0
XC_1413	A0A0H2X5F8
XC_1937	A0A0H2X8P0
XC_2315	A0A0H2X7Q4
XC_0286	A0A0H2X4C1
XC_0336	A0A0H2X4K1
XC_0638	A0A0H2X5B2
XC_2304	A0A0H2X7P4
XC_2307	A0A0H2X7Y9
XC_2308	A0A0H2X9J7
XC_2309	A0A0H2X7P9
XC_2311	A0A0H2X810
XC_2313	A0A0H2X7Z4
XC_2314	A0A0H2X9K2
XC_2316	A0A0H2X815
XC_2320	A0A0H2X7R0
XC_2136	A0A0H2X956
XC_0843	A0A0H2X4C4
XC_2300	A0A0H2X801
XC_2318	A0A0H2X7Z8
XC_1802	A0A0H2X6F3
XC_1412	A0A0H2X7E8
XC_2284	A0A0H2X7M2
XC_2303	A0A0H2X9J3
XC_1414	A0A0H2X5P1
XC_2282	A0A0H2X7W5
XC_2302	A0A0H2X7Y4
XC_2130	A0A0H2X7I5
XC_3059	A0A0H2X9K9
XC_2323	Q4UU97
XC_2163	A0A0H2X7L4
XC_1409	Q4UWU6
XC_1290	A0A0H2X577
XC_2233	A0A0H2X9G9
XC_1186	A0A0H2X6V6
XC_1185	A0A0H2X567
XC_1187	A0A0H2X5G5
XC_2045	A0A0H2X792
XC_1183	A0A0H2X6S6
XC_3197	A0A0H2X9V7
XC_1184	A0A0H2X4W0
XC_1188	A0A0H2X6T2
XC_1190	A0A0H2X4W5
XC_2253	A0A0H2X7J2
XC_2333	P0C0F7,Q4UU87,Q9L431
XC_2335	Q4UU85,Q9L433
XC_0486	Q4UZF6
XC_2332	A0A0H2X7S0
XC_2456	A0A0H2X8F3
XC_2457	A0A0H2XA17
XC_1792	A0A0H2X6M9
XC_1793	A0A0H2X8C7
XC_1794	A0A0H2X6P0
XC_2564	A0A0H2X8L9
XC_1885	A0A0H2X6N9
XC_3762	A0A0H2XDA2
XC_1454	A0A0H2X5H7
XC_1300	A0A0H2X587
XC_1884	A0A0H2X8J5
XC_3763	A0A0H2XBI2
XC_1455	A0A0H2X5S8
XC_1301	A0A0H2X5J4
XC_1883	A0A0H2X6Y5
XC_0828	A0A0H2X4B5
XC_0626	A0A0H2X3T6
XC_1005	A0A0H2X4F1
XC_2231	A0A0H2X7H0
