fromNode,toNode,Confidence,InteractionType,Genes
xcb01120,xcb01120,193,Interact,"XC_0020; XC_0031; XC_0032; XC_0098; XC_0104; XC_0122; XC_0150; XC_0154; XC_0162; XC_0194; XC_0204; XC_0226; XC_0247; XC_0248; XC_0288; XC_0294; XC_0307; XC_0308; XC_0326; XC_0366; XC_0368; XC_0374; XC_0375; XC_0376; XC_0377; XC_0378; XC_0379; XC_0380; XC_0381; XC_0382; XC_0383; XC_0441; XC_0443; XC_0444; XC_0452; XC_0469; XC_0474; XC_0527; XC_0529; XC_0539; XC_0540; XC_0550; XC_0553; XC_0588; XC_0662; XC_0686; XC_0725; XC_0775; XC_0776; XC_0777; XC_0809; XC_0821; XC_0872; XC_0882; XC_0899; XC_0929; XC_0944; XC_0953; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_0990; XC_0991; XC_0992; XC_0993; XC_0994; XC_1063; XC_1064; XC_1103; XC_1109; XC_1138; XC_1166; XC_1223; XC_1227; XC_1253; XC_1267; XC_1270; XC_1306; XC_1334; XC_1342; XC_1372; XC_1385; XC_1386; XC_1387; XC_1404; XC_1452; XC_1519; XC_1552; XC_1568; XC_1569; XC_1578; XC_1587; XC_1701; XC_1702; XC_1742; XC_1744; XC_1768; XC_1770; XC_1780; XC_1821; XC_1933; XC_1952; XC_1973; XC_1974; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2175; XC_2176; XC_2177; XC_2205; XC_2206; XC_2326; XC_2329; XC_2349; XC_2364; XC_2386; XC_2388; XC_2389; XC_2445; XC_2465; XC_2488; XC_2493; XC_2531; XC_2564; XC_2645; XC_2697; XC_2742; XC_2749; XC_2750; XC_2751; XC_2809; XC_2822; XC_2851; XC_2854; XC_2881; XC_2924; XC_2927; XC_2943; XC_2975; XC_3050; XC_3156; XC_3157; XC_3158; XC_3213; XC_3268; XC_3287; XC_3307; XC_3311; XC_3358; XC_3368; XC_3400; XC_3421; XC_3426; XC_3427; XC_3473; XC_3479; XC_3488; XC_3496; XC_3526; XC_3544; XC_3608; XC_3641; XC_3642; XC_3655; XC_3689; XC_3691; XC_3780; XC_3854; XC_3941; XC_4044; XC_4082; XC_4119; XC_4120; XC_4121; XC_4131; XC_4149; XC_4155; XC_4156; XC_4157; XC_4158; XC_4159; XC_4170; XC_4205; XC_4227; XC_4244; XC_4326"
xcb01120,xcb01130,96,Interact,"XC_0020; XC_0031; XC_0032; XC_0098; XC_0162; XC_0204; XC_0441; XC_0443; XC_0444; XC_0469; XC_0474; XC_0527; XC_0529; XC_0539; XC_0540; XC_0550; XC_0553; XC_0588; XC_0662; XC_0686; XC_0725; XC_0775; XC_0872; XC_0882; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_0993; XC_0994; XC_1063; XC_1064; XC_1103; XC_1166; XC_1223; XC_1227; XC_1253; XC_1372; XC_1404; XC_1552; XC_1569; XC_1578; XC_1587; XC_1701; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2206; XC_2326; XC_2329; XC_2349; XC_2364; XC_2389; XC_2445; XC_2465; XC_2493; XC_2531; XC_2645; XC_2742; XC_2749; XC_2750; XC_2751; XC_2809; XC_2822; XC_2881; XC_2943; XC_2975; XC_3050; XC_3213; XC_3268; XC_3287; XC_3307; XC_3358; XC_3400; XC_3421; XC_3488; XC_3544; XC_3608; XC_3655; XC_3689; XC_3691; XC_3854; XC_3941; XC_4082; XC_4149; XC_4170; XC_4205; XC_4244"
xcb01120,xcb01200,86,Interact,"XC_0020; XC_0098; XC_0122; XC_0162; XC_0204; XC_0247; XC_0248; XC_0326; XC_0441; XC_0443; XC_0444; XC_0469; XC_0527; XC_0529; XC_0550; XC_0553; XC_0588; XC_0686; XC_0725; XC_0775; XC_0776; XC_0777; XC_0809; XC_0821; XC_0872; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_1063; XC_1064; XC_1166; XC_1223; XC_1404; XC_1452; XC_1578; XC_1587; XC_1821; XC_1933; XC_1952; XC_1973; XC_1974; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2205; XC_2326; XC_2329; XC_2364; XC_2465; XC_2531; XC_2645; XC_2742; XC_2749; XC_2750; XC_2751; XC_2822; XC_2881; XC_2943; XC_2975; XC_3213; XC_3268; XC_3287; XC_3307; XC_3358; XC_3400; XC_3479; XC_3488; XC_3496; XC_3544; XC_3655; XC_3689; XC_3691; XC_3854; XC_4082; XC_4149; XC_4170; XC_4205"
xcb01120,xcb01230,48,Interact,"XC_0020; XC_0031; XC_0032; XC_0162; XC_0194; XC_0469; XC_0474; XC_0662; XC_0872; XC_0882; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_1103; XC_1253; XC_1372; XC_1404; XC_1569; XC_1587; XC_1701; XC_1768; XC_1770; XC_2326; XC_2329; XC_2349; XC_2364; XC_2386; XC_2388; XC_2389; XC_2493; XC_2531; XC_2645; XC_2851; XC_2854; XC_3213; XC_3268; XC_3287; XC_3358; XC_3400; XC_3488; XC_3544; XC_3655; XC_3854"
xcb01120,xcb00260,16,Interact,"XC_0020; XC_0474; XC_1253; XC_1372; XC_1404; XC_1569; XC_2364; XC_2386; XC_2388; XC_2389; XC_2645; XC_2751; XC_3287; XC_3488; XC_3544; XC_3689"
xcb01120,xcb00680,20,Interact,"XC_0020; XC_0098; XC_0686; XC_0775; XC_0776; XC_0777; XC_0872; XC_0979; XC_1404; XC_1452; XC_1952; XC_2364; XC_2531; XC_2645; XC_3287; XC_3307; XC_3479; XC_3488; XC_3544; XC_4149"
xcb01120,xcb01100,158,Interact,"XC_0020; XC_0031; XC_0032; XC_0098; XC_0104; XC_0122; XC_0150; XC_0154; XC_0162; XC_0194; XC_0204; XC_0226; XC_0247; XC_0248; XC_0288; XC_0326; XC_0366; XC_0368; XC_0379; XC_0380; XC_0381; XC_0382; XC_0383; XC_0441; XC_0443; XC_0444; XC_0452; XC_0469; XC_0474; XC_0527; XC_0529; XC_0539; XC_0540; XC_0550; XC_0553; XC_0588; XC_0662; XC_0686; XC_0725; XC_0775; XC_0821; XC_0872; XC_0882; XC_0899; XC_0929; XC_0944; XC_0953; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_0990; XC_0991; XC_0992; XC_0993; XC_0994; XC_1063; XC_1064; XC_1103; XC_1166; XC_1223; XC_1227; XC_1253; XC_1267; XC_1270; XC_1306; XC_1334; XC_1372; XC_1385; XC_1386; XC_1387; XC_1404; XC_1452; XC_1519; XC_1552; XC_1568; XC_1569; XC_1578; XC_1587; XC_1701; XC_1702; XC_1742; XC_1744; XC_1768; XC_1770; XC_1780; XC_1933; XC_1952; XC_1973; XC_1974; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2205; XC_2206; XC_2326; XC_2329; XC_2349; XC_2364; XC_2386; XC_2388; XC_2389; XC_2445; XC_2465; XC_2488; XC_2493; XC_2531; XC_2564; XC_2645; XC_2697; XC_2742; XC_2749; XC_2750; XC_2751; XC_2809; XC_2822; XC_2851; XC_2854; XC_2881; XC_2943; XC_2975; XC_3050; XC_3156; XC_3157; XC_3158; XC_3213; XC_3268; XC_3287; XC_3307; XC_3358; XC_3400; XC_3421; XC_3479; XC_3488; XC_3496; XC_3544; XC_3608; XC_3641; XC_3642; XC_3655; XC_3689; XC_3691; XC_3780; XC_3854; XC_3941; XC_4044; XC_4082; XC_4131; XC_4149; XC_4155; XC_4170; XC_4205; XC_4244"
xcb01120,xcb00250,6,Interact,"XC_0031; XC_0032; XC_0194; XC_1768; XC_1770; XC_1780"
xcb01120,xcb00910,8,Interact,"XC_0031; XC_0032; XC_0194; XC_1768; XC_1770; XC_2175; XC_2176; XC_2177"
xcb01120,xcb01110,96,Interact,"XC_0031; XC_0032; XC_0098; XC_0104; XC_0150; XC_0162; XC_0204; XC_0247; XC_0248; XC_0441; XC_0443; XC_0444; XC_0469; XC_0474; XC_0527; XC_0529; XC_0539; XC_0540; XC_0550; XC_0553; XC_0588; XC_0662; XC_0686; XC_0725; XC_0775; XC_0872; XC_0882; XC_0899; XC_0929; XC_0944; XC_0972; XC_0976; XC_0978; XC_0979; XC_0982; XC_1063; XC_1064; XC_1103; XC_1166; XC_1223; XC_1253; XC_1372; XC_1404; XC_1552; XC_1569; XC_1578; XC_1587; XC_1701; XC_1975; XC_1976; XC_1977; XC_1981; XC_1982; XC_1983; XC_1985; XC_2206; XC_2326; XC_2329; XC_2349; XC_2386; XC_2388; XC_2389; XC_2445; XC_2465; XC_2493; XC_2531; XC_2742; XC_2749; XC_2750; XC_2751; XC_2822; XC_2881; XC_2943; XC_2975; XC_3050; XC_3213; XC_3268; XC_3287; XC_3307; XC_3358; XC_3400; XC_3421; XC_3488; XC_3544; XC_3608; XC_3655; XC_3689; XC_3691; XC_3854; XC_3941; XC_4082; XC_4149; XC_4155; XC_4170; XC_4205; XC_4244"
