  -- 格点占用与营养场（t=200.0，共 27 个格点）--
     x    y    z   cells  nutrient  species
      2    0    0      5    10.305  S3=5
      1    1    0      5     6.249  S1=4 S2=1
      2    1    0      5     8.073  S2=4 S4=1
      3    1    0      5     7.832  S2=2 S3=2 S1=1
      0    2    0      5     4.377  S1=4 S2=1
      1    2    0      5     6.515  S2=3 S1=1 S3=1
      2    2    0      5     7.834  S2=4 S3=1
      3    2    0      5     8.541  S2=3 S3=2
      4    2    0      5    10.719  S2=5
      1    3    0      5     6.703  S3=4 S1=1
      2    3    0      5     6.786  S3=4 S4=1
      3    3    0      5     7.456  S4=4 S2=1
      2    4    0      5     5.607  S4=4 S1=1
      1    1    1      5     7.151  S2=4 S3=1
      2    1    1      5     6.933  S4=4 S3=1
      3    1    1      5     5.626  S1=5
      1    2    1      5     5.749  S1=4 S4=1
      2    2    1      5     6.660  S3=5
      3    2    1      5     6.887  S1=3 S3=2
      1    3    1      5     5.388  S1=4 S3=1
      2    3    1      5     6.435  S1=3 S3=1 S2=1
      3    3    1      5     7.647  S3=5
      2    1    2      5     7.454  S3=4 S4=1
      1    2    2      5     7.092  S2=4 S4=1
      2    2    2      5     6.879  S1=3 S2=2
      3    2    2      5     7.570  S2=4 S1=1
      2    3    2      5     7.439  S2=4 S4=1

      z=0 切片（列 = x，行 = y；'.' = 空，S1..S4 = 主导物种，数字 = 细胞数）
  y=0   ##   ##  S35   ##   ## 
  y=1   ##  S15  S25  S25   ## 
  y=2  S15  S25  S25  S25  S25 
  y=3   ##  S35  S35  S45   ## 
  y=4   ##   ##  S45   ##   ## 

