proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,DataFrame.vb,147,15,22,110,1,0,0,4,0,5414,5.41 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math.vb,146,37,14,95,1,0,0,5,0,5818,5.82 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,File/Document.vb,86,22,12,52,1,0,0,3,0,2964,2.96 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,File/Reader.vb,57,3,8,46,1,0,0,2,0,2011,2.01 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Limma/Limma.vb,234,105,22,107,1,0,1,2,0,10588,10.59 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Limma/LimmaTable.vb,136,82,9,45,1,8,0,2,0,8003,8.00 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math/DESeq2Normalization.vb,87,15,16,56,1,0,0,1,0,3482,3.48 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math/EdgeRNormalization.vb,270,50,46,174,1,0,0,6,0,11407,11.41 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math/ExpressionScale.vb,55,2,7,46,1,0,0,2,0,1972,1.97 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math/QuantileNormalization.vb,3,0,1,2,1,0,0,0,0,49,49 B
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math/Ranking.vb,12,0,3,9,1,4,0,1,0,356,356 B
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Math/TPM.vb,63,8,7,48,1,0,0,4,0,2347,2.35 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Matrix/DataFrameRow.vb,190,66,22,102,1,4,4,6,1,6709,6.71 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Matrix/IGeneExpression.vb,11,4,3,4,1,1,0,0,0,322,322 B
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Matrix/Matrix.vb,533,117,66,350,1,8,4,22,0,18826,18.83 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,Matrix/MatrixBuilder.vb,111,27,11,73,1,0,0,3,0,4512,4.51 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,File/BinaryData/BinaryMatrix.vb,111,22,17,72,1,0,2,4,0,3473,3.47 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,File/BinaryData/HTSMatrixReader.vb,173,40,26,107,1,3,5,3,0,6253,6.25 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,File/BinaryData/HTSMatrixViewer.vb,86,4,17,65,1,2,3,3,0,2700,2.70 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,File/BinaryData/MatrixViewer.vb,58,23,9,26,1,2,0,1,0,2104,2.10 KB
G:/GCModeller/src/GCModeller/analysis/HTS_matrix/HTS_matrix-netcore5.vbproj,<project>,2569,642,338,1589,20,32,19,74,1,99310,99.31 KB
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,AntibioticResistance.vb,76,7,9,60,2,7,0,2,0,3063,3.06 KB
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,Extensions.vb,4,0,2,2,1,0,0,0,0,40,40 B
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,CARD/CARDdata.vb,136,39,17,80,1,0,0,5,0,5112,5.11 KB
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,CARD/Fasta.vb,55,8,7,40,1,5,0,3,0,1953,1.95 KB
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,CARD/Tables.vb,16,8,2,6,1,3,0,0,0,489,489 B
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,metaTraits/metaTraitData.vb,17,0,5,12,1,4,0,1,0,464,464 B
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,metaTraits/NCBI2GTDB_lineage.vb,12,0,5,7,1,2,0,0,0,319,319 B
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,metaTraits/TraitAnnotation.vb,149,25,18,106,2,35,2,5,0,5968,5.97 KB
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,My Project/Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,My Project/AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1084,1.08 KB
G:/GCModeller/src/GCModeller/analysis/Metagenome/MetaFunction/MetaFunction.vbproj,My Project/Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2813,2.81 KB
