Gene	Intercept	Parents	Coefficients	ResidualSD	RSquared
srfAA	0.000000	sfp;bacC	0.537356;0.457993	0.137070	0.9820
srfAB	0.000000	ycxC	0.987393	0.159928	0.9749
srfAC	-0.000000			0.989949	0.0000
srfAD	0.000000	srfAC	0.984232	0.178715	0.9687
sfp	0.000000	dhbE	0.986516	0.165361	0.9732
comS	-0.000000	srfAA;ycxC	0.518986;0.475503	0.140934	0.9809
ycxC	-0.000000	srfAD	0.989937	0.142975	0.9800
ycxD	-0.000000	fenB;kr1	0.632673;0.366033	0.132746	0.9831
fenA	-0.000000	srfAB;srfAC	0.557046;0.437713	0.145318	0.9797
fenB	0.000000	ycxC	0.987946	0.156401	0.9760
fenC	-0.000000	dhbF;srfA	0.445235;0.550031	0.139677	0.9813
fenD	0.000000	ycxC	0.990163	0.141369	0.9804
fenE	-0.000000	dhbB;pksM	0.635476;0.361356	0.143624	0.9802
fgnZ	0.000000	dhbD	0.987388	0.159959	0.9749
dhbA	0.000000	fenC;dhbE	0.459002;0.536518	0.138095	0.9817
dhbB	-0.000000	srfAD	0.989100	0.148774	0.9783
dhbC	0.000000	ycxD;dhbB	0.550627;0.446098	0.131714	0.9834
dhbD	-0.000000	bacC	0.987591	0.158678	0.9753
dhbE	0.000000	ycxD;dhbD;yodE	0.487982;0.505051;-0.073097	0.106273	0.9894
dhbF	0.000000	dhbB;bacE;dnaC	0.534302;0.454672;0.073030	0.117657	0.9870
ituA	-0.000000	fenC;ituB	0.499073;0.496814	0.128605	0.9841
ituB	-0.000000	fenD;dhbD	0.461032;0.535562	0.125705	0.9848
ituC	-0.000000	bacA;bacD	0.446831;0.549657	0.127024	0.9845
ituD	-0.000000	srfAB	0.986306	0.166633	0.9728
bacA	0.000000	fenE;dhbD;ytrJ;yxkE	0.307369;0.682191;0.068801;-0.061660	0.098630	0.9911
bacB	0.000000	bacC	0.985162	0.173405	0.9705
bacC	-0.000000	fenD	0.992659	0.122197	0.9854
bacD	-0.000000	fenD	0.989188	0.148173	0.9785
bacE	-0.000000	ycxC	0.987781	0.157463	0.9757
mycA	0.000000	srfAA;malonyl	0.570923;0.425817	0.135777	0.9823
mycB	-0.000000	bacB	0.990547	0.138593	0.9812
mycC	-0.000000	dhbF;sigH	0.696487;0.303518	0.137574	0.9818
srfA	0.000000	srfAC;mycB	0.551006;0.445622	0.130442	0.9837
pksA	-0.000000	pksS;qoxA	0.995244;0.090487	0.145278	0.9798
pksB	0.000000	dh1	0.983666	0.181871	0.9676
pksC	-0.000000	malonyl;trxB	0.978671;-0.087755	0.147221	0.9792
pksD	0.000000	ituA;dh2	0.523067;0.471784	0.148463	0.9789
pksE	0.000000	srfAD;ilvB	0.973072;0.121183	0.155184	0.9769
pksM	0.000000	at2	0.982308	0.189215	0.9649
pksN	0.000000	kr2;malonyl;yflD	0.466700;0.531318;-0.086045	0.131512	0.9838
pksR	0.000000	mycB	0.985285	0.172691	0.9708
pksS	0.000000	pksD	0.985808	0.169615	0.9718
ks1	-0.000000	mycB;ftsX;prfC	0.987519;-0.077707;-0.103029	0.123880	0.9856
ks2	-0.000000	pksD	0.984063	0.179664	0.9684
ks3	-0.000000	srfAD;pksS	0.402758;0.594291	0.145498	0.9797
at1	0.000000	srfAA;pksA	0.533349;0.461887	0.154016	0.9772
at2	-0.000000	ks1	0.986688	0.164309	0.9736
at3	-0.000000	bacA;pksB	0.402193;0.596056	0.140439	0.9811
dh1	-0.000000	bacB;at2	0.440680;0.556049	0.135344	0.9824
dh2	-0.000000	ituD;ks1	0.440037;0.558494	0.133635	0.9829
kr1	0.000000	pksD	0.983507	0.182744	0.9673
kr2	-0.000000	pksM;acyl	0.479171;0.516095	0.151091	0.9781
acyl	-0.000000	ituA;pksS	0.523968;0.472359	0.140401	0.9811
malonyl	0.000000	pksR	0.986114	0.167794	0.9724
methyl	-0.000000	pksE;degU	0.634766;0.363096	0.149529	0.9786
comA	0.000000			0.989949	0.0000
comK	0.000000			0.989949	0.0000
comP	-0.000000			0.989949	0.0000
comQ	-0.000000			0.989949	0.0000
spo0A	0.000000	comA	0.983144	0.184728	0.9666
spo0F	-0.000000			0.989949	0.0000
spo0B	-0.000000			0.989949	0.0000
spo0E	-0.000000			0.989949	0.0000
abrB	0.000000	spo0A	0.980768	0.197198	0.9619
abnB	0.000000			0.989949	0.0000
sigH	0.000000	fenA	0.978831	0.206792	0.9581
sigA	-0.000000			0.989949	0.0000
sigB	-0.000000			0.989949	0.0000
sigE	-0.000000			0.989949	0.0000
sigF	0.000000			0.989949	0.0000
sigG	0.000000			0.989949	0.0000
degU	0.000000	fenA	0.976928	0.215780	0.9544
degQ	-0.000000			0.989949	0.0000
phrC	-0.000000			0.989949	0.0000
sinI	0.000000			0.989949	0.0000
sinR	0.000000			0.989949	0.0000
slrA	0.000000			0.989949	0.0000
spx	-0.000000			0.989949	0.0000
clpX	0.000000			0.989949	0.0000
clpP	0.000000			0.989949	0.0000
codY	0.000000			0.989949	0.0000
ccpA	0.000000			0.989949	0.0000
lutR	-0.000000			0.989949	0.0000
lutP	-0.000000			0.989949	0.0000
