From	To	EdgeType
sfp	srfAA	regulation
bacC	srfAA	regulation
ycxC	srfAB	regulation
srfAC	srfAD	regulation
dhbE	sfp	regulation
srfAA	comS	regulation
ycxC	comS	regulation
srfAD	ycxC	regulation
fenB	ycxD	regulation
kr1	ycxD	regulation
srfAB	fenA	regulation
srfAC	fenA	regulation
ycxC	fenB	regulation
dhbF	fenC	regulation
srfA	fenC	regulation
ycxC	fenD	regulation
dhbB	fenE	regulation
pksM	fenE	regulation
dhbD	fgnZ	regulation
fenC	dhbA	regulation
dhbE	dhbA	regulation
srfAD	dhbB	regulation
ycxD	dhbC	regulation
dhbB	dhbC	regulation
bacC	dhbD	regulation
ycxD	dhbE	regulation
dhbD	dhbE	regulation
yodE	dhbE	regulation
dhbB	dhbF	regulation
bacE	dhbF	regulation
dnaC	dhbF	regulation
fenC	ituA	regulation
ituB	ituA	regulation
fenD	ituB	regulation
dhbD	ituB	regulation
bacA	ituC	regulation
bacD	ituC	regulation
srfAB	ituD	regulation
fenE	bacA	regulation
dhbD	bacA	regulation
ytrJ	bacA	regulation
yxkE	bacA	regulation
bacC	bacB	regulation
fenD	bacC	regulation
fenD	bacD	regulation
ycxC	bacE	regulation
srfAA	mycA	regulation
malonyl	mycA	regulation
bacB	mycB	regulation
dhbF	mycC	regulation
sigH	mycC	regulation
srfAC	srfA	regulation
mycB	srfA	regulation
pksS	pksA	regulation
qoxA	pksA	regulation
dh1	pksB	regulation
malonyl	pksC	regulation
trxB	pksC	regulation
ituA	pksD	regulation
dh2	pksD	regulation
srfAD	pksE	regulation
ilvB	pksE	regulation
at2	pksM	regulation
kr2	pksN	regulation
malonyl	pksN	regulation
yflD	pksN	regulation
mycB	pksR	regulation
pksD	pksS	regulation
mycB	ks1	regulation
ftsX	ks1	regulation
prfC	ks1	regulation
pksD	ks2	regulation
srfAD	ks3	regulation
pksS	ks3	regulation
srfAA	at1	regulation
pksA	at1	regulation
ks1	at2	regulation
bacA	at3	regulation
pksB	at3	regulation
bacB	dh1	regulation
at2	dh1	regulation
ituD	dh2	regulation
ks1	dh2	regulation
pksD	kr1	regulation
pksM	kr2	regulation
acyl	kr2	regulation
ituA	acyl	regulation
pksS	acyl	regulation
pksR	malonyl	regulation
pksE	methyl	regulation
degU	methyl	regulation
comA	spo0A	regulation
spo0A	abrB	regulation
fenA	sigH	regulation
fenA	degU	regulation
leuA	rocR	regulation
argB	fur	regulation
katB	ahpD	regulation
yvgE	sodF	regulation
argC	ilvB	regulation
metF	ilvC	regulation
thrA	ilvD	regulation
cysD	ilvE	regulation
valS	leuA	regulation
valS	leuB	regulation
metB	leuB	regulation
oppA	leuC	regulation
valT	leuD	regulation
hisB	leuD	regulation
cysD	valS	regulation
comA	valT	regulation
ilvB	valU	regulation
asnB	valU	regulation
comA	thrA	regulation
leuD	thrB	regulation
cysI	thrB	regulation
argB	thrC	regulation
argE	thrC	regulation
yoaE	thrC	regulation
metF	lysA	regulation
leuA	lysC	regulation
lysA	dapA	regulation
comA	dapB	regulation
comA	argA	regulation
metF	argB	regulation
leuD	argC	regulation
argE	argC	regulation
metF	argD	regulation
dapA	argE	regulation
abrB	argF	regulation
cysD	argF	regulation
valU	argG	regulation
ilvE	argH	regulation
argA	argH	regulation
cysE	hisA	regulation
dapA	hisB	regulation
abrB	hisC	regulation
dapA	hisC	regulation
thrC	hisD	regulation
cysK	hisD	regulation
comA	hisE	regulation
thrA	hisF	regulation
leuB	hisG	regulation
asnA	hisG	regulation
dapA	trpA	regulation
ilvC	trpB	regulation
dapA	trpB	regulation
lysA	trpC	regulation
cysI	trpC	regulation
comA	trpD	regulation
hisB	trpD	regulation
cysD	trpE	regulation
trpE	trpF	regulation
trpC	pheA	regulation
trpA	tyrA	regulation
metF	tyrA	regulation
argB	glnA	regulation
rpsD	glnA	regulation
argB	gltA	regulation
leuD	gltC	regulation
trpE	gltC	regulation
trpB	asnA	regulation
cysD	asnB	regulation
thrC	asnC	regulation
dapA	asnC	regulation
lysC	metA	regulation
tyrA	metA	regulation
dapA	metB	regulation
gltA	metB	regulation
leuA	metC	regulation
valS	metE	regulation
comA	metF	regulation
trpB	metH	regulation
dapA	cysA	regulation
argA	cysB	regulation
trpB	cysB	regulation
lysA	cysC	regulation
metA	cysC	regulation
metF	cysD	regulation
argF	cysE	regulation
comA	cysH	regulation
argB	cysH	regulation
hisB	cysI	regulation
metA	cysI	regulation
yjbD	cysI	regulation
thrA	cysK	regulation
ilvC	oppA	regulation
argE	oppA	regulation
brnQ	oppB	regulation
dppB	brnQ	regulation
comP	proV	regulation
fumA	proV	regulation
tagO	murB	regulation
tagD	murC	regulation
murD	murE	regulation
dltD	murF	regulation
tagE	murG	regulation
pbpC	ddlA	regulation
tagE	ddlB	regulation
dltB	alr	regulation
murG	dat	regulation
tagE	glmS	regulation
tagD	glmM	regulation
murE	glmU	regulation
murF	glmU	regulation
murE	mreB	regulation
acnA	mreB	regulation
glmU	mreC	regulation
tagO	mreC	regulation
ddlB	mreD	regulation
dltB	rodA	regulation
tagD	pbpA	regulation
ddlB	pbpB	regulation
tagO	pbpB	regulation
tagD	pbpC	regulation
tagE	pbpD	regulation
tagB	pbpE	regulation
tagD	pbpE	regulation
murE	tagO	regulation
tagE	tagO	regulation
murE	tagA	regulation
murG	tagA	regulation
murE	tagB	regulation
tagE	tagB	regulation
murG	tagC	regulation
abrB	tagD	regulation
murE	tagD	regulation
pbpC	tagE	regulation
tagE	tagF	regulation
znuA	dltA	regulation
tagE	dltA	regulation
pbpC	dltB	regulation
tagO	dltB	regulation
tagO	dltC	regulation
tagE	dltD	regulation
ddlB	dltE	regulation
tagD	dltE	regulation
pbpA	acnA	regulation
dltC	acnA	regulation
clpC	acnA	regulation
dat	yorM	regulation
mutL	rpsC	regulation
zur	prfC	regulation
gor	yhcN	regulation
qoxE	yjbC	regulation
glnH	ytrA	regulation
catR	yxiC	regulation
trxA	yxiC	regulation
yceE	yvfD	regulation
