# Comprehensive intervention comparison table
# Generated from 80 intervention results
Gene,Condition,InterventionGene,InterventionMode,WildtypeMean,MutantMean,FoldChange,PercentChange,ZScore,Significant
srfAB,srfAA_Knockout,srfAA,Knockout,0.0082,-0.0079,-0.0162,-196.6906,-0.0162,0
srfAC,srfAA_Knockout,srfAA,Knockout,0.0065,-0.0071,-0.0136,-209.2391,-0.0136,0
srfAD,srfAA_Knockout,srfAA,Knockout,0.0065,-0.0086,-0.0151,-233.7707,-0.0151,0
sfp,srfAA_Knockout,srfAA,Knockout,0.0020,-0.0131,-0.0151,-750.9887,-0.0151,0
comS,srfAA_Knockout,srfAA,Knockout,0.0045,-0.0022,-0.0067,-147.7554,-0.0067,0
ycxC,srfAA_Knockout,srfAA,Knockout,0.0073,-0.0079,-0.0152,-209.3136,-0.0152,0
ycxD,srfAA_Knockout,srfAA,Knockout,0.0064,-0.0120,-0.0183,-288.0526,-0.0183,0
fenA,srfAA_Knockout,srfAA,Knockout,0.0089,-0.0091,-0.0179,-202.1467,-0.0179,0
fenB,srfAA_Knockout,srfAA,Knockout,0.0087,-0.0086,-0.0173,-198.4379,-0.0173,0
fenC,srfAA_Knockout,srfAA,Knockout,0.0052,-0.0091,-0.0143,-276.2438,-0.0143,0
fenD,srfAA_Knockout,srfAA,Knockout,0.0074,-0.0097,-0.0171,-230.3875,-0.0171,0
fenE,srfAA_Knockout,srfAA,Knockout,0.0079,-0.0100,-0.0179,-226.1655,-0.0179,0
fgnZ,srfAA_Knockout,srfAA,Knockout,0.0053,-0.0111,-0.0164,-307.8256,-0.0164,0
dhbA,srfAA_Knockout,srfAA,Knockout,0.0057,-0.0121,-0.0177,-312.2602,-0.0177,0
dhbB,srfAA_Knockout,srfAA,Knockout,0.0079,-0.0090,-0.0168,-213.5129,-0.0168,0
dhbC,srfAA_Knockout,srfAA,Knockout,0.0057,-0.0086,-0.0143,-250.4999,-0.0143,0
dhbD,srfAA_Knockout,srfAA,Knockout,0.0052,-0.0103,-0.0155,-296.4512,-0.0155,0
dhbE,srfAA_Knockout,srfAA,Knockout,0.0049,-0.0121,-0.0171,-345.9296,-0.0171,0
dhbF,srfAA_Knockout,srfAA,Knockout,0.0068,-0.0094,-0.0162,-237.1515,-0.0162,0
ituA,srfAA_Knockout,srfAA,Knockout,0.0075,-0.0103,-0.0178,-236.4505,-0.0178,0
ituB,srfAA_Knockout,srfAA,Knockout,0.0077,-0.0096,-0.0174,-224.3612,-0.0174,0
ituC,srfAA_Knockout,srfAA,Knockout,0.0076,-0.0092,-0.0168,-221.1823,-0.0168,0
ituD,srfAA_Knockout,srfAA,Knockout,0.0081,-0.0078,-0.0158,-196.3305,-0.0158,0
bacA,srfAA_Knockout,srfAA,Knockout,0.0055,-0.0097,-0.0152,-274.7975,-0.0152,0
bacB,srfAA_Knockout,srfAA,Knockout,0.0051,-0.0100,-0.0151,-298.7827,-0.0151,0
bacC,srfAA_Knockout,srfAA,Knockout,0.0066,-0.0095,-0.0161,-244.8828,-0.0161,0
bacD,srfAA_Knockout,srfAA,Knockout,0.0078,-0.0087,-0.0165,-211.1737,-0.0165,0
bacE,srfAA_Knockout,srfAA,Knockout,0.0062,-0.0070,-0.0132,-213.3203,-0.0132,0
mycA,srfAA_Knockout,srfAA,Knockout,0.0035,-0.0024,-0.0059,-169.5180,-0.0059,0
mycB,srfAA_Knockout,srfAA,Knockout,0.0042,-0.0112,-0.0154,-369.7180,-0.0154,0
mycC,srfAA_Knockout,srfAA,Knockout,0.0074,-0.0087,-0.0162,-217.4083,-0.0162,0
srfA,srfAA_Knockout,srfAA,Knockout,0.0054,-0.0099,-0.0153,-281.8704,-0.0153,0
pksA,srfAA_Knockout,srfAA,Knockout,0.0071,-0.0146,-0.0216,-305.9210,-0.0216,0
pksB,srfAA_Knockout,srfAA,Knockout,0.0017,-0.0124,-0.0141,-848.3291,-0.0141,0
pksC,srfAA_Knockout,srfAA,Knockout,0.0019,-0.0130,-0.0150,-774.5176,-0.0150,0
pksD,srfAA_Knockout,srfAA,Knockout,0.0036,-0.0151,-0.0187,-523.1996,-0.0187,0
pksE,srfAA_Knockout,srfAA,Knockout,0.0065,-0.0088,-0.0153,-236.4273,-0.0153,0
pksM,srfAA_Knockout,srfAA,Knockout,0.0061,-0.0153,-0.0214,-349.7899,-0.0214,0
pksN,srfAA_Knockout,srfAA,Knockout,0.0045,-0.0112,-0.0157,-348.0069,-0.0157,0
pksR,srfAA_Knockout,srfAA,Knockout,0.0073,-0.0108,-0.0181,-247.7962,-0.0181,0
pksS,srfAA_Knockout,srfAA,Knockout,0.0036,-0.0151,-0.0187,-517.2475,-0.0187,0
ks1,srfAA_Knockout,srfAA,Knockout,0.0038,-0.0138,-0.0175,-465.3387,-0.0175,0
ks2,srfAA_Knockout,srfAA,Knockout,0.0030,-0.0142,-0.0172,-577.9759,-0.0172,0
ks3,srfAA_Knockout,srfAA,Knockout,0.0058,-0.0102,-0.0160,-277.5310,-0.0160,0
at1,srfAA_Knockout,srfAA,Knockout,0.0053,-0.0064,-0.0117,-221.6600,-0.0117,0
at2,srfAA_Knockout,srfAA,Knockout,0.0049,-0.0130,-0.0179,-363.5942,-0.0179,0
at3,srfAA_Knockout,srfAA,Knockout,0.0020,-0.0129,-0.0149,-752.6888,-0.0149,0
dh1,srfAA_Knockout,srfAA,Knockout,0.0062,-0.0123,-0.0185,-296.4046,-0.0185,0
dh2,srfAA_Knockout,srfAA,Knockout,0.0046,-0.0133,-0.0179,-391.4355,-0.0179,0
kr1,srfAA_Knockout,srfAA,Knockout,-0.0007,-0.0141,-0.0134,-1899.5833,-0.0134,0
