# Cross-impact matrix: fraction of significantly affected genes per pathway
# Rows = intervention conditions, Columns = pathways
Condition_InterventionGene_Mode,pathway_bcaa_metabolism,pathway_cell_wall,pathway_dna_repair,pathway_iron_metabolism,pathway_nrps,pathway_pks,pathway_quorum_sensing,pathway_sporulation,pathway_stress_response,pathway_tca_cycle
srfAA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
srfAB_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
srfAC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
srfAD_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
sfp_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
comS_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
ycxC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
ycxD_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
fenA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
fenB_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
fenC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
fenD_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
fenE_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
fgnZ_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
dhbA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
dhbB_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
dhbC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
dhbD_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
dhbE_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
dhbF_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
ituA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
ituB_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
ituC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
ituD_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
bacA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
bacB_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
bacC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
bacD_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
bacE_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
mycA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
mycB_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
mycC_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
srfA_Knockout,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0500,0.0000,0.0000,0.0000
comA_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
comS_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
comK_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
comP_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
comQ_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sigH_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
spo0A_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
spo0F_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
spo0B_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
spo0E_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
abrB_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
degU_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sinI_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
sinR_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
slrA_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
srfAA_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
srfAB_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
srfAC_Overexpression,0.0000,0.0000,0.0000,0.0000,0.0909,0.0455,0.1000,0.0000,0.0000,0.0000
