# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
abnB,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008
abrB,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043,-0.0043
acnA,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
acnB,-0.0020,-0.0020,-0.0020,-0.0020,-0.0020,-0.0020
acyl,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
ahpC,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
ahpD,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045
ahpF,0.0241,0.0241,0.0241,0.0241,0.0241,0.0241
alr,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058
alsR,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
alsS,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124
alsSD,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129,-0.0129
argA,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143
argB,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112
argC,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
argD,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033,-0.0033
argE,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044
argF,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
argG,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
argH,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
asnA,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080
asnB,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
asnC,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151
at1,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071,-0.0071
at2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
at3,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
atpA,0.0090,0.0090,0.0090,0.0090,0.0090,0.0090
atpB,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044
atpC,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
atpD,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076,-0.0076
atpE,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052,-0.0052
atpF,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
atpG,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049
atpH,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087,-0.0087
bacA,0.0152,0.0152,0.0152,0.0152,0.0152,0.0152
bacB,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
bacC,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
bacD,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089
bacE,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085
bcaP,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073,-0.0073
bcp,-0.0168,-0.0168,-0.0168,-0.0168,-0.0168,-0.0168
braB,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007,-0.0007
brnQ,0.0254,0.0254,0.0254,0.0254,0.0254,0.0254
catR,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046,-0.0046
ccpA,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
