# Pathway-level intervention effect summary
# Values: mean|FC| of genes in pathway (significant_gene_count)
PathwayID,PathwayName,N_Genes,srfAA_Knockout,srfAB_Knockout,srfAC_Knockout,srfAD_Knockout,sfp_Knockout,comS_Knockout,ycxC_Knockout,ycxD_Knockout,fenA_Knockout,fenB_Knockout,fenC_Knockout,fenD_Knockout,fenE_Knockout,fgnZ_Knockout,dhbA_Knockout,dhbB_Knockout,dhbC_Knockout,dhbD_Knockout,dhbE_Knockout,dhbF_Knockout,ituA_Knockout,ituB_Knockout,ituC_Knockout,ituD_Knockout,bacA_Knockout,bacB_Knockout,bacC_Knockout,bacD_Knockout,bacE_Knockout,mycA_Knockout,mycB_Knockout,mycC_Knockout,srfA_Knockout,comA_Overexpression,comS_Overexpression,comK_Overexpression,comP_Overexpression,comQ_Overexpression,sigH_Overexpression,spo0A_Overexpression,spo0F_Overexpression,spo0B_Overexpression,spo0E_Overexpression,abrB_Overexpression,degU_Overexpression,sinI_Overexpression,sinR_Overexpression,slrA_Overexpression,srfAA_Overexpression,srfAB_Overexpression,srfAC_Overexpression,srfAD_Overexpression,sfp_Overexpression,gltA_Knockdown,acnA_Knockdown,acnB_Knockdown,icd_Knockdown,sucC_Knockdown,sucD_Knockdown,sucA_Knockdown,sucB_Knockdown,lpd_Knockdown,sdhA_Knockdown,sdhB_Knockdown,sdhC_Knockdown,sdhD_Knockdown,fumA_Knockdown,fumB_Knockdown,fumC_Knockdown,mdh_Knockdown,ctaA_Knockdown,ctaB_Knockdown,ctaC_Knockdown,ctaD_Knockdown,ctaE_Knockdown,ctaF_Knockdown,atpA_Knockdown,atpB_Knockdown,atpC_Knockdown,atpD_Knockdown
pathway_bcaa_metabolism,Branched-Chain Amino Acid Metabolism,16,0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0),0.0112(0)
pathway_cell_wall,Cell Wall Biosynthesis,35,0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0),0.0090(0)
pathway_dna_repair,DNA Repair and Recombination,22,0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0),0.0092(0)
pathway_iron_metabolism,Iron Metabolism and Siderophore Biosynthesis,15,0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0),0.0132(0)
pathway_nrps,Nonribosomal Peptide Synthesis (NRPS) Pathway,33,0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.0151(1),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.2044(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3),0.1415(3)
pathway_pks,Polyketide Synthase (PKS) Pathway,22,0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0174(0),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0891(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1),0.0658(1)
pathway_quorum_sensing,Quorum Sensing and Stationary Phase Entry,20,0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.0113(1),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.2384(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2),0.1629(2)
pathway_sporulation,Sporulation Pathway,16,0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0),0.0102(0)
pathway_stress_response,Oxidative Stress Response Pathway,27,0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0),0.0104(0)
pathway_tca_cycle,TCA Cycle and Energy Metabolism,27,0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0),0.0107(0)
