# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
abnB,23.5048,23.5048,23.5048,23.5048,23.5048,23.5048
abrB,116.7613,116.7613,116.7613,116.7613,116.7613,116.7613
acnA,60.1864,60.1864,60.1864,60.1864,60.1864,60.1864
acnB,-88.7434,-88.7434,-88.7434,-88.7434,-88.7434,-88.7434
acyl,-294.5404,-294.5404,-294.5404,-294.5404,-294.5404,-294.5404
ahpC,-99.9587,-99.9587,-99.9587,-99.9587,-99.9587,-99.9587
ahpD,-176.4132,-176.4132,-176.4132,-176.4132,-176.4132,-176.4132
ahpF,226.9552,226.9552,226.9552,226.9552,226.9552,226.9552
alr,23.9248,23.9248,23.9248,23.9248,23.9248,23.9248
alsR,-140.3515,-140.3515,-140.3515,-140.3515,-140.3515,-140.3515
alsS,-174.0072,-174.0072,-174.0072,-174.0072,-174.0072,-174.0072
alsSD,-102.9261,-102.9261,-102.9261,-102.9261,-102.9261,-102.9261
argA,-9.8015,-9.8015,-9.8015,-9.8015,-9.8015,-9.8015
argB,-9.2591,-9.2591,-9.2591,-9.2591,-9.2591,-9.2591
argC,-8955.0498,-8955.0498,-8955.0498,-8955.0498,-8955.0498,-8955.0498
argD,81.5315,81.5315,81.5315,81.5315,81.5315,81.5315
argE,-2886.9201,-2886.9201,-2886.9201,-2886.9201,-2886.9201,-2886.9201
argF,-12.0077,-12.0077,-12.0077,-12.0077,-12.0077,-12.0077
argG,-422.6659,-422.6659,-422.6659,-422.6659,-422.6659,-422.6659
argH,-33.6700,-33.6700,-33.6700,-33.6700,-33.6700,-33.6700
asnA,-1697.2038,-1697.2038,-1697.2038,-1697.2038,-1697.2038,-1697.2038
asnB,-2031.9109,-2031.9109,-2031.9109,-2031.9109,-2031.9109,-2031.9109
asnC,49.3321,49.3321,49.3321,49.3321,49.3321,49.3321
at1,-221.6600,-221.6600,30087.1930,30087.1930,-20354.2105,-20354.2105
at2,-363.5942,-363.5942,-363.5942,-363.5942,-363.5942,-363.5942
at3,-752.6888,-752.6888,-752.6888,-752.6888,-752.6888,-752.6888
atpA,519.9757,519.9757,519.9757,519.9757,519.9757,519.9757
atpB,26.6101,26.6101,26.6101,26.6101,26.6101,26.6101
atpC,68.8030,68.8030,68.8030,68.8030,68.8030,68.8030
atpD,33.8784,33.8784,33.8784,33.8784,33.8784,33.8784
atpE,99.8609,99.8609,99.8609,99.8609,99.8609,99.8609
atpF,78.4434,78.4434,78.4434,78.4434,78.4434,78.4434
atpG,116.2118,116.2118,116.2118,116.2118,116.2118,116.2118
atpH,147.4521,147.4521,147.4521,147.4521,147.4521,147.4521
bacA,-274.7975,-274.7975,-274.7975,-274.7975,-274.7975,-274.7975
bacB,-298.7827,-298.7827,-298.7827,-298.7827,-298.7827,-298.7827
bacC,-244.8828,-244.8828,-244.8828,-244.8828,-244.8828,-244.8828
bacD,-211.1737,-211.1737,-211.1737,-211.1737,-211.1737,-211.1737
bacE,-213.3203,-213.3203,-213.3203,-213.3203,-213.3203,-213.3203
bcaP,-235.5732,-235.5732,-235.5732,-235.5732,-235.5732,-235.5732
bcp,42.4262,42.4262,42.4262,42.4262,42.4262,42.4262
braB,-44.6881,-44.6881,-44.6881,-44.6881,-44.6881,-44.6881
brnQ,-56.6610,-56.6610,-56.6610,-56.6610,-56.6610,-56.6610
catR,-1630.3189,-1630.3189,-1630.3189,-1630.3189,-1630.3189,-1630.3189
ccpA,15.6099,15.6099,15.6099,15.6099,15.6099,15.6099
citH,190.7319,190.7319,190.7319,190.7319,190.7319,190.7319
citM,-138.6745,-138.6745,-138.6745,-138.6745,-138.6745,-138.6745
citP,-192.7924,-192.7924,-192.7924,-192.7924,-192.7924,-192.7924
clpB,40.8513,40.8513,40.8513,40.8513,40.8513,40.8513
clpC,-382.6818,-382.6818,-382.6818,-382.6818,-382.6818,-382.6818
clpE,-6.1527,-6.1527,-6.1527,-6.1527,-6.1527,-6.1527
clpP,-155.2995,-155.2995,-155.2995,-155.2995,-155.2995,-155.2995
clpX,-458.0512,-458.0512,-458.0512,-458.0512,-458.0512,-458.0512
codY,-515.0954,-515.0954,-515.0954,-515.0954,-515.0954,-515.0954
comA,1659.1878,1659.1878,1659.1878,1659.1878,1659.1878,1659.1878
comK,187.8327,187.8327,187.8327,187.8327,187.8327,187.8327
comP,262.6449,262.6449,262.6449,262.6449,262.6449,262.6449
comQ,-508.2661,-508.2661,-508.2661,-508.2661,-508.2661,-508.2661
comS,-147.7554,-147.7554,34434.9983,34434.9983,-23119.2296,-23119.2296
ctaA,-380.7670,-380.7670,-380.7670,-380.7670,-380.7670,-380.7670
ctaB,-71.9120,-71.9120,-71.9120,-71.9120,-71.9120,-71.9120
ctaC,-249.1860,-249.1860,-249.1860,-249.1860,-249.1860,-249.1860
ctaD,-71.5024,-71.5024,-71.5024,-71.5024,-71.5024,-71.5024
ctaE,-154.0377,-154.0377,-154.0377,-154.0377,-154.0377,-154.0377
ctaF,-120.1380,-120.1380,-120.1380,-120.1380,-120.1380,-120.1380
cydA,-82.5610,-82.5610,-82.5610,-82.5610,-82.5610,-82.5610
cydB,-108.1318,-108.1318,-108.1318,-108.1318,-108.1318,-108.1318
cydC,-112.8683,-112.8683,-112.8683,-112.8683,-112.8683,-112.8683
cydD,-251.0446,-251.0446,-251.0446,-251.0446,-251.0446,-251.0446
cysA,39.4796,39.4796,39.4796,39.4796,39.4796,39.4796
cysB,-592.8955,-592.8955,-592.8955,-592.8955,-592.8955,-592.8955
cysC,27.4084,27.4084,27.4084,27.4084,27.4084,27.4084
cysD,-203.7176,-203.7176,-203.7176,-203.7176,-203.7176,-203.7176
cysE,-45.1583,-45.1583,-45.1583,-45.1583,-45.1583,-45.1583
cysH,-12.0258,-12.0258,-12.0258,-12.0258,-12.0258,-12.0258
cysI,-140.5032,-140.5032,-140.5032,-140.5032,-140.5032,-140.5032
cysK,-44.3832,-44.3832,-44.3832,-44.3832,-44.3832,-44.3832
dapA,-2209.6688,-2209.6688,-2209.6688,-2209.6688,-2209.6688,-2209.6688
dapB,142.0502,142.0502,142.0502,142.0502,142.0502,142.0502
dat,90.1928,90.1928,90.1928,90.1928,90.1928,90.1928
dctA,1254.2574,1254.2574,1254.2574,1254.2574,1254.2574,1254.2574
dctB,-50.5739,-50.5739,-50.5739,-50.5739,-50.5739,-50.5739
dctP,-269.5390,-269.5390,-269.5390,-269.5390,-269.5390,-269.5390
ddlA,57.6943,57.6943,57.6943,57.6943,57.6943,57.6943
ddlB,64.7662,64.7662,64.7662,64.7662,64.7662,64.7662
def,518.4946,518.4946,518.4946,518.4946,518.4946,518.4946
degQ,-293.9902,-293.9902,-293.9902,-293.9902,-293.9902,-293.9902
degU,-214.6303,-214.6303,-214.6303,-214.6303,-214.6303,-214.6303
dh1,-296.4046,-296.4046,-296.4046,-296.4046,-296.4046,-296.4046
dh2,-391.4355,-391.4355,-391.4355,-391.4355,-391.4355,-391.4355
dhbA,-312.2602,-312.2602,-312.2602,-312.2602,-312.2602,-312.2602
