# Significance matrix: 1=significant, 0=not significant
# Metric: Significance
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
abnB,0,0,0,0,0,0
abrB,0,0,0,0,0,0
acnA,0,0,0,0,0,0
acnB,0,0,0,0,0,0
acyl,0,0,0,0,0,0
ahpC,0,0,0,0,0,0
ahpD,0,0,0,0,0,0
ahpF,0,0,0,0,0,0
alr,0,0,0,0,0,0
alsR,0,0,0,0,0,0
alsS,0,0,0,0,0,0
alsSD,0,0,0,0,0,0
argA,0,0,0,0,0,0
argB,0,0,0,0,0,0
argC,0,0,0,0,0,0
argD,0,0,0,0,0,0
argE,0,0,0,0,0,0
argF,0,0,0,0,0,0
argG,0,0,0,0,0,0
argH,0,0,0,0,0,0
asnA,0,0,0,0,0,0
asnB,0,0,0,0,0,0
asnC,0,0,0,0,0,0
at1,0,0,1,1,1,1
at2,0,0,0,0,0,0
at3,0,0,0,0,0,0
atpA,0,0,0,0,0,0
atpB,0,0,0,0,0,0
atpC,0,0,0,0,0,0
atpD,0,0,0,0,0,0
atpE,0,0,0,0,0,0
atpF,0,0,0,0,0,0
atpG,0,0,0,0,0,0
atpH,0,0,0,0,0,0
bacA,0,0,0,0,0,0
bacB,0,0,0,0,0,0
bacC,0,0,0,0,0,0
bacD,0,0,0,0,0,0
bacE,0,0,0,0,0,0
bcaP,0,0,0,0,0,0
bcp,0,0,0,0,0,0
braB,0,0,0,0,0,0
brnQ,0,0,0,0,0,0
catR,0,0,0,0,0,0
ccpA,0,0,0,0,0,0
citH,0,0,0,0,0,0
citM,0,0,0,0,0,0
citP,0,0,0,0,0,0
clpB,0,0,0,0,0,0
clpC,0,0,0,0,0,0
clpE,0,0,0,0,0,0
clpP,0,0,0,0,0,0
clpX,0,0,0,0,0,0
codY,0,0,0,0,0,0
comA,0,0,0,0,0,0
comK,0,0,0,0,0,0
comP,0,0,0,0,0,0
comQ,0,0,0,0,0,0
comS,0,0,1,1,1,1
ctaA,0,0,0,0,0,0
ctaB,0,0,0,0,0,0
ctaC,0,0,0,0,0,0
ctaD,0,0,0,0,0,0
ctaE,0,0,0,0,0,0
ctaF,0,0,0,0,0,0
cydA,0,0,0,0,0,0
cydB,0,0,0,0,0,0
cydC,0,0,0,0,0,0
cydD,0,0,0,0,0,0
cysA,0,0,0,0,0,0
cysB,0,0,0,0,0,0
cysC,0,0,0,0,0,0
cysD,0,0,0,0,0,0
cysE,0,0,0,0,0,0
cysH,0,0,0,0,0,0
cysI,0,0,0,0,0,0
cysK,0,0,0,0,0,0
dapA,0,0,0,0,0,0
dapB,0,0,0,0,0,0
dat,0,0,0,0,0,0
dctA,0,0,0,0,0,0
dctB,0,0,0,0,0,0
dctP,0,0,0,0,0,0
ddlA,0,0,0,0,0,0
ddlB,0,0,0,0,0,0
def,0,0,0,0,0,0
degQ,0,0,0,0,0,0
degU,0,0,0,0,0,0
dh1,0,0,0,0,0,0
dh2,0,0,0,0,0,0
dhbA,0,0,0,0,0,0
dhbB,0,0,0,0,0,0
dhbC,0,0,0,0,0,0
dhbD,0,0,0,0,0,0
dhbE,0,0,0,0,0,0
dhbF,0,0,0,0,0,0
dltA,0,0,0,0,0,0
dltB,0,0,0,0,0,0
dltC,0,0,0,0,0,0
dltD,0,0,0,0,0,0
dltE,0,0,0,0,0,0
dnaA,0,0,0,0,0,0
dnaB,0,0,0,0,0,0
dnaC,0,0,0,0,0,0
dnaD,0,0,0,0,0,0
dnaE,0,0,0,0,0,0
dnaF,0,0,0,0,0,0
dnaJ,0,0,0,0,0,0
dnaK,0,0,0,0,0,0
dppA,0,0,0,0,0,0
dppB,0,0,0,0,0,0
dppC,0,0,0,0,0,0
dppD,0,0,0,0,0,0
dppE,0,0,0,0,0,0
dppF,0,0,0,0,0,0
efp,0,0,0,0,0,0
efp2,0,0,0,0,0,0
fenA,0,0,0,0,0,0
fenB,0,0,0,0,0,0
fenC,0,0,0,0,0,0
fenD,0,0,0,0,0,0
fenE,0,0,0,0,0,0
feuA,0,0,0,0,0,0
feuB,0,0,0,0,0,0
feuC,0,0,0,0,0,0
feuD,0,0,0,0,0,0
fgnZ,0,0,0,0,0,0
fhuB,0,0,0,0,0,0
fhuC,0,0,0,0,0,0
fhuD,0,0,0,0,0,0
fhuG,0,0,0,0,0,0
fmt,0,0,0,0,0,0
ftsA,0,0,0,0,0,0
ftsE,0,0,0,0,0,0
ftsX,0,0,0,0,0,0
ftsY,0,0,0,0,0,0
ftsZ,0,0,0,0,0,0
fumA,0,0,0,0,0,0
fumB,0,0,0,0,0,0
fumC,0,0,0,0,0,0
fur,0,0,0,0,0,0
fusA,0,0,0,0,0,0
glmM,0,0,0,0,0,0
glmS,0,0,0,0,0,0
glmU,0,0,0,0,0,0
glnA,0,0,0,0,0,0
glnH,0,0,0,0,0,0
glnP,0,0,0,0,0,0
glnQ,0,0,0,0,0,0
glnR,0,0,0,0,0,0
gltA,0,0,0,0,0,0
gltB,0,0,0,0,0,0
gltC,0,0,0,0,0,0
gltP,0,0,0,0,0,0
gltS,0,0,0,0,0,0
gltT,0,0,0,0,0,0
gor,0,0,0,0,0,0
groL,0,0,0,0,0,0
groS,0,0,0,0,0,0
grpE,0,0,0,0,0,0
gyrA,0,0,0,0,0,0
gyrB,0,0,0,0,0,0
hisA,0,0,0,0,0,0
hisB,0,0,0,0,0,0
hisC,0,0,0,0,0,0
hisD,0,0,0,0,0,0
hisE,0,0,0,0,0,0
hisF,0,0,0,0,0,0
hisG,0,0,0,0,0,0
icd,0,0,0,0,0,0
ichAA,0,0,0,0,0,0
ilvA,0,0,0,0,0,0
ilvB,0,0,0,0,0,0
ilvC,0,0,0,0,0,0
ilvD,0,0,0,0,0,0
ilvE,0,0,0,0,0,0
infA,0,0,0,0,0,0
infB,0,0,0,0,0,0
infC,0,0,0,0,0,0
ituA,0,0,0,0,0,0
ituB,0,0,0,0,0,0
ituC,0,0,0,0,0,0
ituD,0,0,0,0,0,0
katA,0,0,0,0,0,0
katB,0,0,0,0,0,0
katE,0,0,0,0,0,0
kr1,0,0,0,0,0,0
kr2,0,0,0,0,0,0
ks1,0,0,0,0,0,0
ks2,0,0,0,0,0,0
ks3,0,0,0,0,0,0
leuA,0,0,0,0,0,0
leuB,0,0,0,0,0,0
leuC,0,0,0,0,0,0
leuD,0,0,0,0,0,0
ligA,0,0,0,0,0,0
ligB,0,0,0,0,0,0
ligC,0,0,0,0,0,0
lpd,0,0,0,0,0,0
lutP,0,0,0,0,0,0
lutR,0,0,0,0,0,0
lysA,0,0,0,0,0,0
lysC,0,0,0,0,0,0
malonyl,0,0,0,0,0,0
map,0,0,0,0,0,0
mdh,0,0,0,0,0,0
metA,0,0,0,0,0,0
metB,0,0,0,0,0,0
metC,0,0,0,0,0,0
metE,0,0,0,0,0,0
metF,0,0,0,0,0,0
metH,0,0,0,0,0,0
methyl,0,0,0,0,0,0
minC,0,0,0,0,0,0
minD,0,0,0,0,0,0
minE,0,0,0,0,0,0
mntA,0,0,0,0,0,0
mntB,0,0,0,0,0,0
mntC,0,0,0,0,0,0
mntD,0,0,0,0,0,0
mntH,0,0,0,0,0,0
mreB,0,0,0,0,0,0
mreC,0,0,0,0,0,0
mreD,0,0,0,0,0,0
msaAB,0,0,0,0,0,0
msaB,0,0,0,0,0,0
murA,0,0,0,0,0,0
murB,0,0,0,0,0,0
murC,0,0,0,0,0,0
murD,0,0,0,0,0,0
murE,0,0,0,0,0,0
murF,0,0,0,0,0,0
murG,0,0,0,0,0,0
mutH,0,0,0,0,0,0
mutL,0,0,0,0,0,0
mutS,0,0,0,0,0,0
mycA,0,0,1,1,1,1
mycB,0,0,0,0,0,0
mycC,0,0,0,0,0,0
ndh,0,0,0,0,0,0
nuoA,0,0,0,0,0,0
nuoB,0,0,0,0,0,0
nuoC,0,0,0,0,0,0
nuoD,0,0,0,0,0,0
nuoE,0,0,0,0,0,0
nuoF,0,0,0,0,0,0
oppA,0,0,0,0,0,0
oppB,0,0,0,0,0,0
oppC,0,0,0,0,0,0
oppD,0,0,0,0,0,0
oppF,0,0,0,0,0,0
parC,0,0,0,0,0,0
parE,0,0,0,0,0,0
pbpA,0,0,0,0,0,0
pbpB,0,0,0,0,0,0
pbpC,0,0,0,0,0,0
pbpD,0,0,0,0,0,0
pbpE,0,0,0,0,0,0
perR,0,0,0,0,0,0
pheA,0,0,0,0,0,0
phrC,0,0,0,0,0,0
pksA,0,0,0,0,0,0
pksB,0,0,0,0,0,0
pksC,0,0,0,0,0,0
pksD,0,0,0,0,0,0
pksE,0,0,0,0,0,0
pksM,0,0,0,0,0,0
pksN,0,0,0,0,0,0
pksR,0,0,0,0,0,0
pksS,0,0,0,0,0,0
polA,0,0,0,0,0,0
polC,0,0,0,0,0,0
prfA,0,0,0,0,0,0
prfB,0,0,0,0,0,0
prfC,0,0,0,0,0,0
proP,0,0,0,0,0,0
proV,0,0,0,0,0,0
proW,0,0,0,0,0,0
proX,0,0,0,0,0,0
qoxA,0,0,0,0,0,0
