# Wildtype expression means: rows=genes, columns=intervention conditions
# Metric: WildtypeMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
abnB,0.0120,0.0120,0.0120,0.0120,0.0120,0.0120
abrB,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014
acnA,-0.0210,-0.0210,-0.0210,-0.0210,-0.0210,-0.0210
acnB,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083
acyl,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
ahpC,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151
ahpD,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166
ahpF,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
alr,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
alsR,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
alsS,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023
alsSD,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124
argA,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047
argB,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112
argC,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
argD,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112
argE,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
argF,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077,-0.0077
argG,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
argH,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072,-0.0072
asnA,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011,-0.0011
asnB,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
asnC,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067
at1,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053
at2,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
at3,0.0020,0.0020,0.0020,0.0020,0.0020,0.0020
atpA,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
atpB,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
atpC,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
atpD,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067
atpE,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054
atpF,-0.0051,-0.0051,-0.0051,-0.0051,-0.0051,-0.0051
atpG,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050
atpH,-0.0114,-0.0114,-0.0114,-0.0114,-0.0114,-0.0114
bacA,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
bacB,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051
bacC,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
bacD,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078
bacE,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
bcaP,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043
bcp,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
braB,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154
brnQ,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065,-0.0065
catR,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
ccpA,0.0069,0.0069,0.0069,0.0069,0.0069,0.0069
citH,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081
citM,0.0199,0.0199,0.0199,0.0199,0.0199,0.0199
citP,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
clpB,0.0111,0.0111,0.0111,0.0111,0.0111,0.0111
clpC,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
clpE,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144
clpP,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050
clpX,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
codY,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
comA,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
comK,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
comP,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098
comQ,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006,-0.0006
comS,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
ctaA,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
ctaB,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142
ctaC,0.0078,0.0078,0.0078,0.0078,0.0078,0.0078
ctaD,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
ctaE,0.0149,0.0149,0.0149,0.0149,0.0149,0.0149
ctaF,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088
cydA,0.0124,0.0124,0.0124,0.0124,0.0124,0.0124
cydB,0.0127,0.0127,0.0127,0.0127,0.0127,0.0127
cydC,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
cydD,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095
cysA,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039
cysB,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
cysC,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057
cysD,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040,-0.0040
cysE,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044
cysH,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126
cysI,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
cysK,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027
dapA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
dapB,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086,-0.0086
dat,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142,-0.0142
dctA,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
dctB,0.0142,0.0142,0.0142,0.0142,0.0142,0.0142
dctP,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
ddlA,-0.0146,-0.0146,-0.0146,-0.0146,-0.0146,-0.0146
ddlB,-0.0240,-0.0240,-0.0240,-0.0240,-0.0240,-0.0240
def,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013
degQ,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
degU,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098
dh1,0.0062,0.0062,0.0062,0.0062,0.0062,0.0062
dh2,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
dhbA,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
dhbB,0.0079,0.0079,0.0079,0.0079,0.0079,0.0079
dhbC,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057
dhbD,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052
dhbE,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
dhbF,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
dltA,-0.0235,-0.0235,-0.0235,-0.0235,-0.0235,-0.0235
dltB,-0.0158,-0.0158,-0.0158,-0.0158,-0.0158,-0.0158
dltC,-0.0149,-0.0149,-0.0149,-0.0149,-0.0149,-0.0149
dltD,-0.0162,-0.0162,-0.0162,-0.0162,-0.0162,-0.0162
dltE,-0.0198,-0.0198,-0.0198,-0.0198,-0.0198,-0.0198
dnaA,0.0208,0.0208,0.0208,0.0208,0.0208,0.0208
dnaB,0.0060,0.0060,0.0060,0.0060,0.0060,0.0060
