proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLIGrouping.vb,11,0,2,9,1,0,0,0,0,477,477 B
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,Program.vb,10,4,1,5,1,0,0,1,0,216,216 B
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/Blastn.vb,517,31,70,416,3,0,4,16,0,24242,24.24 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/CLI.vb,333,16,48,269,3,0,1,12,0,16078,16.08 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/COGTools.vb,258,24,33,201,1,0,0,6,0,11873,11.87 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/FastaTools.vb,138,2,20,116,1,0,0,3,0,6066,6.07 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/gbTools.vb,432,10,58,364,2,3,1,17,0,20087,20.09 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/Taxonomy.vb,108,2,13,93,1,0,0,3,0,5150,5.15 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/Tree.vb,80,0,11,69,1,0,0,2,0,3676,3.68 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/Web.vb,69,0,9,60,1,0,0,3,0,2766,2.77 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/BBH/BBH.vb,473,78,50,345,1,0,0,13,0,23813,23.81 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/BBH/SBH.vb,402,7,69,326,1,0,0,10,0,17446,17.45 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,CLI/BBH/UniProtTools.vb,285,24,34,227,1,0,0,7,0,13101,13.10 KB
G:/GCModeller/src/interops/localblast/CLI_tools/localblast.vbproj,<project>,3116,198,418,2500,18,3,6,93,0,144991,144.99 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,Extensions.vb,24,5,2,17,1,0,0,1,0,816,816 B
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,Diamond/DiamondAnnotation.vb,103,51,15,37,1,12,0,2,0,2977,2.98 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,Diamond/DiamondM8Parser.vb,121,22,21,78,1,0,0,4,0,4465,4.46 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,Diamond/TermStreamAssignment.vb,86,10,12,64,1,0,0,4,0,3199,3.20 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/BLASTOutput.vb,47,17,8,22,1,2,0,1,0,2046,2.05 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/GrepOperation.vb,30,0,7,23,1,0,3,1,0,954,954 B
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Views.vb,106,4,17,85,2,3,0,6,0,3745,3.75 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Common/Parameter.vb,104,6,18,80,3,0,0,6,0,3957,3.96 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Common/Score.vb,176,34,27,115,4,9,1,8,0,6823,6.82 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Common/Segment.vb,99,9,17,73,2,8,0,4,0,3671,3.67 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/Parameters.vb,53,12,6,35,1,0,0,1,0,2417,2.42 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/Parser.vb,467,93,79,295,2,1,2,20,0,21154,21.15 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/blastn/BlastnOutputReader.vb,17,0,4,13,1,0,0,1,0,569,569 B
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/blastn/BlastnQuery.vb,6,0,2,4,1,0,0,0,0,130,130 B
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/blastp/BlastpOutputReader.vb,192,25,26,141,1,0,0,6,0,7493,7.49 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/BlastX/BlastX.vb,75,7,13,55,1,1,0,7,0,2904,2.90 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/BlastX/BlastXHit.vb,51,0,9,42,1,1,2,2,0,1789,1.79 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/BlastX/Extensions.vb,61,14,6,41,1,0,0,1,0,2721,2.72 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/BlastX/HitFragment.vb,55,14,9,32,1,8,0,1,0,1782,1.78 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/BlastX/OutputReader.vb,253,27,41,185,1,0,0,11,0,9595,9.60 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/2.6.0+/BlastX/Query.vb,73,31,10,32,2,6,0,3,0,2173,2.17 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/Models/Query.vb,166,25,26,115,1,6,2,9,0,6496,6.50 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/Models/SubjectHit.vb,172,27,29,116,1,8,0,6,0,6521,6.52 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/Models/v228.vb,277,44,32,201,3,2,0,13,0,13040,13.04 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/Models/Hits/Blastn.vb,106,9,18,79,1,3,0,3,0,3859,3.86 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Reader/Blast+/Models/Hits/Blastp.vb,88,8,12,68,2,10,0,1,0,3479,3.48 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Xml/BireHits.vb,111,12,16,83,3,35,0,4,0,4587,4.59 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Xml/BlastOutput.vb,126,12,14,100,2,15,0,9,0,5842,5.84 KB
G:/GCModeller/src/interops/localblast/LocalBLAST/localblast.NET5.vbproj,LocalBLAST/BlastOutput/Xml/Iteration.vb,71,0,11,60,1,6,0,4,0,2719,2.72 KB
