,kegg_code,organism,kingdom,lineage
T00007,eco,Escherichia coli K-12 MG1655,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00068,ecj,Escherichia coli K-12 W3110,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00666,ecd,Escherichia coli K-12 DH10B,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00913,ebw,Escherichia coli K-12 BW2952,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02541,ecok,Escherichia coli K-12 MDS42,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T09611,ecoc,Escherichia coli K-12 C3026,Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00044,ece,Escherichia coli O157:H7 EDL933 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00048,ecs,Escherichia coli O157:H7 Sakai (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00778,ecf,Escherichia coli O157:H7 EC4115 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T00949,etw,Escherichia coli O157:H7 TW14359 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02122,elx,Escherichia coli O157:H7 Xuzhou21 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01097,eoi,Escherichia coli O111:H- 11128 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01098,eoj,Escherichia coli O26:H11 11368 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T01096,eoh,Escherichia coli O103:H2 12009 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T03010,ecoo,Escherichia coli O145:H28 RM13514 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T03011,ecoh,Escherichia coli O145:H28 RM13516 (EHEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02257,esl,Escherichia coli O104:H4 2011C-3493 (EAEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02256,eso,Escherichia coli O104:H4 2009EL-2071 (EAEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
T02316,esm,Escherichia coli O104:H4 2009EL-2050 (EAEC),Prokaryotes,Prokaryotes;Bacteria;Enterobacteria;Escherichia
