"","mz","rt","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","M1","M2","M3","M4","M5","M6","M7","M8","X1","X2","X3","X4","X5","X6","X7","X8","H1","H2","H3","H4","H5","H6","H7","H8","H9","A1","A2","A3","A4","A5","A6","A7","A8","L1","L2","L3","L4","L5","L6","L7","L8","L9"
"S-Glutathionyl-L-cysteine",427.0963717,98.8889,1460.99030640581,2102.22300519044,1381.13242543818,1294.11274402248,1122.60084631342,1509.64749612899,1613.17765088879,1500.41724850591,1233.62778615631,1542.66405382614,2416.93848692117,1885.74136999005,1264.58646194929,2452.75617291737,1292.95787898862,1814.39058285869,1567.56128524292,2579.10892961137,2195.04555883463,1982.64327690844,1929.36870432705,2600.75636158132,2138.05327103646,1257.75858550221,3180.74911160344,2176.66047181071,2011.54383686791,1111.73003002433,1316.49103129083,1055.05803669824,2050.85676534308,2091.76451903261,1258.9788882885,1883.3536300382,1542.49563629055,2815.23309364041,1771.64442558572,1371.94909898277,825.521527623825,1733.65586263664,17.3286051694962,1617.71774857503,1501.53443636727,2259.99771211386,2820.4218868408,2060.92910913045,1956.59227682845,984.121357226848,1229.575916386,474.836897608125,429.897496660481,1219.5215136402
"D-Lysopine",217.1178311,94.7744,3.10882702790962,1.8638755800277,4.81091163522923,3.04482134983034,6.0842001451987,17.1413889746215,4.21941722229443,4.13366813152817,5.35425174777385,7.23252778780628,12.657848064143,5.51249791503338,3.17540572296537,4.85031675925023,17.8721273082816,4.88065823524704,18.8178995014257,3.75159364152113,28.5771997262931,3.19947430157958,14.5422503936469,6.40974195675022,14.9988607478495,4.99956847917391,4.36812894915383,14.8093220495138,3.70712311715762,1.77925797080391,3.06649916337597,2.11867844892851,3.148814305175,9.3749710194883,4.61784670133882,10.4631021128875,2.93321977470977,16.0369074516653,3.37135966291448,12.480668279579,1.93292014485951,2.8499505088863,2.11999376158367,16.2735774300922,12.8883413752063,2.35524799801862,9.68329401431516,4.32376945520647,3.64764819395067,2.44496276941339,3.50201270363359,3.62347605507435,4.34972769477642,9.74146947520189
"Imidazol-5-yl-pyruvate",153.0289051,147.329,4270.29523680638,205.755278877904,274.025816099929,3457.85303402075,141.708610152536,193.298630435157,188.349958939728,164.684899456011,186.786772783143,156.026151265845,176.88178517934,135.963814842083,184.450178943709,160.036886661993,185.850379732107,166.654256232328,186.487436932727,105.093266201579,166.830860596303,196.703370851082,193.758111968339,203.354623402511,1247.81551114906,206.911697540663,234.024649613771,217.610774302376,262.370501147377,173.609930564402,222.747665264644,4605.2486822679,232.601642271389,213.215156949244,150.767374556813,182.752484839107,144.227156589115,2662.22808722505,118.232715768866,3129.42045653052,357.268782674023,130.281621664773,118.990203673232,163.667796325036,161.406357583122,121.898884830533,141.279548854018,157.100993805721,1291.40085452442,185.407980196939,99.7225642680295,162.752708079034,149.37447328972,156.921776393186
"2-Keto-6-acetamidocaproate",187.0862515,399.482,0.681093075318017,0.456423197124124,0.443775542565904,0.640649821534371,0.479660520836796,0.620094331280336,0.348555077107585,0.79811672808922,0.596943905618674,0.299123284540406,0.585876175437193,0.581512353712422,0.577883367473857,0.574962934573348,0.212557292551748,0.571169618452738,0.5259385060915,1.41868181926191,0.570434230406764,0.571498771171781,0.573226468384777,0.575629158309511,0.578723382015387,0.582530382955111,0.587075298928589,0.592380302313247,1.46817895907378,1.02896442073579,1.40376965722706,0.916048087520483,1.49264979947513,1.33766219115942,1.72573161234564,1.27419032495092,1.85308520317339,0.774359695250592,0.807083758418385,0.0331088195228193,2.28237294107378,0.90346105538475,2.29584941823491,0.38980494885243,1.00388052341506,0.907006923418856,1.93876912285589,2.66610034172844,1.67697849467009,2.83536823080075,2.65532953145713,2.61839314988261,2.53371012143533,2.37107916916045
"(3S,5S)-3,5-Diaminohexanoate",145.0966058,121.769,19.9359836638182,222.311528576741,5.69046966907903,271.405484438546,29.2089551047541,101.706856950843,15.7040004774823,37.2267399793783,16.0872656033255,3.58773700014247,8.28397944218884,5.01647202095507,40.3534386966711,2.2639191306493,3.49559408754593,94.3507920456088,28.9513768918112,1.86049931845918,4.81850364184224,15.2980974866945,20.5356501069566,4.41618632721593,11.975588397291,15.4950457178966,101.618600741084,26.0487537238794,19.6474183045494,12.5415323555483,1.94462612483576,24.0571732705163,13.0185981236254,64.7345643340278,25.9831660001982,2.51637221377778,3.04223117405014,29.9829962085951,22.0590633717352,32.1830440326898,19.1186990293929,11.505915854734,3.18596426619045,37.9590072473407,32.3652784814539,21.6654514349077,2.45455197271485,35.0127481644834,13.9726994186187,103.972397115205,73.6190534364744,21.1941739287935,35.9058030544038,10.9065012741442
"Sucrose",342.1196129,151.121,31.3579676722408,37.1874764139069,276.839938796071,274.389894530041,288.266977587214,317.754194350411,318.163771048245,491.921257111896,347.064973607337,95.6665854960176,416.932742962978,388.801127709827,118.233317381866,380.765956779274,92.2845436943152,287.567212159525,284.022024777222,273.617801089762,408.117518434596,317.041822761301,276.537195907456,240.673321159956,265.506431788279,366.352565120382,348.668261198796,72.9871047972559,296.997176713947,92.5790104196534,338.312237240685,59.9002147092674,301.829403656903,285.166716507894,253.681375043075,287.572650592001,259.393692976347,27.6804810658234,370.406703142607,348.953025330165,62.4356088754175,578.089914180848,112.393463181542,379.596283347823,239.568883667398,330.346090600365,235.358310532135,444.376400016441,745.929362245648,175.336451811267,897.170326919353,282.883172287093,273.135527701556,226.345683312437
"L-Carnitine",162.113061,91.32605,29197.9800552268,29296.5375374987,25270.6484318562,25864.1897030701,32593.7579482303,39922.5614538646,29733.1356936499,27148.857541314,23116.00343421,28787.7379587518,41052.0923134038,63713.4530233339,34963.2214618354,37713.3109745052,27400.5448915465,35239.4081986633,60681.7479132996,50196.427515288,44863.3371278814,42964.4382089717,28968.5417357014,46154.1379126966,23800.7646903069,24698.1616580182,21420.6308251131,24588.6362997065,33650.8653973593,50320.0505601599,36072.4400325411,28726.3742338761,33857.0841417309,30777.8089345509,29924.649767876,30360.7901767861,30743.176648189,27313.6184193139,32983.0452811152,24766.3923560229,7563.651619956,39270.7872166575,24728.81094074,22937.5646292518,22747.428840521,43149.2784369077,25111.7590346091,32221.7797540131,31076.4555372807,19881.1173943478,39781.523684791,26563.4800690914,23545.4626864741,24151.6064161977
"Cytosine",112.0508451,103.716,977.500952644096,1142.6159202286,1094.55164154819,1377.76700961154,1348.02432714406,1236.73010483275,1312.56096481206,1380.31365969766,1258.6991989357,1234.37852637981,1375.93143270173,1555.19009591481,1339.01018830429,1635.90167009351,1425.39567893356,1334.09576423296,1334.45994618718,1.94014167199669,1597.03163901305,1703.3064137003,1231.82203190591,1502.54016727292,1483.25607206066,1412.60140185654,1567.17395159037,1621.77612289209,1759.23024819845,2145.01793147851,1396.16574089919,2048.35262985198,1689.3232505261,1524.13348797025,1389.85144981463,1603.61266788538,1479.89031598104,1643.46099735873,1329.63952747074,1911.19657236519,1755.76654329914,1719.19330607777,2104.43466834228,2137.77311848013,1434.19617885859,1923.50948678761,1395.50662386628,1513.52462707394,1534.68062025912,1467.38661762227,1453.11921371037,1630.88165321956,1451.90337873546,1468.0933978688
"Glutathione",308.0922033,124.504,880.484157195429,935.34465279568,982.881210798008,1800.73162793998,1040.04039069734,1129.49821093798,1409.72000127823,1175.21587428177,1245.43611525328,1940.05997334732,1392.82696716326,2063.61619208403,1169.73857429633,2084.56327954298,1510.23162232996,1348.8541537479,729.685592964409,1853.3483242808,5073.3141176995,1379.65122904898,2313.39691191514,2629.08262183778,1986.048206619,730.94658809477,1218.06121048865,1685.84380877134,1648.59158327279,941.381641488836,1048.37699050795,1160.6184242946,1760.558310526,1374.74538360427,986.610708146454,1622.96274292629,1212.10370009373,2108.18860916086,1093.52758068081,829.235157587663,938.451917573559,1197.95486743169,4.72982125391396,1579.63497023772,1253.69732589389,2351.48904899073,1784.14163184822,2309.1583591817,2083.19175844612,1116.93142096583,1554.76270457098,574.881149129747,494.478484438307,986.75641952208
"L-Kynurenine",209.0931713,341.5315,1985.45184450605,1998.02280702609,2184.17855909693,1187.85116905652,1145.35474955064,1236.11580838821,1454.9576263956,1020.78396074075,1133.30771928487,1166.51161762934,846.462592714015,979.403114775313,978.669054169807,1180.22162426392,1929.79981881739,1178.5073959027,988.601636043691,1214.47894402247,846.271454600382,1191.05312343932,1270.55214170742,1194.14587607596,1122.99562738883,1744.2377274234,1620.70382922556,1927.32728393434,1313.46501387545,1246.44004572083,1096.39851865827,845.351496760308,1281.10608385375,1230.13111756638,1257.95910927679,1456.24327153502,1197.72202537116,834.613953712047,675.071651227932,1013.46727498645,2007.333129791,1546.44109157236,1000.73138647974,713.140880734199,1242.60862965607,996.662761009482,1168.50621731656,1444.22565600202,1061.27671424036,1254.55281790599,1090.15548988798,1325.63390169663,1194.49776113234,1332.14429819158
