fromNode,toNode,value,interaction_type,selfLoop,label,guid
C00022,DLD3,6,"1.1.99.40, 2.6.1.2, 2.6.1.21",False,,0
C00022,1.5.-.-,0,"1.5.1.16, 2.6.1.71",False,,1
C00026,LYS1,3,"1.5.1.7, 1.5.1.8, 2.6.1.36",False,,10
C00026,TAT,4,"2.6.1.5, 2.6.1.57",False,,11
C00026,puuE,4,"2.6.1.19, 2.6.1.55",False,,12
C00026,ilvE,1,"2.6.1.42, 2.6.1.6",False,,13
C00026,gabT,5,"2.6.1.19, 4.1.1.71",False,,14
C00026,toa,1,2.6.1.55,False,,15
C00026,AADAT,4,2.6.1.39,False,,16
C00026,Tam1,1,2.6.1.27,False,,17
C00026,serC,2,2.6.1.52,False,,18
C00385,punA,5,"2.4.2.1, 2.4.2",False,,19
C00022,ODH1,2,"1.5.1.11, 2.6.1.84",False,,2
C00780,AANAT,2,2.3.1.87,False,,20
C00047,CRNS1,2,"3.4.13.4, 6.3.2.11",False,,21
C00047,4.3.-.-,0,4.3.1.28,False,,22
DLD3,C00026,6,"1.1.99.40, 2.6.1.2, 2.6.1.21",False,,23
1.5.-.-,C00047,0,"1.5.1.16, 2.6.1.71",False,,24
1.5.-.-,C00062,0,1.5.1.19,False,,25
1.5.-.-,C00099,0,"1.5.1.26, 2.6.1.18",False,,26
C00062,CRNS1,2,6.3.2.11,False,,27
ODH1,C00062,2,"1.5.1.11, 2.6.1.84",False,,28
C00062,2.1.-.-,0,2.1.4.1,False,,29
C00022,4.1.-.-,0,4.1.3.44,False,,3
4.1.-.-,C00073,0,4.1.3.44,False,,30
avtA,C00141,2,2.6.1.66,False,,31
ME2,C00149,4,"1.1.1.39, 1.1.1.38, 1.1.1.40, 1.1.99.7",False,,32
hpaI,C00232,5,"2.6.1.96, 4.1.2.52",False,,33
tpa,C00245,1,"1.5.1.23, 2.6.1.77",False,,34
TAA1,C00331,1,2.6.1.99,False,,35
LYS1,C00047,3,"1.5.1.7, 1.5.1.8, 2.6.1.36",False,,36
TAT,C00073,4,"2.6.1.5, 2.6.1.57",False,,37
puuE,C00099,4,"2.6.1.19, 2.6.1.55",False,,38
ilvE,C00407,1,2.6.1.42,False,,39
C00022,avtA,2,2.6.1.66,False,,4
C00073,ISS1,2,2.6.1,False,,40
ilvE,C00141,1,"2.6.1.42, 2.6.1.6",False,,41
gabT,C00232,5,"2.6.1.19, 4.1.1.71",False,,42
toa,C00245,1,2.6.1.55,False,,43
AADAT,C00322,4,2.6.1.39,False,,44
AADAT,C00956,4,2.6.1.39,False,,45
Tam1,C00331,1,2.6.1.27,False,,46
serC,C01005,2,2.6.1.52,False,,47
CRNS1,C00099,2,"3.4.13.4, 6.3.2.11",False,,48
4.3.-.-,C00408,0,4.3.1.28,False,,49
C00022,ME2,4,"1.1.1.39, 1.1.1.38, 1.1.1.40, 1.1.99.7",False,,5
4.3.-.-,C01879,0,4.3.2.8,False,,50
2.1.-.-,C00245,0,2.1.4.1,False,,51
ISS1,C00331,2,2.6.1,False,,52
pydC,C02642,3,3.5.1.6,False,,53
C00099,pydC,3,3.5.1.6,False,,54
2.6.-.-,C00407,0,2.6.1.32,False,,55
punA,C00620,3,2.4.2.1,False,,56
AANAT,C00978,2,2.3.1.87,False,,57
C00141,2.6.-.-,0,2.6.1.32,False,,58
C00153,punA,3,2.4.2.1,False,,59
C00022,hpaI,5,"2.6.1.96, 4.1.2.52",False,,6
C00022,tpa,1,"1.5.1.23, 2.6.1.77",False,,7
C00022,TAA1,1,2.6.1.99,False,,8
C00026,1.5.-.-,0,1.5.1.19,False,,9
