ID,NodeType,weight,node_color,common_name,related,label
C00092,KEGG Compound,1,#6495ED,C00092,n/a,C00092
C00105,KEGG Compound,1,#6495ED,C00105,R00963|R00155,C00105
C00106,KEGG Compound,1,#6495ED,C00106,n/a,C00106
C00130,KEGG Compound,1,#6495ED,C00130,R01126|R00720|R00961|R01135,C00130
C00135,KEGG Compound,1,#6495ED,C00135,n/a,C00135
C00144,KEGG Compound,1,#6495ED,C00144,R01227|R00426|R00328,C00144
C00245,KEGG Compound,1,#6495ED,C00245,n/a,C00245
C00253,KEGG Compound,1,#6495ED,C00253,n/a,C00253
C00294,KEGG Compound,1,#6495ED,C00294,R01126,C00294
C00581,KEGG Compound,1,#6495ED,C00581,n/a,C00581
C00719,KEGG Compound,1,#6495ED,C00719,n/a,C00719
C01004,KEGG Compound,1,#6495ED,C01004,n/a,C01004
C01595,KEGG Compound,1,#6495ED,C01595,n/a,C01595
C01762,KEGG Compound,1,#6495ED,C01762,R02719,C01762
C02043,KEGG Compound,1,#6495ED,C02043,n/a,C02043
C02727,KEGG Compound,1,#6495ED,C02727,n/a,C02727
C03761,KEGG Compound,1,#6495ED,C03761,n/a,C03761
C05402,KEGG Compound,1,#6495ED,C05402,n/a,C05402
C06354,KEGG Compound,1,#6495ED,C06354,n/a,C06354
F8WG43,enzyme,1,#FF0000,,,F8WG43
Q6AYP7,enzyme,1,#FF0000,,,Q6AYP7
R01126,reaction,1,,,,"E3.1.3.5, surE, yfkN, yjjG, ushA, ISN1, NT5E, CD73, yrfG"
