fromNode,toNode,value,interaction_type,selfLoop,label,guid
C00158,R01325,0,4.2.1.3,False,,10-67
C00158,R12353,0,6.3.2.58,False,,10-68
C00300,R01884,0,3.5.2.10,False,,15-69
C00049,R00578,0,6.3.5.4,False,,1-57
C00049,R00695,0,2.6.1.70,False,,1-58
C00049,R01954,0,6.3.4.5,False,,1-59
C00319,R01926,0,2.7.1.91,False,,16-70
C00319,R06521,0,"3.1.3.4, 3.1.3",False,,16-71
C00327,R02513,0,3.5.3.18,False,,17-72
C00417,R02243,0,4.1.1.6,False,,20-73
C00062,R10106,0,,False,,2-60
C00062,R00557,0,1.14.13.39,False,,2-61
C00062,R11711,0,1.14.14.47,False,,2-62
C00062,R00552,0,3.5.3.6,False,,2-63
C01746,R03994,0,2.3.1.145,False,,31-74
C00064,R01375,0,2.6.1.64,False,,3-64
C07130,R07971,0,1.13.12,False,,46-75
C07130,R07972,0,1.13.12,False,,46-76
C00073,R02821,0,2.1.1.5,False,,5-65
C00073,R10246,0,4.1.99.19,False,,5-66
R00578,C00064,0,6.3.5.4,False,,57-3
R00695,C00079,0,2.6.1.70,False,,58-6
R01954,C00327,0,6.3.4.5,False,,59-17
R10106,C00327,0,,False,,60-17
R00557,C00327,0,1.14.13.39,False,,61-17
R11711,C00327,0,1.14.14.47,False,,62-17
R00552,C00327,0,3.5.3.6,False,,63-17
R01375,C00079,0,2.6.1.64,False,,64-6
R02821,C01026,0,2.1.1.5,False,,65-27
R10246,C01468,0,4.1.99.19,False,,66-29
R01325,C00417,0,4.2.1.3,False,,67-20
R12353,C00515,0,6.3.2.58,False,,68-23
R01884,C00791,0,3.5.2.10,False,,69-24
R01926,C06124,0,2.7.1.91,False,,70-42
R06521,C06124,0,"3.1.3.4, 3.1.3",False,,71-42
R02513,C03626,0,3.5.3.18,False,,72-36
R02243,C00490,0,4.1.1.6,False,,73-22
R03994,C03882,0,2.3.1.145,False,,74-38
R07971,C07481,0,1.13.12,False,,75-47
R07972,C07481,0,1.13.12,False,,76-47
