"","Total","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact","compounds","pathway","links"
"Valine, leucine and isoleucine biosynthesis",23,3,0.00024755,8.3039,0.037381,0.018814,0,"C00188;C00123;C00407","ko00290","http://www.kegg.jp/pathway/ko00290+C00188+C00123+C00407"
"Cyanoamino acid metabolism",45,3,0.0018319,6.3024,0.27479,0.078975,0,"C00049;C00082;C00407","ko00460","http://www.kegg.jp/pathway/ko00460+C00049+C00082+C00407"
"Glycine, serine and threonine metabolism",47,3,0.0020783,6.1762,0.30966,0.078975,0.12773,"C00258;C00049;C00188","ko00260","http://www.kegg.jp/pathway/ko00260+C00258+C00049+C00188"
"2-Oxocarboxylic acid metabolism",108,4,0.0026486,5.9337,0.392,0.080518,0.02174,"C00049;C00407;C00082;C00123","ko01210","http://www.kegg.jp/pathway/ko01210+C00049+C00407+C00082+C00123"
"Arginine biosynthesis",23,2,0.0069875,4.9636,1,0.17702,0,"C00049;C00122","ko00220","http://www.kegg.jp/pathway/ko00220+C00049+C00122"
"Alanine, aspartate and glutamate metabolism",28,2,0.010266,4.579,1,0.20879,0.29742,"C00049;C00122","ko00250","http://www.kegg.jp/pathway/ko00250+C00049+C00122"
"Monobactam biosynthesis",29,2,0.010989,4.5109,1,0.20879,0.02184,"C00082;C00049","ko00261","http://www.kegg.jp/pathway/ko00261+C00082+C00049"
"Biosynthesis of secondary metabolites",789,9,0.019744,3.9249,1,0.30926,0.03054,"C00082;C00049;C00123;C00188;C00407;C00258;C00122;C00073;C00805","ko01110","http://www.kegg.jp/pathway/ko01110+C00082+C00049+C00123+C00188+C00407+C00258+C00122+C00073+C00805"
"Valine, leucine and isoleucine degradation",40,2,0.020346,3.8949,1,0.30926,0,"C00123;C00407","ko00280","http://www.kegg.jp/pathway/ko00280+C00123+C00407"
"Carbon metabolism",111,3,0.022574,3.791,1,0.31193,0.01633,"C00258;C00049;C00122","ko01200","http://www.kegg.jp/pathway/ko01200+C00258+C00049+C00122"
"Nicotinate and nicotinamide metabolism",50,2,0.030902,3.4769,1,0.33433,0,"C00049;C00122","ko00760","http://www.kegg.jp/pathway/ko00760+C00049+C00122"
"Glucosinolate biosynthesis",50,2,0.030902,3.4769,1,0.33433,0,"C00082;C00407","ko00966","http://www.kegg.jp/pathway/ko00966+C00082+C00407"
"Phenylalanine metabolism",51,2,0.032055,3.4403,1,0.33433,0,"C00122;C00082","ko00360","http://www.kegg.jp/pathway/ko00360+C00122+C00082"
