proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
R#\annotationKit\annotationKit.vbproj,annotationKit\BioCyc.vb,112,10,14,88,1,0,0,5,0,3751,3.75 KB
R#\annotationKit\annotationKit.vbproj,annotationKit\OBO_DAG.vb,21,8,3,10,1,0,0,1,0,578,578 B
R#\annotationKit\annotationKit.vbproj,"annotationKit\obj\x64\Rsharp_app_release\net48\.NETFramework,Version=v4.8.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,309,309 B
R#\annotationKit\annotationKit.vbproj,annotationKit\obj\x64\Rsharp_app_release\net48\annotationKit.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1072,1.07 KB
R#\annotationKit\annotationKit.vbproj,"annotationKit\obj\x64\Rsharp_app_release\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
R#\annotationKit\annotationKit.vbproj,annotationKit\obj\x64\Rsharp_app_release\net5.0\annotationKit.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1072,1.07 KB
R#\annotationKit\annotationKit.vbproj,"annotationKit\obj\x64\Rsharp_app_release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
R#\annotationKit\annotationKit.vbproj,annotationKit\obj\x64\Rsharp_app_release\net6.0\annotationKit.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1072,1.07 KB
R#\annotationKit\annotationKit.vbproj,<project>,226,51,29,146,2,0,0,6,0,8448,8.45 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\GSEA.vb,264,47,24,193,2,0,1,10,0,11126,11.13 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\GSEABackground.vb,432,60,42,330,1,0,1,18,0,16992,16.99 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\GSVA.vb,126,8,13,105,1,0,0,4,0,4839,4.84 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\KOBAS.vb,17,0,2,15,1,0,0,1,0,541,541 B
R#\gseakit\gseakit.NET5.vbproj,gseakit\Profiles.vb,38,9,5,24,1,0,0,2,0,1652,1.65 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\UniProt.vb,95,4,14,77,1,0,0,3,0,3657,3.66 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\zzz.vb,11,0,4,7,1,0,1,0,0,175,175 B
R#\gseakit\gseakit.NET5.vbproj,gseakit\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
R#\gseakit\gseakit.NET5.vbproj,gseakit\My Project\AssemblyInfo.vb,37,15,6,16,0,0,0,0,0,1219,1.22 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2774,2.77 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,2989,2.99 KB
R#\gseakit\gseakit.NET5.vbproj,"gseakit\obj\x64\Rsharp_app_release\net48\.NETFramework,Version=v4.8.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,309,309 B
R#\gseakit\gseakit.NET5.vbproj,gseakit\obj\x64\Rsharp_app_release\net48\gseakit.NET5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1054,1.05 KB
R#\gseakit\gseakit.NET5.vbproj,"gseakit\obj\x64\Rsharp_app_release\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
R#\gseakit\gseakit.NET5.vbproj,gseakit\obj\x64\Rsharp_app_release\net5.0\gseakit.NET5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1054,1.05 KB
R#\gseakit\gseakit.NET5.vbproj,"gseakit\obj\x64\Rsharp_app_release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
R#\gseakit\gseakit.NET5.vbproj,gseakit\obj\x64\Rsharp_app_release\net6.0\gseakit.NET5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1054,1.05 KB
R#\gseakit\gseakit.NET5.vbproj,gseakit\Utils\MapBackground.vb,143,10,14,119,1,0,0,4,0,6199,6.20 KB
R#\gseakit\gseakit.NET5.vbproj,<project>,1406,227,158,1021,12,4,4,42,0,56666,56.67 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\activatorUtils.vb,62,0,6,56,1,0,0,4,0,2406,2.41 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\britekit.vb,238,38,25,175,1,0,1,7,0,9282,9.28 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\metabolism.vb,161,37,21,103,1,0,1,6,0,5872,5.87 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\network.vb,60,10,8,42,1,0,0,2,0,2364,2.36 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\profiles.vb,232,19,29,184,1,0,0,7,0,10080,10.08 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\report.vb,233,43,23,167,1,0,0,10,0,9862,9.86 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\zzz.vb,7,0,3,4,1,0,0,0,0,102,102 B
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\My Project\AssemblyInfo.vb,37,15,6,16,0,0,0,0,0,1220,1.22 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2775,2.77 KB
R#\kegg_kit\kegg_kit.NET5.vbproj,kegg_kit\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,2990,2.99 KB
