proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\DataAnalysis.vb,40,0,8,32,2,8,0,0,0,893,893 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\Extensions.vb,306,89,25,192,1,0,0,11,0,12824,12.82 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\SampleNames.vb,103,20,13,70,1,0,0,1,0,3540,3.54 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\My Project\Application.Designer.vb,13,9,2,2,0,0,0,0,0,438,438 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\My Project\AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1097,1.10 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2822,2.82 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,3086,3.09 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\Debug\net48\.NETFramework,Version=v4.8.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,309,309 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\Debug\net48\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1185,1.19 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\Debug\net5.0\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1185,1.19 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\Debug\net6.0\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1185,1.19 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\x64\mzkit_win32\net48\.NETFramework,Version=v4.8.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,309,309 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\x64\mzkit_win32\net48\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1191,1.19 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\x64\mzkit_win32\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\x64\mzkit_win32\net5.0\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1191,1.19 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\x64\mzkit_win32\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\x64\mzkit_win32\net6.0\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1191,1.19 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\x64\Rsharp_app_release\net48\.NETFramework,Version=v4.8.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,309,309 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\x64\Rsharp_app_release\net48\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1198,1.20 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\x64\Rsharp_app_release\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\x64\Rsharp_app_release\net5.0\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1198,1.20 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,"ExperimentDesigner\obj\x64\Rsharp_app_release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.vb",7,1,1,5,0,0,0,0,0,297,297 B
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\obj\x64\Rsharp_app_release\net6.0\designer-netcore5.AssemblyInfo.vb,24,10,3,11,0,0,0,0,0,1198,1.20 KB
modules\ExperimentDesigner\designer-netcore5.vbproj,ExperimentDesigner\Templates\AnalysisDesigner.vb,75,30,10,35,1,4,0,4,0,2242,2.24 KB
