proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,Extensions.vb,379,89,37,253,2,8,0,15,0,15504,15.50 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,SampleIndex.vb,53,0,10,43,1,3,1,3,0,1651,1.65 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,SampleNames.vb,133,28,18,87,1,0,0,3,0,4915,4.92 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,ExpressionModel/DEGModel.vb,61,26,6,29,1,8,2,1,0,1819,1.82 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,ExpressionModel/ExpressionData.vb,30,0,6,24,1,0,0,2,0,1108,1.11 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,ExpressionModel/IDeg.vb,14,7,2,5,1,3,0,0,0,329,329 B
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,GroupAnalysis/DataAnalysis.vb,67,15,9,43,1,4,2,2,0,1951,1.95 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,GroupAnalysis/DataGroup.vb,69,16,9,44,1,4,0,4,0,2625,2.62 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,Templates/AnalysisDesigner.vb,83,36,12,35,1,4,0,4,0,2409,2.41 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,Templates/SampleGroup.vb,71,27,10,34,1,4,2,2,0,2327,2.33 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,Templates/SampleInfo.vb,84,21,11,52,1,4,3,2,0,2912,2.91 KB
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,Templates/SampleTuple.vb,28,7,4,17,1,3,0,1,0,786,786 B
G:/GCModeller/src/workbench/modules/ExperimentDesigner/designer-netcore5.vbproj,Templates/Time_series.vb,5,0,2,3,1,1,0,0,0,102,102 B
