,T0.00h,T0.50h,T1.00h,T1.50h,T2.00h,T2.50h,T3.00h,T3.50h,T4.00h,T4.50h,T5.00h,T5.50h,T6.00h,T6.50h,T7.00h,T7.50h,T8.00h,T8.50h,T9.00h,T9.50h,T10.00h,T10.50h,T11.00h,T11.50h,T12.00h,T12.50h,T13.00h,T13.50h,T14.00h,T14.50h,T15.00h,T15.50h,T16.00h,T16.50h,T17.00h,T17.50h,T18.00h,T18.50h,T19.00h,T19.50h,T20.00h,T20.50h,T21.00h,T21.50h,T22.00h,T22.50h,T23.00h,T23.50h,T24.00h,T25.00h,T26.00h,T27.00h,T28.00h,T29.00h,T30.00h,T31.00h,T32.00h,T33.00h,T34.00h,T35.00h,T36.00h,T37.00h,T38.00h,T39.00h,T40.00h,T41.00h,T42.00h,T43.00h,T44.00h,T45.00h,T46.00h,T47.00h,T48.00h,T49.50h,T51.00h,T52.50h,T54.00h,T55.50h,T57.00h,T58.50h,T60.00h,T61.50h,T63.00h,T64.50h,T66.00h,T67.50h,T69.00h,T70.50h,T72.00h,T74.00h,T76.00h,T78.00h,T80.00h,T82.00h,T84.00h,T86.00h,T88.00h,T90.00h,T92.00h,T94.00h,T96.00h,T98.00h,T100.00h
GENE_HXK1,57.26457722033637,71.15685880340023,69.91069052571103,76.35841502847889,59.81580955935066,59.65318214114991,58.51000009840906,54.47991136757391,38.01325788200126,70.59130800024094,68.54736927268875,46.56587976094283,55.8386780785644,52.41741062354231,52.16055044136137,39.147022157452824,51.61388077577849,61.403925353628836,77.10836863556294,58.350235332063455,55.47549170168622,49.70535856849748,48.47638488807317,60.17180069774514,54.379403939574544,46.62075990558147,43.160632680754865,49.193576865474974,45.87885864187379,49.29214533761902,47.123532047364726,51.10101669964712,38.70244341985443,55.00181733948257,66.24937112837647,54.55453246304041,47.28741595995589,51.301547568728644,38.05195622332527,33.836941707009345,49.017077686871026,39.961695578004964,34.33639238685446,36.96624316898168,35.01264345034872,42.58129020419921,44.93110504202067,46.36025602523152,45.94193947555583,44.21479495412699,37.73895437951535,34.63147350793974,29.00235270522533,42.84678694131171,35.136853989456974,33.25708602118068,40.95513750732628,29.570807243450353,37.77528853372718,34.452875818189725,27.37042278744207,31.502757849805963,35.90194276866998,34.486703043475686,37.10353420358203,31.328603891260784,44.1832147016383,24.893065782864397,26.7327602343119,27.74322809706646,21.70873518884616,31.417276167665666,30.400484776440152,26.273531420971228,23.594641842419968,19.492073903682083,21.710725498203313,26.84121204655287,22.93578687880586,21.76327825382015,24.551294913160355,26.331281183830395,22.90204633456556,22.70916199170444,25.727314748589656,21.55569675492555,19.723731889308436,22.43555707528994,19.3129541206864,18.629046593251825,23.069821840815315,18.20776026413031,11.272220348252844,19.398597151874757,17.091266889150425,17.134742945136146,18.869395266275184,17.00604113032244,17.780641545072562,11.85886326708589,14.450781747234494,20.158861150527322,16.43690879530058
GENE_HXK2,48.71622150989953,64.84985552845734,86.97065955150018,60.94351874929759,64.81863186996337,60.96494662243511,49.94811059348101,70.11823012034226,65.83243723266791,65.41077303590045,49.91201529097041,69.15008898377178,44.597341482321106,60.73929628440081,73.32055367262103,46.45317848139747,49.359062342051544,54.12885165569226,48.74899455761592,40.012218625005694,52.08759615858715,42.85945853804342,53.99971753267557,42.984594235539205,60.777125563990836,43.04185059953208,45.909112909383744,53.537557048309495,38.48409561522367,48.282277024932434,55.24396508797258,34.676055408136946,46.45927740743817,46.47148715974803,49.44566195421154,35.66545152672603,34.74942887569587,46.23789288765317,44.326399260756155,43.575884937335,43.726353174058524,36.94455852795358,42.140952568902264,42.08171605023221,35.627473441979355,50.55830381509457,41.88798454291308,31.800735316198406,42.11254564976365,32.09292480165446,41.2140275546927,42.44073799170649,31.106100395949127,39.83910384274604,36.28006897920241,37.675152975892054,42.302632324801436,31.153306852294808,28.18018880845538,27.05253230409845,26.925361311407173,29.808648889811575,31.167912773415896,30.368962400090055,32.240187751778265,28.273299701859962,33.82318330852908,26.247473426775837,37.8888419157633,28.98526046387501,22.74397232786486,21.58246267356821,27.171036284374825,23.96375303105229,26.87623287639001,25.468518952712365,23.051860395823518,19.950533809025533,17.325691316036274,20.532130837026866,24.38616636071094,21.91348615956646,16.970072186987174,21.057071742516502,21.360354751113956,17.241821779721878,20.026249460334792,19.45434387606041,15.750605632929599,19.66173389867845,19.87312957574658,20.948887698217323,20.531780318073448,13.847442819909451,14.776552495967934,18.26130142267827,18.01081138104805,17.78102434966044,25.72336619840439,17.489976210771772,18.643156627289695,18.014869562510228,17.123662537186195
GENE_HXK3,78.16260677164298,72.35465079552608,94.54984072754773,79.46794055536273,89.56198487845838,81.89689136725544,64.38705062968457,91.62571631679594,80.60698785441745,85.97513317623506,72.72049604522849,78.8324737356692,101.25025668266929,82.67047820421699,86.79018292826953,64.15712065400955,106.45334477058591,98.90914106492217,92.27997421286538,85.16965490928709,75.07621771171932,78.98406069713712,84.76609046885947,65.61146775080664,66.86764701833127,53.118244737610766,61.971676002956805,86.59876600559564,65.13488786161733,64.59930507353072,70.30343561253126,50.33251269929987,74.994140254024,77.32812314094275,67.936536827044,79.38104511273771,50.42615349886386,79.52957395172452,54.8959390937868,49.302774142313744,58.23990352817661,76.55682342542083,58.99156583786059,50.37211759494726,46.7131512602387,56.48743731354317,39.816459994083075,45.28346036476874,68.59064063645862,65.45079275124021,52.524066505809145,48.86211364719428,51.9897712768423,68.38462511630398,52.6520602164097,55.37791083847374,46.39379456346777,47.42057254536183,50.6421700101673,46.21328464275742,31.887624198678715,52.230773304705394,39.103589937682514,55.78039539923231,45.96358805583832,41.43388779263495,43.0030141719796,39.064306269122184,36.24293662609459,39.69751113697835,42.953197991066645,34.75429858119286,33.375988113421634,34.1027774796343,40.306838835431236,42.07768166757458,35.69997320413118,36.09810550715924,29.49680751136985,36.1766017709667,33.99509162979444,27.561025025519726,22.190485115505606,24.359212750395574,26.39314504394158,33.912122296114944,35.06416133702983,26.172665162253935,25.9287460656209,28.17485171935037,26.681285562731713,29.838562802525004,23.736880760681384,28.969344966625613,24.086340482695103,27.783412539062496,23.307242226813496,21.77542897786531,30.478889505089867,27.14622519547561,16.922629098060206,21.362267021374024,26.760216321495204
GENE_HXK4,71.89124652212361,94.68013800309157,93.61007775129258,84.37907980369039,72.29366047240484,83.49260187898186,73.29872417976445,92.42585036472613,77.9345128951314,69.0135741324525,74.10182785890775,81.72352341010631,69.63944733354096,65.92563899767534,77.05904853613998,76.1963239658821,67.13705345006979,66.76548768209322,73.50529067691456,54.97998553423036,54.7888383582832,61.27705540013643,65.74219722477153,70.29882068272184,81.12795574597001,74.15141658789139,63.42306451558779,64.09213093569791,54.01839296354622,62.71909586819254,59.52430203890122,64.53250140179603,53.3409289689649,64.94532584491988,73.32171455647965,58.02646270719474,61.88874882136397,63.74308187104924,53.723920756677316,58.47574376129569,56.09844894895519,56.23193947663887,48.49515196690247,54.49959151658538,57.76772259001408,64.79602270833279,60.26211459500646,69.00421940468284,45.698457938582614,57.25966770380884,51.02130253941472,64.70456504032617,41.99086855583723,40.9839442544009,41.88442929891154,30.786345181862707,40.864034793668566,38.6081625346003,43.765160845341924,44.20838562712613,52.958357529337924,46.41570204094794,36.485098018891385,33.98559782069568,41.48681243201137,30.48428469687244,47.68272975954544,43.332689218175915,33.69754593210485,26.522588011384617,42.29808425151942,34.04186725488316,40.468414025118754,25.412238959245517,29.76171170740998,32.05913225418552,31.61669742028602,28.70676696200321,33.02318272594979,24.8964462033226,28.488659877515346,29.116604960506972,30.282493061168516,30.598281439443628,22.612878373687693,20.614269323174533,31.422343572872037,27.274537903753888,22.732431908631742,30.98532471787828,25.12181405742597,28.570091850158345,24.124496242872187,30.780247121669134,29.26255133132106,21.98235364908248,25.80862584912362,24.38695757591003,26.468490034257826,18.56073304368648,23.666756801012266,24.599819924343986,15.469959904413376
GENE_HXK5,78.86432761998091,67.3687943083023,70.0066810863054,45.291852505914925,61.52366378384685,78.71684821016959,74.36249580574919,67.23906473308777,63.175045708090096,70.05526608567244,59.244298632112255,45.874178273696394,60.38223961717733,63.35861600962499,69.01010603770219,45.768555522138485,56.66521633990424,56.43263561790911,47.112512656600614,59.88390201629574,61.364219971862084,52.184999647583574,70.59278389784494,50.80675899858732,49.2397526250966,48.47309434459648,45.312240398379615,46.784122338227505,39.647154069528725,48.53286567400264,49.85795685061862,32.15770514229094,47.64245675032295,48.171838425031396,51.01983713046428,55.3344850970867,52.29785538933713,41.621892042965705,40.39963703431504,48.85462719371342,40.83371651578229,35.91980926111571,59.10295280119028,41.13003972928247,38.69233868332449,28.37565888328914,47.20041923339206,35.29833425590969,41.20570097774687,46.07334831302677,33.697422596203324,39.15783386393372,46.641724264209806,23.525295437867165,32.118882307579106,31.024757182604755,34.257515073415156,34.36731240061465,28.590828615259703,30.130960006450024,29.026173700419697,30.57721572528345,32.77181769390335,35.469056893949976,35.55502052230345,33.16112184844271,25.82301149023989,29.237742852403724,39.0559391579141,32.67521005558928,26.08711193568931,34.04907201572811,25.538406414738294,23.875764392979523,31.42069137246178,20.450929516419883,17.782961986758927,27.91177360388291,24.0944791707203,24.001552777610915,21.874053677367097,21.90994618903143,20.800770015170723,19.90286641674884,20.373436425260497,19.95383484409211,18.345909788455785,18.952596550272215,12.707121791268216,22.021789458739043,20.76705835584033,19.04125940811534,19.649968450954134,19.4468684077309,16.404622483297327,16.69294380590757,19.314787865132427,18.214934902541344,22.79465996458256,21.43065525930132,19.434550723096837,14.93934768003967,15.281272589679665
GENE_PFK1,60.5591675828964,53.23049343197366,70.08861231840355,71.44180147955576,58.73394880047858,73.58434752793981,49.82453040040037,64.9384676088213,53.04881880360367,57.80681411264791,63.780006754718606,54.519941328373704,58.309941239868124,70.40359021180258,55.23896226395842,67.27784759976308,49.090036532881285,63.08224795405261,70.27446722176805,35.95069301394198,49.74097341806299,60.70079680522219,53.56296418773287,57.67693759246587,49.13872577247371,54.1359794471426,51.624097939545436,61.442079043807446,53.691205169426055,53.75050023321908,47.483517899919505,46.40693540054061,46.321751467866356,51.910395045091356,45.43086945839161,50.069002397082535,62.26256248844756,53.126170973265474,44.22521269554063,54.31094611293118,42.75826564077839,31.298433561868105,37.87406219962663,31.77455636376427,41.41848163677811,43.4047553800829,53.629000919789206,44.50776997429195,40.62715275230281,46.31167613790843,26.99484569033615,41.019263691036,43.363861058121564,29.682499576962105,43.85855760728822,38.61681658376398,33.83803484198715,38.804659577700164,46.67255076255379,35.14008794520704,34.8689114253923,30.768042803285304,28.34796227608875,35.93016965523418,27.391981681499516,31.25206977902026,28.247500641368244,32.101393031291984,30.961481243572816,33.554421818647455,26.41086036656141,27.034243075462804,23.68731405000001,25.358304642279908,28.106144920570582,29.016183001061375,22.005500119160164,28.307974718457874,29.56243930905933,25.608475042796407,30.345464653702404,20.564285879374907,18.59866256429523,16.488804640238133,27.092104584320207,23.918161522947692,21.27032018865457,22.020036250542688,17.3133343157137,27.94821577641418,20.47568707946588,20.070749689252708,21.54177767067586,20.505590068882395,19.474728894161583,16.372369060829403,19.619024073521242,23.192067211809622,21.468106045998205,21.871608766090525,16.116533416333162,14.705265338442686,16.77058324962017
GENE_PFK2,137.03380012437404,105.7668656446073,88.3481671271907,93.83259891458245,109.81895114822473,85.33110545465627,104.22199675872163,59.53605455562144,87.15177446731711,97.62191751024001,104.98371034039022,76.46434394157274,66.74102329124983,81.84499034107269,69.98899363947831,81.38453215900233,82.2195289039004,65.2706668093032,90.16417508677178,77.6775280579785,91.41377634699842,56.26200931099023,65.18905158020641,81.97257678810044,66.22078096577205,72.57823145152125,73.6101456437672,74.53034007969946,64.6946427173663,72.83232671941444,62.19991964691651,76.76980759861712,67.78766261768892,69.83152884064079,93.55368696801045,55.718613816005345,79.8858227622422,39.32745362874593,44.56207337192263,52.154217689299685,52.21864183524334,64.68987616679011,64.83412543916832,59.152433384816405,59.514369041900494,65.04362889697319,67.12818188227898,47.32220403535329,55.3182115687515,56.752655598911375,60.337277060644844,48.77342075066452,53.399141158784644,53.3493706925898,46.619124809799466,45.582908309528555,50.99193684566546,48.3843758831037,52.11663403684858,40.10604259515313,44.3478219096347,44.43125208069162,50.76289261933712,38.21378419576801,45.301621412702836,44.68692856344748,52.832106396486694,35.40334175222308,37.00962841400273,34.74578630129673,29.848021299822758,49.616624616525904,31.459697031406517,33.198979873446596,44.35036104009875,26.742168675432154,39.59472626265987,27.478347520300748,40.60504840805832,22.647728327042966,24.299760037480745,29.746736482704335,36.48435146990661,31.169363916906278,29.258713497676435,36.451285738819685,39.52226531650551,32.39319817179045,26.29465709069898,26.68552489557853,22.563615780541703,27.9120292094437,20.43856206501011,28.835940037639336,34.12924821597924,28.648396494380464,23.718565201320516,27.174669704993487,30.919597109598055,30.371334496404756,20.645681829193805,25.886173627645277,23.236738452302475
GENE_PFK3,77.52415289608977,61.92885507674794,67.78606680178437,71.90338603182693,58.757228042991294,66.98473431827652,57.09867617520377,57.804564318215746,49.62873513612756,53.5605528184323,48.991261583272646,51.85015323924209,69.53275943665268,50.902399842207174,81.84659657058958,62.30231271336479,58.942105495756536,49.40320422008402,61.95528067220349,50.65023736856978,55.8207961651261,75.02365932162851,52.83381850597289,62.153206265924716,46.900500141001814,51.58388187816234,64.91355754110991,45.96112194044659,63.82593292260915,54.91174966718471,44.96522220209084,53.19196810477941,55.07791865950011,51.99186581095682,35.97129485288878,41.4812337775776,44.36168670497085,45.08320572415233,49.32003781238164,45.84381612802875,35.342417326993235,46.23726376737286,47.26282336531581,46.45740161231729,49.30452089843272,47.25454188295984,44.44535204697992,40.73492002350432,30.605798824059153,42.54079489277643,40.41392975872742,40.009460542594944,30.49292551990554,31.008603805714984,42.06344965325035,35.448700617655334,38.59456788566807,34.53514316377417,33.93227651006843,37.86339122436018,30.09470852860437,32.52672158366406,29.339523615183644,28.98202706833691,29.080881981695935,31.0023199254512,27.404461536328828,34.53489896821203,24.77147711405329,27.384254926639937,25.919717420150846,33.27252834569237,27.73380608120989,30.4430887689755,20.059693058651618,26.29701260795257,28.087027311784073,24.598366955415724,27.64770262980767,21.58207796203818,27.833945132272298,30.35859704987111,20.9818331117793,20.363490338876826,26.1507958996865,26.141421552433076,19.180364021732018,19.213066988740163,19.357503463109794,15.839109273845583,16.804592083308574,16.274748356191253,16.679410863458333,18.461567229912173,18.925173719075136,22.215468523852618,15.116952862440602,20.140731371092617,16.776675145206895,17.00202587201041,18.651491301902066,13.93432538149556,17.537272207551737
GENE_PFK4,116.98767160630176,122.29355643932968,74.31342944979686,97.11943723594247,87.55150895546612,85.37626031261597,100.42612244250503,83.05953173895682,83.8153628931001,87.24336431158288,83.50940068291166,72.0504688224857,96.75775343641112,98.88698596435732,88.82600974233407,78.79396611074299,73.83027837440734,73.01565384405322,109.25279613689166,91.03410750155612,68.97079695163312,79.96487318951883,72.97500920100345,83.00240290210864,81.63277733380394,86.78609094192569,64.41667396281768,74.18160736621185,53.29519911264955,57.985985452986725,80.07214391249113,59.9668932165689,60.46766962724713,68.37701484004243,74.798588462954,56.36151674063922,31.695631823016974,57.067150558894404,76.70049198046222,67.59203563481492,76.25702941876396,52.281069342004244,47.003135471748315,65.98019174284461,63.27620069734737,63.235608832046616,68.23804663759952,63.01455169271547,62.25016022429841,63.704742199809836,60.674353211584574,62.46125134128595,62.50982492885917,65.52102753909254,47.20135003950074,55.03716910374673,47.60777714525622,43.31656450393969,43.60185118393624,51.3306644746538,49.90549563767545,48.932436789781235,43.84765432641331,44.65426367323554,49.28582754960568,33.542394961286114,42.660913637483205,42.40062041173011,45.842224205395695,32.34455372896373,48.908486068980864,40.61807890797483,40.33299850493647,35.6668941612894,40.156826369522165,36.660987133593956,42.142997561901765,27.416563044885727,35.22069039554193,35.747184874142924,32.15250299293767,30.525270971715276,30.20491451539812,32.23754283790575,22.51699753963994,34.82859047775532,27.804118333489104,30.085640384460437,30.69919059228432,26.30933643427413,27.506783344333712,19.162899045349953,30.117230049492168,31.044619461137955,19.604501326893722,24.3647582544188,20.873533156205653,24.590811570727972,27.380450821955076,28.311028742049444,28.485698335925516,28.86426317549081,23.08047957363998
GENE_PGK1,80.46144312903061,122.62136397665924,79.65315160732054,72.3048876897691,83.03716584157274,90.9371390954063,93.792353646988,86.19544459069246,93.05716472848646,70.96217112945536,105.05229321329276,84.30354092254896,98.51453587755881,87.69500202964043,88.10395699015022,88.4833288662478,86.00453303243954,87.36375308184621,94.49237730688952,80.19762052940224,85.2230719939083,75.14801017685267,91.60093093063149,66.93816516516233,93.57986796781437,72.43027281413815,56.60551168388293,72.65991424077731,63.314062843425106,78.55369649161412,62.252854797424874,63.701133640767075,48.39939117318331,62.29308493838438,42.080900297029565,49.88205336356048,72.12629225371131,71.61880087862411,67.4490046143971,53.646757176511535,61.65886547862317,61.43487307119803,50.27067688288851,73.80737587614014,67.46464237183596,57.06413309290838,58.666653525262916,59.65870675868058,39.73639876128357,54.07789836869579,49.44074941869013,45.90513749034207,50.764617676119485,66.03134429479907,55.95152117827209,45.81727633662864,53.43003440061716,58.46767524320699,54.05440283051314,47.05913385324525,41.38975747570996,49.77664105130335,46.91510529219527,49.415458627863934,46.93518864295721,48.79776431409779,38.15780341375112,48.9067467593885,41.39615511558332,51.91485342908964,34.963806205574414,48.420565709853136,38.97983898833755,33.42568542739084,33.63801824321324,33.82260069037009,37.03724996662244,36.82252875380269,30.61487678479736,32.758657599450125,42.662467635409456,39.9418921364708,33.22194528193394,30.839174443518708,30.71350911546276,32.43100859269343,24.759472760896774,27.702314378810524,21.293382888858858,29.54948212276148,30.047038227086098,24.97363868565651,32.74299231084749,21.283391535459725,20.048172344438996,26.179891419991662,28.908238875837753,30.890135417045272,22.680215028549696,27.964811332516692,23.662858773788024,22.93647890287582,26.396134435381462
