Query_id,Subject_id,Identity,Align_length,Mismatch,Gap,Query_start,Query_end,Subject_start,Subject_end,E-value,Score
Sample1.1,cbc:CbuK_0443,86.9,122,15,1,1,121,1,122,7.20E-51,205.3
Sample1.2,abau:IX87_21585,98.7,78,1,0,1,78,1,78,1.10E-36,157.5
Sample1.3,abn:AB57_2709,100,117,0,0,1,117,1,117,6.30E-60,235.3
Sample1.4,mgl:MGL_3640,41.9,93,40,4,2,88,81,165,8.00E-10,68.6
Sample1.5,cbc:CbuK_1202,65.9,226,73,2,1,223,48,272,1.60E-80,304.7
Sample1.6,ehe:EHEL_031070,45.2,135,66,2,44,172,13,145,6.20E-20,103.2
Sample1.7,mpr:MPER_13072,40.5,173,99,3,1,170,302,473,3.70E-24,117.5
Sample1.8,cbc:CbuK_0441,66.2,65,22,0,1,65,1,65,2.40E-16,89.7
Sample1.9,dha:cob,48.1,104,54,0,1,104,169,272,7.10E-23,112.1
Sample1.10,abaa:IX88_06880,100,142,0,0,1,142,1,142,4.60E-73,279.3
Sample1.11,cbc:CbuK_1298,56.7,231,99,1,3,232,583,813,4.30E-68,263.5
Sample1.12,aje:HCAG_03328,40.2,97,52,2,85,179,307,399,9.10E-10,69.3
Sample1.13,hpk:Hprae_0792,40,150,85,4,41,189,10,155,1.50E-18,98.6
Sample1.14,cbs:COXBURSA331_A0344,92,137,11,0,1,137,1,137,6.20E-67,258.8
Sample1.15,pfs:PFLU1732A,78.8,193,41,0,1,193,118,310,3.70E-81,306.6
Sample1.16,yli:YALI0E14388g,48.8,170,87,0,1,170,639,808,8.10E-40,169.1
Sample1.17,abau:IX87_13390,99.2,129,1,0,1,129,162,290,5.00E-66,255.8
Sample1.18,pfj:MYCFIDRAFT_88005,74.4,207,53,0,7,213,1,207,1.80E-87,327.8
Sample1.19,cbc:CbuK_0439,84.4,225,35,0,1,225,1,225,3.70E-104,383.3
Sample1.20,cbd:CBUD_1882,75.7,189,46,0,1,189,51,239,7.70E-76,288.9
Sample1.21,maj:MAA_00504,42.1,145,84,0,2,146,62,206,5.70E-29,132.9
Sample1.22,pcr:Pcryo_0632,58,69,29,0,1,69,32,100,1.00E-12,77.8
Sample1.23,pcr:Pcryo_1338,48.6,148,76,0,4,151,122,269,6.60E-39,166
Sample1.24,cbd:CBUD_1849,74.8,111,28,0,5,115,1,111,5.30E-38,162.5
Sample1.25,cbc:CbuK_1241,73.5,181,48,0,1,181,7,187,1.30E-72,278.1
Sample1.26,pfp:PFL1_04008,48.3,174,87,2,87,260,427,597,5.20E-38,163.7
Sample1.27,ndi:NDAI_0G04090,44.6,240,131,2,1,238,582,821,2.30E-53,214.5
Sample1.28,prw:PsycPRwf_1056,45.3,181,95,2,3,183,4,180,3.30E-31,140.6
Sample1.29,hau:Haur_0516,43.3,208,104,5,3,203,98,298,4.10E-38,163.7
Sample1.30,abaa:IX88_09450,100,186,0,0,1,186,1,186,6.60E-104,382.1
Sample1.31,abaa:IX88_03625,100,272,0,0,5,276,1,272,4.30E-152,542.7
Sample1.32,cbc:CbuK_0437,92.4,79,6,0,1,79,16,94,9.50E-36,154.5
Sample1.33,abm:ABSDF1789,80.7,140,27,0,1,140,1,140,1.70E-59,234.2
Sample1.34,abk:LX00_14910,96.9,96,3,0,1,96,1,96,5.90E-48,195.3
Sample1.35,tms:TREMEDRAFT_26102,43.5,216,121,1,1,215,85,300,1.50E-38,165.6
Sample1.36,yli:YALI0E14388g,46.9,207,100,4,90,286,488,694,1.10E-41,176
Sample1.37,abau:IX87_00340,100,132,0,0,1,132,1,132,1.60E-67,260.8
Sample1.38,abau:IX87_05615,99.2,126,1,0,1,126,1,126,3.10E-65,253.1
Sample1.39,cbd:CBUD_1851,92.4,275,21,0,16,290,1,275,5.20E-148,529.3
Sample1.40,cbc:CbuK_0268,80.4,219,43,0,6,224,6,224,1.60E-96,357.8
Sample1.41,cbc:CbuK_1695,67.4,92,30,0,1,92,1,92,2.20E-28,130.2
Sample1.42,cbg:CbuG_0412,62,184,64,3,1,183,1,179,4.60E-57,226.5
Sample1.43,ndi:NDAI_0G04090,47.4,78,40,1,72,148,478,555,4.70E-12,76.6
Sample1.44,cbc:CbuK_1952,66,156,52,1,1,156,3,157,6.30E-55,219.2
Sample1.45,abal:ABLAC_29050,97.4,77,2,0,80,156,1,77,1.40E-35,154.8
Sample1.46,abal:ABLAC_29060,100,131,0,0,1,131,1,131,2.60E-70,270
Sample1.47,ndi:NDAI_0G04090,46.3,272,145,1,42,312,476,747,8.30E-67,259.6
Sample1.48,abad:ABD1_19750,100,209,0,0,1,209,1,209,2.50E-123,446.8
Sample1.49,cbc:CbuK_0435,74.7,95,24,0,1,95,1,95,2.60E-32,143.3
Sample1.50,abn:AB57_2715,45.2,157,72,2,4,157,1,146,2.70E-25,120.9
Sample1.51,par:Psyc_0359,63.6,291,106,0,1,291,1,291,2.20E-109,401
Sample1.52,yli:YALI0E14388g,45.8,301,162,1,26,325,541,841,2.30E-70,271.6
Sample1.53,aor:AOR_1_1348184,40.2,458,258,6,1,443,1184,1640,9.00E-83,313.2
Sample1.54,abr:ABTJ_p2059,89.4,310,33,0,1,310,1,310,2.20E-160,570.5
Sample1.55,cgr:CAGL0G07183g2,40.7,334,192,5,1,331,614,944,4.80E-60,237.3
Sample1.56,abad:ABD1_12400,99,205,2,0,1,205,1,205,8.30E-108,395.2
Sample1.57,abaa:IX88_10825,100,122,0,0,1,122,248,369,1.80E-65,253.8
Sample1.58,abaa:IX88_10830,51.9,187,25,4,1,122,130,316,1.60E-34,151
Sample1.59,cbc:CbuK_0434,74.6,205,52,0,1,205,2,206,9.50E-83,312
Sample1.60,cbc:CbuK_0421,76.4,174,41,0,14,187,1,174,2.60E-63,247.3
Sample1.61,abk:LX00_14875,100,136,0,0,1,136,1,136,1.60E-70,270.8
Sample1.62,aby:ABAYE2703,63.2,68,25,0,2,69,38,105,6.60E-17,91.7
Sample1.63,abad:ABD1_22670,96.6,324,11,0,1,324,1,324,3.40E-180,636.3
Sample1.64,abaa:IX88_06430,100,102,0,0,1,102,1,102,4.10E-53,212.6
Sample1.65,abad:ABD1_08360,100,163,0,0,1,163,120,282,8.10E-90,335.1
Sample1.66,yli:YALI0E14388g,49.8,207,101,2,165,369,529,734,2.50E-49,201.8
Sample1.67,cbg:CbuG_1085,74.9,350,84,2,5,351,5,353,4.00E-158,563.1
Sample1.68,acd:AOLE_07240,81,105,20,0,1,105,1,105,1.10E-44,184.5
Sample1.69,yli:YALI0E14388g,48.1,258,133,1,128,384,540,797,3.60E-64,251.1
Sample1.70,cbd:CBUD_2006,68.7,536,158,5,7,537,1,531,1.50E-204,718
