ID,input,BipolarSigmoid,BipolarSigmoid/dt,HyperbolicTangent,HyperbolicTangent/dt,ReLU,ReLU/dt,Sigmoid,Sigmoid/dt,SigmoidFunction,SigmoidFunction/dt,Threshold,Threshold/dt
00000000000059c0,-100,-1,-9999,-1,5.53558610694695E-87,0,0,1.38389652673674E-87,-20200,0,-10100,0,0
0000000000e058c0,-99.5,-1,-9899.25,-1,1.50472831243842E-86,0,0,3.76182078109606E-87,-19999.5,0,-9999.75,0,0
0000000000c058c0,-99,-1,-9800,-1,4.09027562846921E-86,0,0,1.0225689071173E-86,-19800,0,-9900,0,0
0000000000a058c0,-98.5,-1,-9701.25,-1,1.11185219142568E-85,0,0,2.77963047856419E-86,-19601.5,0,-9800.75,0,0
00000000008058c0,-98,-1,-9603,-1,3.02232760788478E-85,0,0,7.55581901971196E-86,-19404,0,-9702,0,0
00000000006058c0,-97.5,-1,-9505.25,-1,8.2155382161633E-85,0,0,2.05388455404083E-85,-19207.5,0,-9603.75,0,0
00000000004058c0,-97,-1,-9408,-1,2.23321482440075E-84,0,0,5.58303706100189E-85,-19012,0,-9506,0,0
00000000002058c0,-96.5,-1,-9311.25,-1,6.07050727621393E-84,0,0,1.51762681905348E-84,-18817.5,0,-9408.75,0,0
00000000000058c0,-96,-1,-9215,-1,1.65013496184607E-83,0,0,4.12533740461518E-84,-18624,0,-9312,0,0
0000000000e057c0,-95.5,-1,-9119.25,-1,4.48553188129114E-83,0,0,1.12138297032279E-83,-18431.5,0,-9215.75,0,0
0000000000c057c0,-95,-1,-9024,-1,1.21929398038874E-82,0,0,3.04823495097186E-83,-18240,0,-9120,0,0
0000000000a057c0,-94.5,-1,-8929.25,-1,3.31438467044022E-82,0,0,8.28596167610055E-83,-18049.5,0,-9024.75,0,0
00000000008057c0,-94,-1,-8835,-1,9.00943162218087E-82,0,0,2.25235790554522E-82,-17860,0,-8930,0,0
00000000006057c0,-93.5,-1,-8741.25,-1,2.44901742633186E-81,0,0,6.12254356582964E-82,-17671.5,0,-8835.75,0,0
00000000004057c0,-93,-1,-8648,-1,6.65711956757742E-81,0,0,1.66427989189436E-81,-17484,0,-8742,0,0
00000000002057c0,-92.5,-1,-8555.25,-1,1.80959271504248E-80,0,0,4.52398178760621E-81,-17297.5,0,-8648.75,0,0
00000000000057c0,-92,-1,-8463,-1,4.91898299421185E-80,0,0,1.22974574855296E-80,-17112,0,-8556,0,0
0000000000e056c0,-91.5,-1,-8371.25,-1,1.33711820876651E-79,0,0,3.34279552191629E-80,-16927.5,0,-8463.75,0,0
0000000000c056c0,-91,-1,-8280,-1,3.63466412939172E-79,0,0,9.08666032347931E-80,-16744,0,-8372,0,0
0000000000a056c0,-90.5,-1,-8189.25,-1,9.88004145547744E-79,0,0,2.47001036386936E-79,-16561.5,0,-8280.75,0,0
00000000008056c0,-90,-1,-8099,-1,2.68567371528464E-78,0,0,6.71418428821159E-79,-16380,0,-8190,0,0
00000000006056c0,-89.5,-1,-8009.25,-1,7.30041805742832E-78,0,0,1.82510451435708E-78,-16199.5,0,-8099.75,0,0
00000000004056c0,-89,-1,-7920,-1,1.98445937456617E-77,0,0,4.96114843641542E-78,-16020,0,-8010,0,0
00000000002056c0,-88.5,-1,-7831.25,-1,5.39431985719842E-77,0,0,1.3485799642996E-77,-15841.5,0,-7920.75,0,0
00000000000056c0,-88,-1,-7743,-1,1.46632816447183E-76,0,0,3.66582041117956E-77,-15664,0,-7832,0,0
0000000000e055c0,-87.5,-1,-7655.25,-1,3.98589320404147E-76,0,0,9.96473301010367E-77,-15487.5,0,-7743.75,0,0
0000000000c055c0,-87,-1,-7568,-1,1.08347810667243E-75,0,0,2.70869526668108E-76,-15312,0,-7656,0,0
0000000000a055c0,-86.5,-1,-7481.25,-1,2.94519884890088E-75,0,0,7.36299712225221E-76,-15137.5,0,-7568.75,0,0
00000000008055c0,-86,-1,-7395,-1,8.00588051216577E-75,0,0,2.00147012804144E-75,-14964,0,-7482,0,0
00000000006055c0,-85.5,-1,-7309.25,-1,2.17622395170346E-74,0,0,5.44055987925865E-75,-14791.5,0,-7395.75,0,0
00000000004055c0,-85,-1,-7224,-1,5.91559002257285E-74,0,0,1.47889750564321E-74,-14620,0,-7310,0,0
00000000002055c0,-84.5,-1,-7139.25,-1,1.60802408629734E-73,0,0,4.02006021574336E-74,-14449.5,0,-7224.75,0,0
00000000000055c0,-84,-1,-7055,-1,4.37106265350652E-73,0,0,1.09276566337663E-73,-14280,0,-7140,0,0
0000000000e054c0,-83.5,-1,-6971.25,-1,1.18817801820828E-72,0,0,2.97044504552069E-73,-14111.5,0,-7055.75,0,0
0000000000c054c0,-83,-1,-6888,-1,3.22980271587004E-72,0,0,8.07450678967509E-73,-13944,0,-6972,0,0
0000000000a054c0,-82.5,-1,-6805.25,-1,8.7795140320572E-72,0,0,2.1948785080143E-72,-13777.5,0,-6888.75,0,0
00000000008054c0,-82,-1,-6723,-1,2.38651934560423E-71,0,0,5.96629836401057E-72,-13612,0,-6806,0,0
00000000006054c0,-81.5,-1,-6641.25,-1,6.48723217042194E-71,0,0,1.62180804260549E-71,-13447.5,0,-6723.75,0,0
00000000004054c0,-81,-1,-6560,-1,1.76341253258529E-70,0,0,4.40853133146323E-71,-13284,0,-6642,0,0
