locus_tag,geneName,product
XC_0001,,chromosomal replication initiator
XC_0002,,DNA polymerase III beta chain
XC_0003,,DNA replication and repair RecF protein
XC_0004,,DNA gyrase subunit B
XC_0005,,conserved hypothetical protein
XC_0006,,conserved hypothetical protein
XC_0007,,conserved hypothetical protein
XC_0008,TonB,TonB protein
XC_0009,,biopolymer transport ExbB protein
XC_0010,,biopolymer transport ExbD1 protein
XC_0011,,biopolymer transport ExbD2 protein
XC_0012,,pyridoxal phosphate biosynthetic protein
XC_0013,,conserved hypothetical protein
XC_0014,,cardiolipin synthetase
XC_0015,,conserved hypothetical protein
XC_0016,,conserved hypothetical protein
XC_0017,,outer membrane protein
XC_0018,,conserved hypothetical protein
XC_0019,,conserved hypothetical protein
XC_0020,,D-3-phosphoglycerate dehydrogenase
XC_0021,,carboxyl-terminal protease
XC_0022,,conserved hypothetical protein
XC_0023,,conserved hypothetical protein
XC_0024,,conserved hypothetical protein
XC_0025,,conserved hypothetical protein
XC_0026,,cellulase
XC_0027,,cellulase
XC_0028,,cellulase
XC_0029,,alcohol dehydrogenase
XC_0030,,conserved hypothetical protein
XC_0031,,"glutamate synthase, beta subunit"
XC_0032,,"glutamate synthase, alpha subunit"
XC_0033,,conserved hypothetical protein
XC_0034,,conserved hypothetical protein
XC_0035,,phospholipid N-methyltransferase
XC_0036,,conserved hypothetical protein
XC_0037,pirin,pirin
XC_0040,,transcriptional regulator lysR family
XC_0041,,conserved hypothetical protein
XC_0042,,NonF-related protein
XC_0043,,transcriptional regulator
XC_0044,,transcriptional regulator
XC_0045,,methicillin resistance protein
XC_0046,,ankyrin-like protein
XC_0047,,conserved hypothetical protein
XC_0048,,conserved hypothetical protein
XC_0049,,conserved hypothetical protein
XC_0050,,TonB-dependent receptor
XC_0051,,xylose repressor-like protein
XC_0052,,avirulence protein
XC_0053,,conserved hypothetical protein
XC_0054,,ATP-dependent RNA helicase
XC_0055,,conserved hypothetical protein
XC_0056,,hemolysin III
XC_0057,,conserved hypothetical protein
XC_0058,,conserved hypothetical protein
XC_0059,,conserved hypothetical protein
XC_0060,,NAD(P)H oxidoreductase
XC_0061,,conserved hypothetical protein
XC_0062,,conserved hypothetical protein
XC_0063,cII,regulatory protein cII
XC_0064,,conserved hypothetical protein
XC_0065,,conserved hypothetical protein
XC_0066,,conserved hypothetical protein
XC_0067,,hypothetical protein
XC_0068,,conserved hypothetical protein
XC_0069,,conserved hypothetical protein
XC_0070,,conserved hypothetical protein
XC_0071,,conserved hypothetical protein
XC_0072,,transcriptional regulator
XC_0073,,conserved hypothetical protein
XC_0074,,conserved hypothetical protein
XC_0075,,conserved hypothetical protein
XC_0076,,conserved hypothetical protein
XC_0077,,metalloprotease
XC_0078,,conserved hypothetical protein
XC_0079,,MutT/nudix family protein
XC_0080,,conserved hypothetical protein
XC_0081,,esterase
XC_0082,AtsE,AtsE protein
XC_0083,,thioredoxin
XC_0084,,proline/betaine transporter
XC_0085,,conserved hypothetical protein
XC_0086,,conserved hypothetical protein
XC_0087,,conserved hypothetical protein
XC_0088,,conserved hypothetical protein
XC_0089,,conserved hypothetical protein
XC_0090,,conserved hypothetical protein
XC_0091,,conserved hypothetical protein
XC_0092,,methanol dehydrogenase regulator
XC_0093,,conserved hypothetical protein
XC_0094,TldD,TldD protein
XC_0096,TldD,TldD protein
XC_0097,TldD,TldD protein
XC_0098,,"fructose-1,6-bisphosphatase"
XC_0099,,hypothetical protein
XC_0100,,aromatic-amino-acid aminotransferase
XC_0101,,iron transporter
XC_0102,,conserved hypothetical protein
XC_0103,,conserved hypothetical protein
XC_0104,,chloroacetaldehyde dehydrogenase
XC_0105,,conserved hypothetical protein
XC_0106,,hypothetical protein
XC_0107,,conserved hypothetical protein
XC_0108,,conserved hypothetical protein
XC_0109,,ATP-dependent DNA ligase
XC_0110,,L-lactate dehydrogenase
XC_0111,,hypothetical protein
XC_0112,,conserved hypothetical protein
XC_0113,,two-component system sensor protein
XC_0114,,two-component system regulatory protein
XC_0115,,conserved hypothetical protein
XC_0116,,conserved hypothetical protein
XC_0117,,conserved hypothetical protein
XC_0118,,transcriptional regulator
XC_0119,,conserved hypothetical protein
XC_0120,,conserved hypothetical protein
XC_0121,,conserved hypothetical protein
XC_0122,,2-keto-3-deoxygluconate kinase
XC_0123,,TonB-dependent receptor
XC_0124,,TonB-dependent receptor
XC_0125,,pectin methylesterase-like protein
XC_0126,,pectate lyase E
XC_0127,,conserved hypothetical protein
XC_0128,,conserved hypothetical protein
XC_0129,,conserved hypothetical protein
XC_0130,,conserved hypothetical protein
XC_0131,,conserved hypothetical protein
