"query id","subject ids","query acc.ver","subject acc.ver","% identity","alignment length",mismatches,"gap opens","q. start","q. end","s. start","s. end",evalue,"bit score",GI
Contig_23926,gi|837812680|ref|XM_004588453.2|,Contig_23926,XM_004588453.2,97.991,697,14,0,61,757,1,697,0,1195,837812680
Contig_23926,gi|655892949|ref|XM_002722894.3|,Contig_23926,XM_002722894.3,93.75,736,46,0,22,757,73,808,0,1121,655892949
Contig_23926,gi|1062956820|ref|XM_018042437.1|,Contig_23926,XM_018042437.1,93.733,734,46,0,24,757,106,839,0,1117,1062956820
Contig_23926,gi|966004565|ref|XM_004021341.2|,Contig_23926,XM_004021341.2,93.733,734,46,0,24,757,119,852,0,1117,966004565
Contig_23926,gi|803328879|ref|XM_012167209.1|,Contig_23926,XM_012167209.1,93.733,734,46,0,24,757,123,856,0,1117,803328879
Contig_23926,gi|472370792|ref|XM_004404847.1|,Contig_23926,XM_004404847.1,93.733,734,46,0,24,757,77,810,0,1117,472370792
Contig_23926,gi|955510078|ref|XM_004426880.2|,Contig_23926,XM_004426880.2,93.478,736,48,0,22,757,68,803,0,1112,955510078
Contig_23926,gi|947219573|ref|XM_006146014.2|,Contig_23926,XM_006146014.2,93.478,736,48,0,22,757,45,780,0,1112,947219573
Contig_23926,gi|958765199|ref|XM_014860832.1|,Contig_23926,XM_014860832.1,93.443,732,48,0,26,757,186,917,0,1104,958765199
Contig_23926,gi|545870149|ref|XM_005670976.1|,Contig_23926,XM_005670976.1,93.315,733,49,0,25,757,320,1052,0,1101,545870149
Contig_23926,gi|371923052|dbj|AK396462.1|,Contig_23926,AK396462.1,93.315,733,49,0,25,757,61,793,0,1101,371923052
Contig_23926,gi|288781521|dbj|AK344130.1|,Contig_23926,AK344130.1,93.315,733,49,0,25,757,59,791,0,1101,288781521
Contig_23926,gi|288576520|dbj|AK347115.1|,Contig_23926,AK347115.1,93.315,733,49,0,25,757,62,794,0,1101,288576520
Contig_23926,gi|942056984|ref|XM_005896702.2|,Contig_23926,XM_005896702.2,93.052,734,51,0,24,757,111,844,0,1094,942056984
Contig_23926,gi|820986107|ref|XM_003275155.3|,Contig_23926,XM_003275155.3,93.49,722,47,0,36,757,70,791,0,1090,820986107
