TF,TargetGene,RegulationType,Confidence,Evidence
bcatA,bkdA1,activation,0.92,TFBS_motif_scan
bcatA,bkdA2,activation,0.92,TFBS_motif_scan
bcatA,bkdB,activation,0.92,TFBS_motif_scan
bcatA,ivdA,activation,0.92,ChIP_seq
bcatA,mmsA,activation,0.92,DNase_footprint
bkdR,bcatA,activation,0.88,TFBS_motif_scan
bkdR,bcatB,activation,0.88,ChIP_seq
bkdR,bkdA1,activation,0.88,ChIP_seq
bkdR,bkdA2,activation,0.88,DNase_footprint
bkdR,bkdB,activation,0.88,ChIP_seq
bkdR,ivdA,activation,0.88,ChIP_seq
codY,bcatA,repression,0.85,TFBS_motif_scan
codY,ilvE,repression,0.85,TFBS_motif_scan
codY,leuA,repression,0.85,TFBS_motif_scan
codY,brnQ,repression,0.85,TFBS_motif_scan
ccpA,bkdA1,activation,0.80,TFBS_motif_scan
ccpA,bkdA2,activation,0.80,TFBS_motif_scan
ccpA,bkdB,activation,0.80,ChIP_seq
ccpA,lpdA,activation,0.80,DNase_footprint
fadR,fadD,activation,0.90,TFBS_motif_scan
fadR,fadE,activation,0.90,ChIP_seq
fadR,fadA,activation,0.90,TFBS_motif_scan
fadR,fadB,activation,0.90,ChIP_seq
fadR,fadI,activation,0.90,DNase_footprint
fadR,fadJ,activation,0.90,DNase_footprint
fadR,fadK,activation,0.90,TFBS_motif_scan
fadR,echA,activation,0.82,DNase_footprint
fadR,acdh,activation,0.82,ChIP_seq
ccpA,fadD,activation,0.78,TFBS_motif_scan
ccpA,fadE,activation,0.78,DNase_footprint
atoB,atoA,activation,0.75,DNase_footprint
atoB,atoD,activation,0.75,comparative_genomics
atfA,eatA,activation,0.88,TFBS_motif_scan
atfA,eatB,activation,0.88,TFBS_motif_scan
atfA,eht1,activation,0.88,TFBS_motif_scan
atfA,eeb1,activation,0.88,comparative_genomics
fadR,acsA,activation,0.82,TFBS_motif_scan
fadR,acsL,activation,0.82,ChIP_seq
ccpA,adhA,activation,0.85,TFBS_motif_scan
ccpA,adhB,activation,0.85,comparative_genomics
ccpA,adhE,activation,0.85,DNase_footprint
ccpA,aldA,activation,0.85,ChIP_seq
ccpA,aldB,activation,0.85,TFBS_motif_scan
luxR,estA,activation,0.72,DNase_footprint
luxR,estB,activation,0.72,DNase_footprint
luxR,estC,activation,0.72,DNase_footprint
terR,dxs,activation,0.91,TFBS_motif_scan
terR,dxr,activation,0.91,comparative_genomics
terR,ispD,activation,0.91,ChIP_seq
