Identifier,"subject ids","subject acc.ver","query acc.ver","query id","% identity","alignment length",mismatches,"gap opens","q. start","q. end","s. start","s. end",evalue,"bit score",Taxonomy,Taxonomy.BIOM,taxid
1032033222,gi|1032033222|gb|KX121618.1|,KX121618.1,Contig_17280,Contig_17280,100,477,0,0,1,477,367,843,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
969813047,gi|969813047|pdb|5FLX|1,5FLX_1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
887492877,gi|887492877|pdb|5A2Q|2,5A2Q_2,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
665764225,gi|665764225|pdb|4CXC|1,4CXC_1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
753536039,gi|753536039|pdb|4D5L|1,4CXC_1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
764090858,gi|764090858|pdb|4D61|1,4CXC_1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Lagomorpha;f__Leporidae;g__Oryctolagus;s__Oryctolagus cuniculus",9986
675970227,gi|675970227|pdb|4W23|2,4W23_2,Contig_17280,Contig_17280,100,477,0,0,1,477,1610,1134,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
675970373,gi|675970373|pdb|4W28|2,4W23_2,Contig_17280,Contig_17280,100,477,0,0,1,477,1610,1134,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
570362313,gi|570362313|gb|KF732650.1|,KF732650.1,Contig_17280,Contig_17280,100,477,0,0,1,477,684,208,0,861,"Eukaryota,Nematoda,Enoplea,Mermithida,Mermithidae,Hexamermis,Hexamermis albicans","k__Eukaryota;p__Nematoda;c__Enoplea;o__Mermithida;f__Mermithidae;g__Hexamermis;s__Hexamermis albicans",1437454
525469989,gi|525469989|gb|KF384520.1|,KF384520.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1713,1237,0,861,"Eukaryota,Chordata,Mammalia,Cetacea,Monodontidae,Delphinapterus,Delphinapterus leucas","k__Eukaryota;p__Chordata;c__Mammalia;o__Cetacea;f__Monodontidae;g__Delphinapterus;s__Delphinapterus leucas",9749
334360161,gi|334360161|gb|JF894380.1|,JF894380.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta","k__Eukaryota;p__Chordata;c__Mammalia;o__Carnivora;f__Hyaenidae;g__Crocuta;s__Crocuta crocuta",9678
380750581,gi|380750581|gb|JQ247698.1|,JQ247698.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1739,1263,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__Mus musculus",10090
374532828,gi|374532828|ref|NR_046261.1|,NR_046261.1,Contig_17280,Contig_17280,100,477,0,0,1,477,2065,1589,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
374429547,gi|374429547|ref|NR_046235.1|,NR_046235.1,Contig_17280,Contig_17280,100,477,0,0,1,477,5391,4915,0,861,"Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens","k__Eukaryota;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens",9606
371911277,gi|371911277|dbj|AK400360.1|,AK400360.1,Contig_17280,Contig_17280,100,477,0,0,1,477,850,374,0,861,"Eukaryota,Chordata,Mammalia,Suidae,Sus,Sus scrofa","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Suidae;g__Sus;s__Sus scrofa",9823
356582733,gi|356582733|gb|JN163869.1|,JN163869.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1722,1246,0,861,"Eukaryota,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides","k__Eukaryota;p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Nyctereutes;s__Nyctereutes procyonoides",34880
346716260,gi|346716260|ref|NR_045132.1|,NR_045132.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1745,1269,0,861,"Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus","k__Eukaryota;p__Chordata;c__Mammalia;o__Rodentia;f__Cricetidae;g__Cricetulus;s__Cricetulus griseus",10029
343965963,gi|343965963|gb|JN412502.1|,JN412502.1,Contig_17280,Contig_17280,100,477,0,0,1,477,1737,1261,0,861,"Eukaryota,Chordata,Mammalia,Bovidae,Bubalus,Bubalus bubalis","k__Eukaryota;p__Chordata;c__Mammalia;o__;f__Bovidae;g__Bubalus;s__Bubalus bubalis",89462
