ID,sample1,sample2,sample3,treat1,treat2,treat3
gene_0001,3056565.388,1831431.105,2933659.497,1846523.253,6840877.665,2806323.704
gene_0002,5975218.337,1367282.572,2111299.768,2884520.328,3061718.045,2003512.389
gene_0003,2117572.597,10105658.52,4552223.625,4583982.164,2683752.129,2933130.846
gene_0004,1423163.515,2522285.23,2222281.275,5175511.422,1929974.025,2249978.835
gene_0005,3424898.969,2675839.216,3708514.554,6725033.39,7379542.769,3701452.284
gene_0006,2513645.901,3146856.585,3351463.985,2436721.601,3266671.608,2980927.796
gene_0007,2749485.028,2397949.756,3350441.995,5364826.188,2714866.827,3009453.302
gene_0008,2946722.961,5200071.394,3080664.194,2123687.413,1439094.599,6115716.076
gene_0009,5558483.882,3317902.359,8467883.556,2394146.493,1889535.247,2889362.93
gene_0010,16558056.38,15697048.71,13643022.87,9906884.488,10550002.46,14843006.41
gene_0011,4533550.736,6698376.323,7391265.67,3430696.33,1628452.265,4072067.371
gene_0012,5268752.573,2292356.509,4238816.258,1906189.344,3354810.858,4474546.375
gene_0013,1964144.99,5340894.663,2094246.744,3566703.849,2818194.982,2933191.839
gene_0014,3313030.375,2428611.007,6756431.321,3357416.293,7840585.708,2953470.968
gene_0015,4135183.729,2069685.316,3351928.629,1625711.694,7632847.835,3156381.154
gene_0016,2712496.791,2377180.465,3307890.391,6027089.259,2929676.626,4427435.933
gene_0017,2469418.629,2430042.306,1408394.434,3233510.804,2411367.319,3704814.813
gene_0018,3818884.88,1660538.797,2458300.757,4577917.395,1205107.153,3102844.571
gene_0019,4275287.472,3738245.793,5344153.44,1888762.667,1630587.014,7866552.034
gene_0020,3934530.333,1136250.895,1841665.986,3596868.536,6336654.827,4106733.79
gene_0021,1708844.866,3386374.267,2646033.69,2860230.53,3644097.174,4234998.418
gene_0022,8804685.245,6629184.615,2748532.294,6894813.033,6664984.086,11048981.1
gene_0023,3558184.774,3325661.726,3810872.737,4419372.171,3263095.997,2778086.327
gene_0024,4947986.042,2940907.546,3496524.055,1455698.35,2628976.837,3298708.809
gene_0025,4050616.301,6701534.28,9136245.581,4249200.533,3234116.011,4573223.51
gene_0026,5008127.982,2537312.879,2386210.689,2766729.175,4632951.022,3323933.296
gene_0027,2857495.904,2971376.524,3397612.757,4161637.864,1700467.497,3019775.776
gene_0028,3135252.053,3210151.6,2514081.52,2217419.039,1492603.972,2632204.23
gene_0029,16233941.68,18756925.04,20314971.43,19207015.15,19702973,20023072.03
gene_0030,3270636.509,6251972.492,4043070.697,2501340.448,5703080.634,5604872.017
gene_0031,1206912.788,3459255.154,4130857.894,2771105.103,2195137.682,5726133.995
gene_0032,2232563.842,3337670.255,1821871.783,14389468.81,4331003.777,2373393.692
gene_0033,2396603.807,1016423.355,2345086.975,1950537.088,3957286.262,1817028.982
gene_0034,6930317.415,2372225.95,3841770.747,1614224.717,1405127.875,3991833.178
gene_0035,1784934.867,4220521.96,1524030.136,2147103.044,3174944.627,4800489.192
gene_0036,110210008.2,102350293.6,79427210.46,93983229.02,90681190.77,89107899.63
gene_0037,4792975.052,2140549.845,5817185.987,2030044.61,1654690.541,4449371.097
gene_0038,6213522.732,1996525.406,5692772.437,3837459.25,2306733.65,5109639.225
gene_0039,3782136.496,8443794.283,2322971.462,3322735.445,1619671.717,2145421.97
gene_0040,2410732.258,2316314.951,8231363.513,1769744.916,5064891.734,7375707.434
gene_0041,3102780.05,3414848.159,4647102.385,1582539.413,1916921.729,2007710.743
gene_0042,3906215.197,3246221.472,2580537.205,5235768.939,4267086.72,4377270.168
gene_0043,1046513.869,3516868.595,1728980.3,3015111.659,2870021.274,6762803.478
gene_0044,3788144.675,1297731.059,1951416.092,3582238.594,2805817.999,2854744.106
gene_0045,3471553.562,5012573.307,6194257.811,2370270.038,2320686.158,1992709.532
gene_0046,1369948.283,2907282.835,2928478.76,4495468.36,5996419.979,2695235.677
gene_0047,1945500.607,3374073.569,4240932.235,3443418.26,3020927.227,3061187.536
gene_0048,1753237.486,2843743.674,2351597.959,2559321.574,4299060.552,4464292.114
gene_0049,3514212.497,4973775.639,2040752.791,1426956.574,3205993.345,5920181.599
gene_0050,3623343.119,2686506.69,2575890.793,4109866.212,1748056.033,5441413.371
gene_0051,2872548.857,3952762.929,4147210.945,1543880.866,2390664.087,5938676.436
gene_0052,4588877.933,2950749.46,2814193.307,2526940.038,3185724.328,2902369.964
gene_0053,2226521.327,4183647.879,2083228.991,1166399.035,3907027.556,4305442.231
gene_0054,2338529.18,3801902.226,1631955.174,5105001.662,1165291.934,3631741.28
gene_0055,3455828.038,2339761.423,3726784.584,1612256.662,3115235.934,2596289.806
gene_0056,2218418.313,2684347.471,2661687.927,4428694.346,3036483.292,2405441.028
gene_0057,1567441.316,4779737.64,2566213.906,1611541.6,3846673.632,4882876.979
gene_0058,3359045.716,3453050.493,1654518.509,4203180.553,4116965.705,4064876.246
gene_0059,4833477.181,2926733.595,2564329.108,2773391.779,2232734.072,2194498.723
gene_0060,2547392.791,3808548.93,1994049.786,4464168.339,3328198.384,2210467.359
gene_0061,3382245.615,4612923.703,4132805.392,1560643.946,2241712.759,3879071.668
gene_0062,3515381.907,3812378.687,4684455.712,2098024.362,3942447.192,3311767.586
gene_0063,2055688.161,5815815.212,8114608.157,3027194.622,2019532.594,3262010.511
gene_0064,4578837.707,4079865.044,2413256.778,2111709.571,2245460.635,1713862.573
gene_0065,2678437.126,9640589.928,3202972.543,1871184,3919640.747,2357032.139
gene_0066,10753701.53,2638506.304,3852784.333,1742032.368,4084590.45,1518157.459
gene_0067,2063225.388,3121655.711,2142405.294,3569968.713,3965881.115,5077792.462
gene_0068,4132347.074,2976385.572,2670021.633,3014735.498,3195588.031,2753967.303
gene_0069,10266349.89,2703374.589,2440474.083,2720593.537,2420829.428,2980266.678
gene_0070,2560119.992,3391236.574,2416872.607,2953798.537,2866224.135,2197040.449
gene_0071,2492081.811,1963627.71,2992396.67,5648122.702,2864774.199,6979876.116
gene_0072,2477253.366,3154937.512,1044151.773,5723991.107,1962389.515,6279725.21
gene_0073,1605064.675,1659836.837,3488390.215,3281627.372,1725221.297,2607778.673
gene_0074,1926579.114,3952488.954,4227285.146,3106072.341,3607030.021,3551064.169
gene_0075,2850848.613,6190609.384,4082071.439,4349083.568,7893042.025,3725080.055
gene_0076,6863152.589,4119420.587,4666825.199,2289625.16,2011081.335,4331544.175
gene_0077,1687060.172,1913178.43,1981209.482,4628585.689,4431089.389,2533674.916
gene_0078,3760856.946,7800904.604,8161709.891,6326692.295,7292995.13,8091579.961
gene_0079,5650315.517,4280446.905,2254177.983,2263054.66,2740979.296,5146427.956
gene_0080,1209701.778,2360825.536,3564899.562,3403033.682,2718764.953,1406189.893
gene_0081,7175709.227,8627373.593,12803012.72,11969005.93,9144672.039,6370300.508
gene_0082,5637288.611,2477425.082,6900933.022,2838465.941,1450249.81,2780128.237
gene_0083,2389024.138,2736157.79,2905832.271,2459630.208,2092737.602,3416765.961
gene_0084,3914427.791,2471096.636,4920829.161,3509733.36,1926726.014,2451001.608
gene_0085,3669418.44,4193809.793,5027849.378,2267954.081,1958869.693,2008170.036
gene_0086,4643367.381,1239287.943,6278071.374,6834384.572,6366989.701,2443554.751
gene_0087,26201934.6,29352092.08,33857919.75,29402999.48,33174928.03,25299928.99
gene_0088,5973189.246,3853104.812,3311285.557,3908517.319,4149079.874,4235908.514
gene_0089,3028264.94,3801717.762,2528411.761,1762742.119,2438123.88,3082821.656
gene_0090,3636754.225,1825841.372,1890530.901,1571096.101,3127676.782,2703805.606
gene_0091,2435472.057,2058711.158,3714071.092,2839804.139,2778047.815,2549335.821
gene_0092,1991894.767,5307201.889,4349807.122,3739697.121,4351707.022,3750990.036
gene_0093,44592878.69,4493069.664,39813931.38,39463894.5,43704848.45,52902039.24
gene_0094,4408969.298,4035846.855,2620644.083,1860901.161,3684251.2,2433109.806
gene_0095,56699001.78,51986006.58,68536063.76,63396066.8,61895019.97,56168969.54
gene_0096,4600342.996,3480733.672,2155692.548,1739968.793,2557991.43,2242956.173
gene_0097,3799346.866,2029003.608,2471884.665,2221896.216,1657169.796,3149213.201
gene_0098,2008100.44,2077619.458,1988845.808,1791069.637,4132404.361,3697887.746
gene_0099,61443199.2,61632159.24,120279872.3,130039980.1,159050536.8,75823935.34
gene_0100,3211331.124,2100498.027,2274313.967,6291793.976,2469504.214,1932664.789
gene_0101,25848012.18,21741980.09,1559800.405,21808995.7,20169052.85,14592967.99
gene_0102,2182272.755,5501333.753,4585316.856,2368266.491,1389765.46,3031478.164
gene_0103,2133691.251,1082248.222,1962920.074,1150667.837,6089321.269,1360834.32
gene_0104,3698784.968,4344172.618,2640116.204,905220.6686,3105469.569,3553846.652
gene_0105,998525.6761,2115122.807,6241537.386,3174658.549,1798521.531,2924421.839
gene_0106,1936070.423,5237075.599,3341837.148,2498152.295,5789831.774,4251557.444
gene_0107,3237368.137,2885440.198,3844168.116,2309853.624,2221896.216,2467604.925
gene_0108,49006847.21,41749049.03,38031987.54,40445055.36,43506873.21,42360902.78
gene_0109,5817387.599,2584511.158,4335689.466,2967136.773,2960090.8,8368629.81
gene_0110,4344383.404,1055979.21,3419064.006,1985760.223,2576033.635,5788748.31
gene_0111,2016022.067,3694326.641,3244624.288,3508687.428,2289736.256,4029222.375
gene_0112,1579065.954,2389603.79,942288.9499,3652290.272,2057142.067,2019686.582
gene_0113,3816159.392,3996899.869,2000404.05,3728412.362,1739836.132,6418078.479
gene_0114,2486991.248,2458249.638,1980481.783,3175758.992,2472844.344,1557661.154
gene_0115,1694185.011,4014697.899,5940693.803,2704049.254,2776892.697,3753799.075
gene_0116,3310895.395,4649422.174,1453883.258,1227660.314,5654272.567,2546721.906
gene_0117,2149723.977,32356898.67,25649013.45,35410895.68,1173193.864,1771266.67
gene_0118,3090224.027,4294087.029,1501018.159,6567395.915,4714750.512,2989867.251
gene_0119,1872715.093,3432765.795,3388088.197,2608592.209,5118785.069,3468979.778
gene_0120,23704046.08,18421024.95,19916074.76,21713967.22,21474035.52,32225066.5
gene_0121,2087261.605,2951710.909,4399109.251,3003618.183,9652558.754,4358287.687
gene_0122,10830225.9,2911134.368,4669122.47,2638798.94,1526652.204,2452599.099
gene_0123,4233765.697,2531533.246,1678207.876,3131559.804,1024813.532,2634120.658
gene_0124,3463237.748,3040590.29,3128457.338,3876974.996,2304943.57,4849114.872
gene_0125,3912556.08,1629299.053,2281608.767,2279585.357,4150345.473,3168832.561
gene_0126,3304475.801,3527561.978,3297200.07,1362089.432,1796826.899,7034907.386
gene_0127,465410977.9,587180981.6,763228603.9,713698747.6,723250412.5,600508738.9
gene_0128,1702649.443,4418759.558,3634461.015,5858987.738,5788106.353,6261513.547
gene_0129,32824051.79,39640999.42,22396966.38,88539015.75,67829052.3,65425059.7
gene_0130,2275007.704,4438651.471,5115982.86,2199310.701,2535396.586,3337947.886
gene_0131,277359134.7,373659769,372418629,435380031.6,354989226.4,534998646.2
gene_0132,5964128.869,2025013.366,1797848.471,4716025.211,1385965.582,2880125.007
gene_0133,3530277.105,3673948.569,2069613.587,2967465.857,3396341.27,5531387.567
gene_0134,3233197.037,2196751.122,8137476.267,2279032.393,2036033.686,5416276.652
gene_0135,5345857.683,4421762.172,1799531.593,1875521.018,3167405.179,3926629.372
gene_0136,7820774.198,5060505.24,7232685.553,7336904.114,8623188.581,6196705.608
gene_0137,6446255.765,1172047.818,7627876.209,3057730.868,3695299.84,2252163.288
gene_0138,6082782.549,2717577.975,3277353.814,2751868.308,5329282.942,1717632.543
gene_0139,2735437.192,2203842.969,2370253.609,1726920.215,10888032.93,5069000.937
gene_0140,43095981.05,70527863.45,79632278.39,71541151.31,75242789.52,84715933.29
gene_0141,7138254.955,4089349.674,6330464.802,2163971.398,2242831.801,2687698.727
gene_0142,5171495.103,4610718,4992358.13,2956584.337,2929229.907,5360700.114
