KEGG_Entry,Definition,KO,Length,Sw-Score,Margin,bits,identity,overlap,best(all)
xca:xcc-b100_1230,"Type IV pilus response regulator PilH",K02658,120,771,378,182,1.000,120,"<-> 44"
xcc:XCC2924,"PilH protein",K02658,120,771,378,182,1.000,120,"<-> 45"
xac:XAC3101,"PilH protein",K02658,120,764,375,180,0.975,120,"<-> 51"
xao:XAC29_15770,"PilH protein",K02658,120,764,375,180,0.975,120,"<-> 48"
xax:XACM_3020,"PilH protein",K02658,120,764,376,180,0.975,120,"<-> 52"
xcf:J172_03275,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xci:XCAW_03387,"CheY-like receiver domain protein",K02658,120,764,375,180,0.975,120,"<-> 52"
xcj:J158_03263,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xcm:J164_03259,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xcn:J169_03282,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xcr:J163_03259,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xct:J151_03284,"hypothetical protein",K02658,120,764,375,180,0.975,120,"<-> 51"
xcu:J159_03259,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xcv:XCV3232,"type IV pilus response regulator PilH",K02658,120,764,376,180,0.975,120,"<-> 52"
xcw:J162_03263,"Response regulators consisting of a CheY",K02658,120,764,375,180,0.975,120,"<-> 51"
xfu:XFF4834R_chr15310,"probable type IV pilus response r",K02658,120,764,376,180,0.975,120,"<-> 50"
xor:XOC_3306,"two-component system response regulatory p",K02658,120,751,359,177,0.958,120,"<-> 45"
xoz:BE73_06370,"chemotaxis protein CheY",K02658,120,751,359,177,0.958,120,"<-> 42"
xom:XOO_1648,"PilH protein",K02658,120,750,358,177,0.950,120,"<-> 42"
xoo:XOO1747,"PilH protein",K02658,120,750,358,177,0.950,120,"<-> 41"
xop:PXO_01603,"PilH protein",K02658,120,750,358,177,0.950,120,"<-> 45"
xoy:AZ54_15765,"chemotaxis protein CheY",K02658,120,750,358,177,0.950,120,"<-> 43"
xcp:XCR_3291,"two-component system response regulator pr",K02658,115,740,347,175,0.991,115,"<-> 45"
xsa:SB85_00490,"chemotaxis protein CheY",K02658,120,670,279,159,0.815,119,"<-> 49"
xtn:FD63_05035,"chemotaxis protein CheY",K02658,120,655,271,155,0.815,119,"<-> 41"
smz:SMD_3240,"twitching motility protein PilH",K02658,120,648,236,154,0.798,119,"<-> 58"
smt:Smal_3088,"response regulator receiver protein",K02658,120,644,236,153,0.790,119,"<-> 53"
buj:BurJV3_3116,"response regulator receiver protein",K02658,120,643,235,152,0.790,119,"<-> 57"
sml:Smlt3673,"putative two-component response regulator",K02658,120,643,235,152,0.790,119,"<-> 56"
xal:XALc_2241,"type IV pilus response regulatory protein",K02658,120,632,246,150,0.756,119,"<-> 34"
psu:Psesu_2398,"response regulator receiver protein",K02658,122,618,229,147,0.765,119,"<-> 37"
rhd:R2APBS1_0861,"response regulator with CheY-like rece",K02658,123,477,86,115,0.555,119,"<-> 29"
