#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value,Input,Hyperlink,ORF
Two-component system,KEGG PATHWAY,xcb02020,130,130,6.37772879983E-173,2.42353694394E-171,A0A0H2XA54|A0A0H2XE06|A0A0H2XD97|A0A0H2X9K9|Q4USS0|A0A0H2XBH1|A0A0H2X9K2|A0A0H2X6K8|A0A0H2X4C1|A0A0H2X7T6|A0A0H2X7M2|A0A0H2X6T2|A0A0H2X567|A0A0H2XBG3|A0A0H2XCE7|A0A0H2X4K1|A0A0H2X606|A0A0H2XBX9|A0A0H2X9J3|A0A0H2X3T6|A0A0H2X9J7|P0C0F7|A0A0H2X9J4|A0A0H2X8F3|A0A0H2XBI2|A0A0H2X7L4|A0A0H2X6L0|A0A0H2XEH1|A0A0H2X7S0|A0A0H2X5H7|A0A0H2XD14|A0A0H2X5P4|A0A0H2XBY2|A0A0H2X5P1|A0A0H2X4C4|A0A0H2X5C1|A0A0H2XCJ1|A0A0H2X4A4|A0A0H2X7R0|A0A0H2X6M9|A0A0H2X6V6|A0A0H2X3J6|A0A0H2X9B2|A0A0H2X624|A0A0H2X587|A0A0H2X582|A0A0H2X5S8|A0A0H2XB54|Q4UTR7|A0A0H2X9L5|A0A0H2X5B2|A0A0H2X7Q4|A0A0H2X4F1|A0A0H2X7E8|A0A0H2X7J2|A0A0H2X6N9|A0A0H2XBS4|A0A0H2XDN6|A0A0H2X757|A0A0H2X6F3|A0A0H2X7Z8|A0A0H2XCB8|Q4V0S8|A0A0H2XC05|A0A0H2X7I5|A0A0H2X7P9|A0A0H2X7P4|A0A0H2XA17|A0A0H2XAZ4|A0A0H2X6P0|A0A0H2XDR5|A0A0H2XDZ8|A0A0H2X5J4|A0A0H2X6G8|A0A0H2XBC7|A0A0H2X7Y4|A0A0H2X4W5|A0A0H2X7Y9|A0A0H2XAJ0|A0A0H2X8L9|A0A0H2X7H4|A0A0H2X5W2|A0A0H2X801|A0A0H2X7Z4|A0A0H2X9V7|A0A0H2X792|A0A0H2X577|Q4UQV0|A0A0H2X810|A0A0H2XBU1|A0A0H2X7W5|A0A0H2X9G0|Q4UZF6|A0A0H2X9G9|A0A0H2X8M0|A0A0H2X4W0|A0A0H2X7X9|Q4UWU6|A0A0H2X8C7|A0A0H2X819|A0A0H2X815|A0A0H2X3W2|A0A0H2X6I2|A0A0H2X5G5|A0A0H2XDI0|A0A0H2X2J9|A0A0H2X461|Q4UU97|A0A0H2X8B0|A0A0H2X8J5|A0A0H2X886|A0A0H2XAL3|A0A0H2X9H9|A0A0H2X5F8|A0A0H2XA24|A0A0H2XAF7|A0A0H2X6S6|A0A0H2XBW7|A0A0H2X4B5|A0A0H2X2R9|A0A0H2X472|A0A0H2X574|A0A0H2X4J8|A0A0H2X308|Q4UU85|A0A0H2X8P0|A0A0H2XC43|Q4UYH8|A0A0H2X956|A0A0H2XDA2,http://www.genome.jp/kegg-bin/show_pathway?xcb02020/xcb:XC_1300%09red/xcb:XC_1301%09red/xcb:XC_1419%09red/xcb:XC_1793%09red/xcb:XC_1792%09red/xcb:XC_1412%09red/xcb:XC_3873%09red/xcb:XC_1414%09red/xcb:XC_0812%09red/xcb:XC_1794%09red/xcb:XC_3272%09red/xcb:XC_2564%09red/xcb:XC_1059%09red/xcb:XC_1005%09red/xcb:XC_3763%09red/xcb:XC_1768%09red/xcb:XC_0001%09red/xcb:XC_1235%09red/xcb:XC_4059%09red/xcb:XC_4058%09red/xcb:XC_1421%09red/xcb:XC_3197%09red/xcb:XC_1413%09red/xcb:XC_3757%09red/xcb:XC_4131%09red/xcb:XC_0648%09red/xcb:XC_0647%09red/xcb:XC_0197%09red/xcb:XC_1410%09red/xcb:XC_3998%09red/xcb:XC_3859%09red/xcb:XC_3997%09red/xcb:XC_0486%09red/xcb:XC_1937%09red/xcb:XC_3058%09red/xcb:XC_3059%09red/xcb:XC_0813%09red/xcb:XC_2297%09red/xcb:XC_2506%09red/xcb:XC_2504%09red/xcb:XC_2972%09red/xcb:XC_2855%09red/xcb:XC_3531%09red/xcb:XC_3530%09red/xcb:XC_3532%09red/xcb:XC_3823%09red/xcb:XC_0820%09red/xcb:XC_3111%09red/xcb:XC_0828%09red/xcb:XC_3273%09red/xcb:XC_2323%09red/xcb:XC_2321%09red/xcb:XC_2320%09red/xcb:XC_2457%09red/xcb:XC_2456%09red/xcb:XC_2284%09red/xcb:XC_0638%09red/xcb:XC_2281%09red/xcb:XC_2282%09red/xcb:XC_2045%09red/xcb:XC_1058%09red/xcb:XC_1190%09red/xcb:XC_1454%09red/xcb:XC_1455%09red/xcb:XC_2233%09red/xcb:XC_1519%09red/xcb:XC_3528%09red/xcb:XC_3529%09red/xcb:XC_0336%09red/xcb:XC_2332%09red/xcb:XC_2333%09red/xcb:XC_2335%09red/xcb:XC_2136%09red/xcb:XC_1290%09red/xcb:XC_2130%09red/xcb:XC_1295%09red/xcb:XC_3724%09red/xcb:XC_2916%09red/xcb:XC_1061%09red/xcb:XC_1188%09red/xcb:XC_1062%09red/xcb:XC_1186%09red/xcb:XC_1187%09red/xcb:XC_1184%09red/xcb:XC_1185%09red/xcb:XC_1183%09red/xcb:XC_2223%09red/xcb:XC_3762%09red/xcb:XC_2304%09red/xcb:XC_0198%09red/xcb:XC_0843%09red/xcb:XC_2300%09red/xcb:XC_2303%09red/xcb:XC_2302%09red/xcb:XC_2309%09red/xcb:XC_2308%09red/xcb:XC_0194%09red/xcb:XC_0195%09red/xcb:XC_2943%09red/xcb:XC_0286%09red/xcb:XC_2318%09red/xcb:XC_2313%09red/xcb:XC_1885%09red/xcb:XC_1884%09red/xcb:XC_2316%09red/xcb:XC_2314%09red/xcb:XC_2315%09red/xcb:XC_2253%09red/xcb:XC_2251%09red/xcb:XC_2311%09red/xcb:XC_2707%09red/xcb:XC_3897%09red/xcb:XC_2708%09red/xcb:XC_1802%09red/xcb:XC_1801%09red/xcb:XC_4326%09red/xcb:XC_1311%09red/xcb:XC_0626%09red/xcb:XC_4031%09red/xcb:XC_4030%09red/xcb:XC_1409%09red/xcb:XC_3861%09red/xcb:XC_3860%09red/xcb:XC_2245%09red/xcb:XC_1770%09red/xcb:XC_0204%09red/xcb:XC_1074%09red/xcb:XC_3957%09red/xcb:XC_2307%09red/xcb:XC_2163%09red,
Bacterial chemotaxis,KEGG PATHWAY,xcb02030,43,50,3.88889065997E-43,7.38889225394E-42,Q4UWU6|A0A0H2XA54|A0A0H2XD97|A0A0H2X9K9|A0A0H2X7P9|A0A0H2X815|A0A0H2X7P4|A0A0H2X9K2|A0A0H2X6I2|A0A0H2X4C1|A0A0H2X7H4|A0A0H2X4C4|A0A0H2X7M2|A0A0H2X6F3|A0A0H2X7I5|Q4UU97|A0A0H2XBG3|A0A0H2X819|A0A0H2X4K1|A0A0H2X7Y4|A0A0H2X7Y9|A0A0H2X9J3|A0A0H2X5F8|A0A0H2X9J7|A0A0H2X5B2|A0A0H2X8B0|A0A0H2X801|A0A0H2X7Q4|A0A0H2X7L4|A0A0H2X7E8|A0A0H2X810|A0A0H2X7W5|A0A0H2X9G0|A0A0H2X577|A0A0H2X8P0|A0A0H2X9G9|A0A0H2XD14|A0A0H2X7Z8|A0A0H2X956|A0A0H2X7Z4|A0A0H2X5P1|A0A0H2X7X9|A0A0H2X7R0,http://www.genome.jp/kegg-bin/show_pathway?xcb02030/xcb:XC_0286%09red/xcb:XC_1937%09red/xcb:XC_2318%09red/xcb:XC_1410%09red/xcb:XC_2313%09red/xcb:XC_2233%09red/xcb:XC_1413%09red/xcb:XC_1414%09red/xcb:XC_1412%09red/xcb:XC_2314%09red/xcb:XC_2315%09red/xcb:XC_0336%09red/xcb:XC_3058%09red/xcb:XC_3059%09red/xcb:XC_2136%09red/xcb:XC_2316%09red/xcb:XC_1290%09red/xcb:XC_2130%09red/xcb:XC_2297%09red/xcb:XC_1802%09red/xcb:XC_1801%09red/xcb:XC_2504%09red/xcb:XC_2311%09red/xcb:XC_2307%09red/xcb:XC_1409%09red/xcb:XC_2320%09red/xcb:XC_2223%09red/xcb:XC_2323%09red/xcb:XC_2304%09red/xcb:XC_2321%09red/xcb:XC_0843%09red/xcb:XC_2300%09red/xcb:XC_2303%09red/xcb:XC_2302%09red/xcb:XC_2309%09red/xcb:XC_2308%09red/xcb:XC_3724%09red/xcb:XC_2284%09red/xcb:XC_0638%09red/xcb:XC_1074%09red/xcb:XC_2282%09red/xcb:XC_3757%09red/xcb:XC_2163%09red,
Oxidative phosphorylation,KEGG PATHWAY,xcb00190,12,51,2.30272619367E-07,2.91678651198E-06,A0A0H2X8C7|A0A0H2XBI2|A0A0H2X8J5|A0A0H2X5H7|A0A0H2X5S8|A0A0H2X587|A0A0H2XBX9|A0A0H2X6P0|A0A0H2X6M9|A0A0H2XDA2|A0A0H2X5J4|A0A0H2X6N9,http://www.genome.jp/kegg-bin/show_pathway?xcb00190/xcb:XC_3763%09red/xcb:XC_1300%09red/xcb:XC_1301%09red/xcb:XC_3897%09red/xcb:XC_1454%09red/xcb:XC_1455%09red/xcb:XC_1793%09red/xcb:XC_1792%09red/xcb:XC_3762%09red/xcb:XC_1884%09red/xcb:XC_1885%09red/xcb:XC_1794%09red,
Cationic antimicrobial peptide (CAMP) resistance,KEGG PATHWAY,xcb01503,5,16,0.00030966198092,0.00294178881874,A0A0H2XBW7|A0A0H2X9B2|A0A0H2X9J4|A0A0H2X4B5|A0A0H2XDR5,http://www.genome.jp/kegg-bin/show_pathway?xcb01503/xcb:XC_2972%09red/xcb:XC_2916%09red/xcb:XC_4031%09red/xcb:XC_4030%09red/xcb:XC_0828%09red,
Quorum sensing,KEGG PATHWAY,xcb02024,6,41,0.00252796043651,0.0192124993175,A0A0H2X7S0|Q4UU85|Q4UZF6|A0A0H2XCJ1|P0C0F7|A0A0H2X582,http://www.genome.jp/kegg-bin/show_pathway?xcb02024/xcb:XC_2332%09red/xcb:XC_2333%09red/xcb:XC_2335%09red/xcb:XC_1295%09red/xcb:XC_0486%09red/xcb:XC_3528%09red,
Glyoxylate and dicarboxylate metabolism,KEGG PATHWAY,xcb00630,5,30,0.0035284398241,0.0223467855527,A0A0H2XB54|A0A0H2X472|A0A0H2X461|A0A0H2X886|A0A0H2X6K8,http://www.genome.jp/kegg-bin/show_pathway?xcb00630/xcb:XC_2943%09red/xcb:XC_1770%09red/xcb:XC_0204%09red/xcb:XC_0194%09red/xcb:XC_1768%09red,
Arginine biosynthesis,KEGG PATHWAY,xcb00220,3,13,0.0110659943426,0.0600725407172,A0A0H2X461|A0A0H2X886|A0A0H2X6K8,http://www.genome.jp/kegg-bin/show_pathway?xcb00220/xcb:XC_1770%09red/xcb:XC_0194%09red/xcb:XC_1768%09red,
Aminobenzoate degradation,KEGG PATHWAY,xcb00627,3,14,0.0131472061343,0.062449229138,A0A0H2XEH1|A0A0H2XE06|A0A0H2X624,http://www.genome.jp/kegg-bin/show_pathway?xcb00627/xcb:XC_4326%09red/xcb:XC_1519%09red/xcb:XC_4131%09red,
Nitrogen metabolism,KEGG PATHWAY,xcb00910,3,16,0.0179363721222,0.0757313489606,A0A0H2X461|A0A0H2X886|A0A0H2X6K8,http://www.genome.jp/kegg-bin/show_pathway?xcb00910/xcb:XC_1770%09red/xcb:XC_0194%09red/xcb:XC_1768%09red,
Synthesis and degradation of ketone bodies,KEGG PATHWAY,xcb00072,2,6,0.022167465261,0.0842363679917,A0A0H2XB54|A0A0H2X472,http://www.genome.jp/kegg-bin/show_pathway?xcb00072/xcb:XC_2943%09red/xcb:XC_0204%09red,
