"","genes","counts.sample1","counts.sample2","counts.sample3","counts.treat1","counts.treat2","counts.treat3","logFC","logCPM","F","PValue"
"1","gene_0001",3.056565e+06,1.831431e+06,2.933659e+06,1.846523e+06,6.840878e+06,2.806324e+06, 5.989701e-01, 6.008871,1.287648e+00,2.877986e-01
"2","gene_0002",5.975218e+06,1.367283e+06,2.111300e+06,2.884520e+06,3.061718e+06,2.003512e+06,-1.677170e-01, 5.852142,9.167897e-02,7.694108e-01
"3","gene_0003",2.117573e+06,1.010566e+07,4.552224e+06,4.583982e+06,2.683752e+06,2.933131e+06,-6.454518e-01, 6.491459,1.165224e+00,3.103787e-01
"4","gene_0004",1.423164e+06,2.522285e+06,2.222281e+06,5.175511e+06,1.929974e+06,2.249979e+06, 6.812853e-01, 5.719429,1.897653e+00,2.039003e-01
"5","gene_0005",3.424899e+06,2.675839e+06,3.708515e+06,6.725033e+06,7.379543e+06,3.701452e+06, 9.258252e-01, 6.542480,4.553733e+00,1.005821e-01
"6","gene_0006",2.513646e+06,3.146857e+06,3.351464e+06,2.436722e+06,3.266672e+06,2.980928e+06,-4.027819e-03, 5.883634,1.399154e-04,9.932115e-01
"7","gene_0007",2.749485e+06,2.397950e+06,3.350442e+06,5.364826e+06,2.714867e+06,3.009453e+06, 4.559900e-01, 6.047380,1.144552e+00,3.567873e-01
"8","gene_0008",2.946723e+06,5.200071e+06,3.080664e+06,2.123687e+06,1.439095e+06,6.115716e+06,-1.747944e-01, 6.110882,9.474015e-02,7.657238e-01
"9","gene_0009",5.558484e+06,3.317902e+06,8.467884e+06,2.394146e+06,1.889535e+06,2.889363e+06,-1.229115e+00, 6.350628,6.932413e+00,2.880523e-02
"10","gene_0010",1.655806e+07,1.569705e+07,1.364302e+07,9.906884e+06,1.055000e+07,1.484301e+07,-3.242662e-01, 8.073125,9.045620e-01,6.317863e-01
"11","gene_0011",4.533551e+06,6.698376e+06,7.391266e+06,3.430696e+06,1.628452e+06,4.072067e+06,-9.759103e-01, 6.528755,4.222895e+00,8.270213e-02
