ID,NodeType,weight,color,degree,degree.in,degree.out,BetweenessCentrality,label
1.5.-.-,reaction,1,,5,3,2,80,
2.1.-.-,reaction,1,,2,1,1,19,
2.6.-.-,reaction,1,,2,1,1,13,
4.1.-.-,reaction,1,,2,1,1,8,
4.3.-.-,reaction,1,,3,2,1,32,
AADAT,reaction,1,,3,2,1,17,"AADAT, KAT2, ARO8, LYSN"
AANAT,reaction,1,,2,1,1,4,"AANAT, SNAT"
avtA,reaction,1,,2,1,1,10,"avtA, alaA"
C00022,KEGG Compound,1,#6495ED,9,9,,41,C00022
C00026,KEGG Compound,1,#6495ED,11,10,1,119,C00026
C00047,KEGG Compound,1,#6495ED,4,2,2,58,C00047
C00062,KEGG Compound,1,#6495ED,4,2,2,39,C00062
C00073,KEGG Compound,1,#6495ED,3,1,2,21,C00073
C00099,KEGG Compound,1,#6495ED,4,1,3,52,C00099
C00141,KEGG Compound,1,#6495ED,3,1,2,21,C00141
C00149,KEGG Compound,1,#6495ED,1,,1,2,C00149
C00153,KEGG Compound,1,#6495ED,1,1,,2,C00153
C00232,KEGG Compound,1,#6495ED,2,,2,5,C00232
C00245,KEGG Compound,1,#6495ED,3,,3,9,C00245
C00322,KEGG Compound,1,#6495ED,1,,1,4,C00322
C00331,KEGG Compound,1,#6495ED,3,,3,9,C00331
C00385,KEGG Compound,1,#6495ED,1,1,,2,C00385
C00407,KEGG Compound,1,#6495ED,2,,2,7,C00407
C00408,KEGG Compound,1,#6495ED,1,,1,7,C00408
C00620,KEGG Compound,1,#6495ED,1,,1,3,C00620
C00780,KEGG Compound,1,#6495ED,1,1,,2,C00780
C00956,KEGG Compound,1,#6495ED,1,,1,4,C00956
C00978,KEGG Compound,1,#6495ED,1,,1,2,C00978
C01005,KEGG Compound,1,#6495ED,1,,1,4,C01005
C01879,KEGG Compound,1,#6495ED,1,,1,7,C01879
C02642,KEGG Compound,1,#6495ED,1,,1,12,C02642
CRNS1,reaction,1,,3,1,2,35,"CRNS1, ATPGD1"
DLD3,reaction,1,,2,1,1,59,"DLD3, GPT, ALT, alaA, GGAT, dat"
gabT,reaction,1,,2,1,1,8,"puuE, gabT, ABAT, davT"
hpaI,reaction,1,,2,1,1,4,"POP2, hpaI, hpcH"
ilvE,reaction,1,,3,2,1,18,ilvE
ISS1,reaction,1,,2,1,1,13,"ISS1, VAS1"
LYS1,reaction,1,,2,1,1,11,"LYS1, AASS, lat"
ME2,reaction,1,,2,1,1,4,"ME2, sfcA, maeA, maeB"
ODH1,reaction,1,,2,1,1,8,"ODH1, aruH"
punA,reaction,1,,3,1,2,7,"punA, PNP, deoD"
puuE,reaction,1,,2,1,1,6,"puuE, gabT, ABAT, toa"
pydC,reaction,1,,2,1,1,34,"UPB1, pydC"
serC,reaction,1,,2,1,1,10,"serC, PSAT1"
TAA1,reaction,1,,2,1,1,4,TAA1
Tam1,reaction,1,,2,1,1,8,Tam1
TAT,reaction,1,,2,1,1,14,"TAT, tyrB, mtnE, mtnV"
toa,reaction,1,,2,1,1,4,toa
tpa,reaction,1,,2,1,1,2,tpa
