fromNode,toNode,value,interaction_type,selfLoop,label,guid
C00105,C00009,0,R00963|R00155,False,,1-19
C01762,C00009,0,R02719,False,,13-19
C01762,R02719,0,3.1.3.5,False,,13-29
C01762,C00655,0,R02719,False,,13-30
R01126,C00009,0,"3.1.3.5, 3.1.3.99",False,,20-19
R01126,C00294,0,"3.1.3.5, 3.1.3.99",False,,20-8
R00961,C00009,0,"3.6.1.5, 3.6.1.6, 3.6.1.64",False,,21-19
R01135,C00009,0,6.3.4.4,False,,22-19
R01135,C00035,0,reaction,False,,22-23
R01135,C00044,0,reaction,False,,22-24
C00035,C00009,0,R00328|R00335|R01135,False,,23-19
C00044,C00009,0,R00335|R01135,False,,24-19
C00013,C00655,0,R02720,False,,25-30
R01227,C00009,0,3.1.3.5,False,,26-19
R00328,C00009,0,"3.6.1.5, 3.6.1.6, 3.6.1.42",False,,27-19
R00328,C00035,0,"3.6.1.5, 3.6.1.6, 3.6.1.42",False,,27-23
R00426,C00044,0,"3.6.1.8, 3.6.1",False,,28-24
R00426,C00013,0,"3.6.1.8, 3.6.1",False,,28-25
R02719,C00009,0,3.1.3.5,False,,29-19
R02719,C00655,0,reaction,False,,29-30
R00963,C00105,0,reaction,False,,31-1
R00963,C00009,0,reaction,False,,31-19
C00130,C00009,0,R01126|R00961|R01135,False,,3-19
C00130,R01126,0,"3.1.3.5, 3.1.3.99",False,,3-20
C00130,R00961,0,"3.6.1.5, 3.6.1.6, 3.6.1.64",False,,3-21
C00130,R01135,0,6.3.4.4,False,,3-22
F8WG43,R01126,0,catalyst,False,,32-20
F8WG43,R01227,0,catalyst,False,,32-26
F8WG43,R02719,0,catalyst,False,,32-29
C00130,C00035,0,R01135,False,,3-23
F8WG43,R00963,0,catalyst,False,,32-31
C00130,C00044,0,R01135,False,,3-24
C00130,C00013,0,R00720,False,,3-25
Q6AYP7,R01126,0,catalyst,False,,33-20
Q6AYP7,R01227,0,catalyst,False,,33-26
Q6AYP7,R02719,0,catalyst,False,,33-29
Q6AYP7,R00963,0,catalyst,False,,33-31
R00155,C00105,0,reaction,False,,34-1
R00155,C00009,0,reaction,False,,34-19
Q80Z26,R00961,0,catalyst,False,,35-21
Q80Z26,R00328,0,catalyst,False,,35-27
Q80Z26,R00155,0,catalyst,False,,35-34
Q80Z26,R00335,0,catalyst,False,,35-39
M0R629,R01135,0,catalyst,False,,36-22
D3ZW55,R00426,0,catalyst,False,,37-28
D3ZW55,R00720,0,catalyst,False,,37-38
D3ZW55,R02720,0,catalyst,False,,37-40
R00720,C00013,0,reaction,False,,38-25
R00720,C00130,0,reaction,False,,38-3
R00335,C00009,0,reaction,False,,39-19
R00335,C00035,0,reaction,False,,39-23
R00335,C00044,0,reaction,False,,39-24
R02720,C00013,0,reaction,False,,40-25
R02720,C00655,0,reaction,False,,40-30
C00144,C00009,0,R01227|R00328,False,,5-19
C00144,C00035,0,R00328,False,,5-23
C00144,C00044,0,R00426,False,,5-24
C00144,C00013,0,R00426,False,,5-25
C00144,R01227,0,3.1.3.5,False,,5-26
C00144,R00328,0,"3.6.1.5, 3.6.1.6, 3.6.1.42",False,,5-27
C00144,R00426,0,"3.6.1.8, 3.6.1",False,,5-28
C00294,C00009,0,R01126,False,,8-19
C00294,C00130,0,R01126,False,,8-3
