X,Y,Z
91,63,11.855776644037249
91,62,12.29207424418083
94,63,13.18356745696331
94,62,12.783999410043737
91,41,13.45976649016785
94,41,13.491400618451385
91,40,13.403925967530899
94,40,13.835505724563358
91,39,13.046558370586167
94,39,13.007721280213103
79,110,13.252118220931221
76,110,12.718347492102822
79,111,13.506022539084338
76,111,13.056569978090549
73,113,12.176671687202312
73,114,14.871778877648342
70,113,11.62272941791984
73,115,14.63214588972797
70,114,11.922416310839992
70,115,12.23873651083195
73,26,11.354560682268524
70,27,11.192244527675577
73,25,11.449537306895001
70,26,11.499975566823219
205,73,13.072152474330876
205,74,12.745191936826487
205,75,12.732269912823934
208,63,12.859122093389168
208,62,13.043648258923163
