TF_name	fam_symbol	fam_description	numSequences	aln_len	aln_percent_identity	hgnc	pfam	numSpecies
TF333215	NaN	NaN	57 	424	53.6093047037769	POMC->NaN	Op_neuropeptide->PF08035.6->89 NPP->PF08384.5->87 ACTH_domain->PF00976.13->96	48
TF350186	NaN	NaN	134 	1926	40.1530057823885	NaN	CBM_14->PF01607.19->100 hEGF->PF12661.2->1	27
TF330751	NaN	NaN	41 	256	84.5346850145833	FGF12->NaN	FGF->PF00167.13->97	35
TF322593	NaN	NaN	6 	130	78.6836935166994	NaN		2
TF336223	NaN	NaN	48 	1834	56.1277986860038	HELB->NaN	UvrD_C_2->PF13538.1->79 AAA_30->PF13604.1->97 AAA_19->PF13245.1->2	48
TF333006	NaN	NaN	115 	1856	37.3075313319492	FAM123C->NaN FAM123A->NaN FAM123B->NaN	WTX->PF09422.5->100	54
TF314514	NaN	NaN	161 	1954	39.1731820436143	CERKL->NaN CERK->NaN	DAGK_cat->PF00781.19->96	90
TF105964	NP_055412.2	estrogen receptor binding protein	46 	1166	53.8617110760759	DNTTIP2->NaN	Fcf2->PF08698.6->95	45
TF343888	NaN	NaN	23 	258	39.6362839614373	NaN	Turandot->PF07240.6->100	7
TF327296	NaN	NaN	25 	873	43.9723366965089	NaN	7tm_7->PF08395.7->64	12
TF336066	NaN	NaN	43 	240	58.231334742886	TRAT1->NaN	SIT->PF15330.1->100	43
TF351641	NaN	NaN	364 	23170	43.3549746536102	NOTCH4->NaN NOTCH2->NaN NOTCH1->NaN NOTCH3->NaN	EGF_CA->PF07645.10->79 NOD->PF06816.8->53 DUF3497->PF12003.3->1 CUB->PF00431.15->1 Laminin_G_1->PF00054.18->6 Ank->PF00023.25->25 Laminin_G_2->PF02210.19->7 GPS->PF01825.16->1 DUF3454->PF11936.3->42 EGF->PF00008.22->98 Ank_2->PF12796.2->60 NODP->PF07684.7->55 Notch->PF00066.12->29 hEGF->PF12661.2->65 fn3->PF00041.16->1 HYR->PF02494.11->1 Avidin->PF01382.12->1 Ank_4->PF13637.1->1 EGF_3->PF12947.2->1 Kelch_4->PF13418.1->1 VWA->PF00092.23->1 Ank_3->PF13606.1->1 Reeler->PF02014.11->1 Ank_5->PF13857.1->2 Sushi->PF00084.15->1 Fibrinogen_C->PF00147.13->1 7tm_2->PF00002.19->1 F5_F8_type_C->PF00754.20->1 TSP_1->PF00090.14->1 Gal_Lectin->PF02140.13->1 GCC2_GCC3->PF07699.8->1 Laminin_G_3->PF13385.1->1 cEGF->PF12662.2->1 EGF_2->PF07974.8->1	99
TF344101	NaN	NaN	9 	237	55.2038726494135	NaN		5
TF343440	NaN	NaN	30 	2758	36.6935152702655	NaN		16
TF313588	NaN	NaN	117 	1629	35.5664828338693	NaN	Ammonium_transp->PF00909.16->100 zf-C2H2->PF00096.21->1 Atg8->PF02991.11->1 zf-H2C2_2->PF13465.1->1 Trypsin->PF00089.21->1	48
TF352704	NaN	NaN	4 	693	52.091439688716	NaN		4
TF351132	NaN	NaN	138 	1134	51.3424828291368	SYT14->NaN SYT16->NaN	C2->PF00168.25->99	84
TF313398	NaN	NaN	104 	2179	54.0671011007772	DUS1L->NaN	Dus->PF01207.12->99 CTD_bind->PF04818.8->1 Proteasome->PF00227.21->1 DUF702->PF05142.7->1	94
TF333016	NaN	NaN	3 	613	45.8923512747875	NaN	C8->PF08742.6->33 VWD->PF00094.20->33 TIL->PF01826.12->33 Cys_knot->PF00007.17->33	1
TF106499	GNRHR/AVPR	gonadotropin-releasing hormone receptor/arginine vasopressin receptor	585 	1817	32.1689892067319	GPR150->NaN AVPR1A->NaN AVPR1B->NaN AVPR2->NaN OXTR->NaN GNRHR->NaN NPSR1->NaN	7tm_1->PF00001.16->100 DUF1856->PF08983.5->9 Aa_trans->PF01490.13->1	99
TF354374	NaN	NaN	2 	61	62.5	NaN		2
TF300064	NaN	NaN	114 	264	64.9545227715687	EDF1->NaN	HTH_3->PF01381.17->98 MBF1->PF08523.5->95	98
TF353420	NaN	NaN	12 	325	69.0448601224963	NaN		12
TF342669	NaN	NaN	56 	1737	56.8693702678336	CNTD1->NaN	OSR1_C->PF12202.3->17 Pkinase->PF00069.20->17 ESCRT-II->PF05871.7->16 Cyclin_N->PF00134.18->42	56
TF325015	NaN	NaN	21 	3622	31.3992322068319	NaN	BAH->PF01426.13->90	20
TF319465	NaN	NaN	7 	203	28.4276729559748	NaN		5
TF352549	NaN	NaN	8 	400	61.7939814814815	NaN		8
TF341170	NaN	NaN	4 	163	58.4650112866817	NaN		4
TF323286	NaN	NaN	106 	444	38.9332026326845	C4orf22->NaN	DUF4464->PF14713.1->100 DUF1091->PF06477.8->1	68
TF340405	NaN	NaN	12 	587	70.1921662105294	ZNF460->NaN	zf-H2C2_2->PF13465.1->100 zf-C2H2_6->PF13912.1->41 zf-C2H2_4->PF13894.1->16 KRAB->PF01352.22->75 zf-C2H2->PF00096.21->16	10
TF332530	NaN	NaN	112 	581	39.37620104262	CD38->NaN BST1->NaN	CBM_14->PF01607.19->1 Rib_hydrolayse->PF02267.12->100	58
TF321408	NaN	NaN	5 	196	48.8372093023256	NaN	TIR->PF01582.15->20	5
TF321995	NaN	NaN	9 	1406	35.1985463096574	NaN	IBR->PF01485.16->100	5
TF318867	NaN	NaN	5 	185	79.1970802919708	NaN		5
TF351309	NaN	NaN	31 	2106	48.9949762272705	NaN	Glyco_transf_92->PF01697.22->100	5
TF338577	NaN	NaN	41 	130	56.7719916327205	MLANA->NaN	MLANA->PF14991.1->100	41
TF331103	NaN	NaN	55 	984	56.2545523459851	MOS->NaN	Pkinase->PF00069.20->100	49
TF101216	RAD23	DNA repair protein RAD23	177 	1282	51.8246028093922	RAD23A->NaN RAD23B->NaN	XPC-binding->PF09280.6->97 ubiquitin->PF00240.18->94 UBA->PF00627.26->95 Sel1->PF08238.7->1	101
TF106418	INTS12	Integrator complex subunit 12	74 	745	60.8689600358267	INTS12->NaN	PHD->PF00628.24->89	71
TF324390	NaN	NaN	88 	906	44.9826681468992	WDR89->NaN	WD40->PF00400.27->100 Pkinase->PF00069.20->1	82
TF313720	NaN	NaN	174 	2159	43.9267445073662	MTRF1->NaN MTRF1L->NaN	PCRF->PF03462.13->94 RF-1->PF00472.15->98 MSC->PF09402.5->1 TPR_9->PF13371.1->1 Transglut_core2->PF13369.1->1 Methyltransf_31->PF13847.1->1 LEM->PF03020.10->1	104
TF333899	NaN	NaN	8 	882	77.0877944325482	NaN	FAD_binding_7->PF03441.9->100 DNA_photolyase->PF00875.13->87	7
TF351243	NaN	NaN	4 	312	49.020979020979	NaN	SPK->PF04435.13->100	4
TF320364	NaN	NaN	297 	7711	44.8945529641331	ARID3C->NaN ARID1B->NaN ARID3A->NaN ARID1A->NaN ARID3B->NaN	DUF3518->PF12031.3->49 ARID->PF01388.16->96 WD40_alt->PF14077.1->1	98
TF328445	NaN	NaN	35 	1052	66.7109992081057	CCDC142->NaN	CCDC142->PF14923.1->100	35
TF322529	NaN	NaN	6 	816	39.0658174097665	NaN	Chromo->PF00385.19->100	4
TF350550	NaN	NaN	16 	323	51.8480771844001	NaN	zf-C2H2_4->PF13894.1->37 zf-H2C2_2->PF13465.1->81 zf-C2H2->PF00096.21->50	13
TF300314	NaN	NaN	904 	2977	81.8969546854922	TUBA3C->NaN TUBA4A->NaN TUBA1C->NaN TUBA3D->NaN TUBA1B->NaN TUBA1A->NaN TUBAL3->NaN TUBA3E->NaN TUBA8->NaN	Tubulin->PF00091.20->98 Tubulin_C->PF03953.12->95 TBCC->PF07986.7->1 COX15-CtaA->PF02628.10->1 ATP-synt_DE_N->PF02823.11->1 ABC_membrane->PF00664.18->1 ABC_tran->PF00005.22->1 Ras->PF00071.17->1 UDPGT->PF00201.13->1	109
TF352774	NaN	NaN	122 	1690	21.2811863366835	NaN	7tm_6->PF02949.15->96 RRM_1->PF00076.17->1	24
TF344103	NaN	NaN	7 	105	77.4949765572673	NaN		5
TF103034	POLR1C	polymerase (RNA) I polypeptide C	102 	1792	57.035370275275	POLR1C->NaN	RNA_pol_A_bac->PF01000.21->100 PAZ->PF02170.17->1 Piwi->PF02171.12->1 Glycos_transf_2->PF00535.21->1 Requiem_N->PF14051.1->1 RNA_pol_L->PF01193.19->99 PHD->PF00628.24->1 RNA_pol_L_2->PF13656.1->1	98
TF323230	NaN	NaN	139 	1360	70.3110412044934	RAB40A->NaN RAB40C->NaN RAB40AL->NaN RAB40B->NaN	Ras->PF00071.17->99 SOCS_box->PF07525.11->94 Kelch_4->PF13418.1->1	84
TF342878	NaN	NaN	24 	1323	54.9635089240552	NaN	CBS->PF00571.23->8	16
TF314775	NaN	NaN	4 	692	50.8255563531945	NaN		4
TF105035	UQCRB	ubiquinol-cytochrome c reductase binding protein	112 	237	53.4633051909129	UQCRB->NaN	UCR_14kD->PF02271.11->100	94
TF328444	NaN	NaN	56 	142	79.3144132361415	MZT1->NaN	MOZART1->PF12554.3->100	52
TF342120	NaN	NaN	2 	197	92.8934010152284	NaN		2
TF326150	NaN	NaN	233 	5103	33.002181823258	NaN	Hemocyanin_M->PF00372.14->89 Hemocyanin_C->PF03723.9->97 Hemocyanin_N->PF03722.9->95 AMP-binding->PF00501.23->1 UDPGT->PF00201.13->1	28
TF343523	NaN	NaN	19 	1206	68.3795799478767	NaN	Cadherin->PF00028.12->5	19
TF332922	NaN	NaN	171 	2623	36.5784408283226	MAML3->NaN MAMLD1->NaN MAML1->NaN MAML2->NaN	MamL-1->PF09596.5->25	54
TF323548	NaN	NaN	95 	492	53.8273884546427	POMP->NaN	UMP1->PF05348.6->100 DUF2854->PF11016.3->1	85
TF331546	NaN	NaN	78 	988	46.1582642887235	NaN	Pkinase->PF00069.20->93 Pkinase_Tyr->PF07714.12->2	73
TF336382	NaN	NaN	6 	290	68.2217343578485	C10orf95->NaN		6
TF314042	NaN	NaN	60 	1098	47.9410919305199	LAS1L->NaN	Las1->PF04031.8->96	56
TF316174	NaN	NaN	270 	509	37.783072690545	MAL->NaN MARVELD1->NaN MALL->NaN PLLP->NaN CMTM8->NaN	MARVEL->PF01284.18->96 Claudin_3->PF06653.6->1	58
TF105680	SF3B1	splicing factor 3b, subunit 1, 155kDa	109 	2128	78.1417366422676	SF3B1->NaN	SF3b1->PF08920.5->93	106
TF338173	NaN	NaN	34 	428	66.9723601439597	APOBEC4->NaN	APOBEC_N->PF08210.6->94	34
TF318672	NaN	NaN	8 	407	65.5918481295366	NaN	CD20->PF04103.10->100	8
TF313101	NaN	NaN	92 	1656	44.6597706229977	PDXDC1->NaN	Pyridoxal_deC->PF00282.14->84	91
TF319944	NaN	NaN	4 	68	71.358024691358	NaN		4
TF337155	NaN	NaN	38 	901	71.7509593062827	AGER->NaN	C2-set_2->PF08205.7->97 Ig_2->PF13895.1->97	38
TF352205	NaN	NaN	6 	855	45.37453362671	NaN		5
TF314938	NaN	NaN	105 	1530	54.5989599527322	LMBRD2->NaN	BBIP10->PF14777.1->1 LMBR1->PF04791.11->100 BORA_N->PF15280.1->1	97
TF323203	NaN	NaN	76 	3937	52.8206063234251	USP10->NaN	UCH->PF00443.24->100 PAM2->PF07145.10->27	73
TF105839	NOLA2	nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)	104 	255	54.4798167638354	NHP2->NaN	Ribosomal_L7Ae->PF01248.21->99	100
TF315025	NaN	NaN	87 	558	47.6208080421975	C16orf13->NaN	DUF938->PF06080.7->100	75
TF327419	NaN	NaN	48 	521	31.9372855538289	NaN	F-box->PF00646.28->14	12
TF332356	NaN	NaN	79 	215	50.534490262213	LSM10->NaN	LSM->PF01423.17->83	76
TF313360	NaN	NaN	243 	2484	30.6396044477005	GNPAT->NaN GPAM->NaN GPAT2->NaN	Acyltransferase->PF01553.16->81 AAA_12->PF13087.1->1 Clat_adaptor_s->PF01217.15->1	98
TF313543	NaN	NaN	223 	3453	43.4167635124848	INPP5F->NaN SACM1L->NaN	Syja_N->PF02383.13->98 hSac2->PF12456.3->43	108
TF322567	NaN	NaN	3 	271	67.4418604651163	NaN		2
TF332577	NaN	NaN	31 	971	53.4205492987859	LRRC66->NaN	LRR_1->PF00560.28->12 LRR_4->PF12799.2->12 LRR_8->PF13855.1->96 LRR_6->PF13516.1->61	31
TF330964	NaN	NaN	153 	1490	45.8244306216092	FAM110A->NaN FAM110D->NaN FAM110C->NaN FAM110B->NaN	FAM110_C->PF14160.1->99 FAM110_N->PF14161.1->92	53
TF317243	NaN	NaN	193 	6452	26.9206115997913	NaN	zf-RING_5->PF14634.1->1 7TM_GPCR_Srh->PF10318.4->1 7TM_GPCR_Srw->PF10324.4->2 Lectin_C->PF00059.16->1 RVT_3->PF13456.1->1 DUF829->PF05705.9->1 Recep_L_domain->PF01030.19->100 DUF2700->PF10912.3->1	5
