,X,Y
"1,1",9.86684,2.64206
"1,3",10.3794,1.89606
"1,5",10.1423,1.28362
"1,7",10.2001,1.39838
"1,9",10.3836,1.79701
"1,11",10.0739,2.01795
"1,13",10.0052,1.9023
"1,15",9.99625,2.02796
"1,17",10.2603,2.09262
"1,19",10.0232,2.30458
"1,21",10.4244,1.3091
"1,23",10.5867,1.81556
"1,25",10.5271,2.10023
"1,27",9.72435,1.64939
"1,29",10.3111,2.12157
"1,31",10.3731,1.96053
"1,33",9.90107,2.56417
"1,35",10.5275,1.6418
"1,37",10.7184,1.70722
"1,39",10.6068,1.91489
"1,41",10.482,1.83574
"1,43",9.66168,1.50172
"1,45",10.3355,1.54309
"1,47",10.0208,1.68239
"1,49",10.3452,1.97038
"1,51",10.1386,1.66654
"1,53",10.5642,1.87928
"1,55",10.2477,2.16378
"1,57",10.2381,2.08132
"1,59",10.1057,2.02308
"1,61",10.5021,1.80573
"1,63",9.96925,1.61766
"1,65",10.4293,2.07496
"1,67",10.183,1.48703
"1,69",9.8382,2.03546
"1,71",10.4512,1.84107
"1,73",10.0893,-1.6258
"1,75",9.99307,1.43826
"1,77",9.82961,1.51747
"1,79",10.4419,0.790249
"1,81",10.0949,0.402521
"1,83",10.3804,1.55953
"1,85",10.1345,2.01288
"1,87",10.3393,1.80119
"1,89",10.1629,-1.71868
"1,91",10.5856,1.85966
"1,93",10.1016,1.89617
"1,95",10.5651,2.0817
"1,97",10.0324,2.13084
"1,99",10.5448,1.9744
"1,101",10.1676,2.06555
"1,103",10.4904,1.8845
"1,105",10.4705,2.15516
"1,107",9.84323,1.10137
"1,109",10.2049,1.77111
"1,111",10.2099,2.07942
"1,113",10.0316,1.81343
"1,115",10.3358,2.21364
"1,117",10.1912,1.89539
"1,119",10.1188,-2.04135
"1,121",10.1678,1.89884
"1,123",11.6564,2.11042
"1,125",9.9221,2.60852
"1,127",9.76294,1.54845
"1,129",10.1399,1.75449
"1,131",9.77522,1.34289
"1,133",9.90613,1.57587
"4,1",9.92544,2.39959
"4,3",9.65063,2.24844
"4,5",10.1284,1.8007
"4,7",9.9958,1.70203
"4,9",9.86726,2.02695
"4,11",10.2522,2.22123
"4,13",10.2234,2.04993
"4,15",10.5715,1.93041
"4,17",10.1,-1.17379
"4,19",10.3316,2.22589
"4,21",10.3607,1.95525
"4,23",10.5152,1.76471
"4,25",10.2987,1.32589
"4,27",10.5283,1.16948
"4,29",10.2502,1.71789
"4,31",10.3902,1.74139
"4,33",9.60956,1.42335
"4,35",9.98833,1.51913
"4,37",10.3324,0.135896
"4,39",9.97177,2.05952
"4,41",10.1536,-0.581652
"4,43",9.91403,0.853352
"4,45",10.3224,0.925093
"4,47",10.1051,-0.255677
"4,49",9.98387,1.73969
"4,51",10.559,1.4613
"4,53",10.3979,1.36294
"4,55",9.92161,2.27561
"4,57",9.86835,2.29767
"4,59",10.5036,1.56927
"4,61",10.0015,1.7711
"4,63",9.7744,2.1235
"4,65",10.1819,1.73313
"4,67",10.0919,2.23529
"4,69",10.2534,2.06266
"4,71",10.2259,1.42015
"4,73",9.76775,1.19594
"4,75",10.2518,1.53289
"4,77",10.3688,1.67537
"4,79",10.223,1.62234
"4,81",10.5788,2.1175
"4,83",10.1784,-0.678143
"4,85",10.1164,2.14563
"4,87",10.2704,-1.27473
"4,89",9.78112,2.00002
"4,91",10.5703,1.89775
