A,catalog,counts
Metabolism,"K01810  GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]",1
Metabolism,"K01624  FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",2
Metabolism,"K01803  TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]",2
Metabolism,"K00134  GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",2
Metabolism,"K00927  PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",2
Metabolism,"K15633  gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",2
Metabolism,"K01689  ENO, eno; enolase [EC:4.2.1.11]",2
Metabolism,"K00873  PK, pyk; pyruvate kinase [EC:2.7.1.40]",2
Metabolism,K00163  aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],2
Metabolism,"K00161  PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]",3
Metabolism,"K00162  PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]",2
Metabolism,"K00627  DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]",4
Metabolism,"K00382  DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",3
Metabolism,"K00027  ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",1
Metabolism,"K00029  E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",1
Metabolism,"K01783  rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",3
Metabolism,K01807  rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6],2
Metabolism,"K00615  E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",3
Metabolism,"K00616  E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]",1
Metabolism,"K00948  PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",2
Metabolism,"K00851  E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]",1
Metabolism,K01690  edd; phosphogluconate dehydratase [EC:4.2.1.12],1
Metabolism,K01625  eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42],2
Metabolism,K00131  gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],1
Metabolism,"K01647  CS, gltA; citrate synthase [EC:2.3.3.1]",1
Metabolism,"K01681  ACO, acnA; aconitate hydratase [EC:4.2.1.3]",2
Metabolism,K01682  acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],1
Metabolism,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",2
Metabolism,"K00164  OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",3
Metabolism,"K00658  DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",2
Metabolism,K01902  sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],2
Metabolism,K01903  sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],2
Metabolism,"K18118  aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]",1
Metabolism,"K00239  sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]",2
Metabolism,"K00240  sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]",2
Metabolism,"K00241  sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit",2
Metabolism,"K00242  sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit",2
Metabolism,"K01676  E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]",1
Metabolism,"K01679  E4.2.1.2B, fumC; fumarate hydratase, class II [EC:4.2.1.2]",2
Metabolism,K00024  mdh; malate dehydrogenase [EC:1.1.1.37],2
Metabolism,K00116  mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],1
Metabolism,"K01637  E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]",1
Metabolism,"K01638  aceB, glcB; malate synthase [EC:2.3.3.9]",1
Metabolism,"K00261  GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",1
Metabolism,"K11263  bccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]",1
Metabolism,"K03781  katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",3
Metabolism,"K03841  FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]",1
Metabolism,K01595  ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31],2
Metabolism,"K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]",1
Metabolism,"K01007  pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]",2
Metabolism,"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",2
Metabolism,"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",2
Metabolism,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2],2
Metabolism,K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2],2
Metabolism,K01847  MUT; methylmalonyl-CoA mutase [EC:5.4.99.2],1
Metabolism,"K00626  E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",1
Metabolism,K01491  folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],2
Metabolism,"K00297  metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]",1
Metabolism,"K00121  frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",2
Metabolism,"K01070  frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]",1
Metabolism,K00925  ackA; acetate kinase [EC:2.7.2.1],1
Metabolism,K13788  pta; phosphate acetyltransferase [EC:2.3.1.8],1
Metabolism,"K00600  glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",2
Metabolism,"K00058  serA, PHGDH; D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]",1
Metabolism,"K00831  serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]",2
Metabolism,"K01079  serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]",1
Metabolism,"K01752  E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]",4
Metabolism,"K01754  E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",1
Metabolism,K00282  gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2],1
Metabolism,K00283  gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2],1
Metabolism,"K00605  gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]",1
Metabolism,K00640  cysE; serine O-acetyltransferase [EC:2.3.1.30],1
Metabolism,K01738  cysK; cysteine synthase A [EC:2.5.1.47],1
Metabolism,K12339  cysM; cysteine synthase B [EC:2.5.1.47],1
Metabolism,"K00140  mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]",1
Metabolism,K01782  fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3],2
Metabolism,K01825  fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8],1
Metabolism,"K00209  fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]",2
Metabolism,"K01647  CS, gltA; citrate synthase [EC:2.3.3.1]",1
Metabolism,"K01681  ACO, acnA; aconitate hydratase [EC:4.2.1.3]",2
Metabolism,K01682  acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],1
Metabolism,"K00031  IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",2
Metabolism,K00812  aspB; aspartate aminotransferase [EC:2.6.1.1],2
Metabolism,K00928  lysC; aspartate kinase [EC:2.7.2.4],2
Metabolism,K00133  asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],2
Metabolism,"K00836  ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]",1
Metabolism,K14260  alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],1
Metabolism,K00620  argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1],1
Metabolism,K14682  argAB; amino-acid N-acetyltransferase [EC:2.3.1.1],1
Metabolism,K00930  argB; acetylglutamate kinase [EC:2.7.2.8],1
Metabolism,K00145  argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],1
Metabolism,K00821  argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17],1
Metabolism,K01703  leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35],1
Metabolism,K01704  leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35],1
Metabolism,K00052  leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85],1
Metabolism,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",2
Metabolism,"K01653  E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]",1
Metabolism,K00053  ilvC; ketol-acid reductoisomerase [EC:1.1.1.86],1
Metabolism,"K00826  E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]",2
Metabolism,K01649  leuA; 2-isopropylmalate synthase [EC:2.3.3.13],1
Metabolism,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2],2
Metabolism,"K02160  accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",2
Metabolism,"K01961  accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",2
Metabolism,K01963  accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2],2
