ko,gene,id,url,sp_code,name
K01810,BL01_01380,0,,abw,
K01624,IX88_09745,0,,abaa,
K01624,CbuK_0230,0,,cbc,fbaA
K01803,CbuK_0582,0,,cbc,tpiA
K01803,IX88_03945,0,,abaa,
K00134,COXBURSA331_A1980,0,,cbs,gap
K00134,BJAB0868_01271,0,,abaj,
K00927,CBUD_0226,0,,cbd,pgk
K00927,IX88_09735,0,,abaa,
K15633,IX88_03390,0,,abaa,
K15633,CbuK_1762,0,,cbc,gpmI
K01689,CbuK_0336,0,,cbc,eno
K01689,IX88_11655,0,,abaa,eno
K00873,CBUD_0227,0,,cbd,pyk
K00873,AFUA_6G07430,0,,afm,
K00163,IX88_01420,0,,abaa,aceE
K00163,CbuK_1398,0,,cbc,aceE
K00161,PPUBIRD1_0605,0,,ppb,acoA
K00161,IX88_10455,0,,abaa,
K00161,LFML04_1773,0,,lfi,
K00162,A1S_1700,0,,acb,
K00162,LFML04_1774,0,,lfi,
K00627,PP4_03680,0,,ppun,acoC
K00627,ABBFA_000155,0,,abb,
K00627,M3Q_2088,0,,abh,
K00627,CbuK_1397,0,,cbc,pdhC.2
K00382,CBUD_1612,0,,cbd,lpdA
K00382,ABSDF0493,0,,abm,lpd
K00382,ABD1_16950,0,,abad,lpd
K00027,BJAB0715_00186,0,,abab,
K00029,BJAB0715_02746,0,,abab,
K01783,CbuK_0172,0,,cbc,rpe
K01783,PPUBIRD1_0453,0,,ppb,rpe
K01783,IX88_05475,0,,abaa,
K01807,BJAB0715_02175,0,,abab,
K01807,CbuK_0214,0,,cbc,rpiA
K00615,CBU_1784,0,,cbu,tkt
K00615,CbuG_0163,0,,cbg,tkt
K00615,BDGL_000248,0,,acc,tktA
K00616,IX88_12825,0,,abaa,
K00948,CbuK_0127,0,,cbc,prs
K00948,IX88_06135,0,,abaa,
K00851,IX88_04740,0,,abaa,
K01690,IX88_04725,0,,abaa,
K01625,IX88_04730,0,,abaa,
K01625,CbuK_1139,0,,cbc,eda
K00131,ABD1_04600,0,,abad,
K01647,IX88_16725,0,,abaa,gltA
K01681,ABD1_05220,0,,abad,acnA
K01681,CbuG_0101,0,,cbg,acnA
K01682,ABZJ_02481,0,,abz,
K00031,BJAB0715_02867,0,,abab,
K00031,CbuK_1064,0,,cbc,icd
K00164,ABTW07_3178,0,,abd,sucA
K00164,IX88_16695,0,,abaa,
K00164,CBUD_0594,0,,cbd,sucA
K00658,IX88_16690,0,,abaa,
K00658,CbuK_1470,0,,cbc,sucB
K01902,IX88_16675,0,,abaa,
K01902,CbuK_1468,0,,cbc,sucD
K01903,IX88_16680,0,,abaa,sucC
K01903,CBU_1397,0,,cbu,sucC
K18118,IX88_00920,0,,abaa,
K00239,IX88_16705,0,,abaa,
K00239,CbuG_0612,0,,cbg,sdhA
K00240,IX88_16700,0,,abaa,sdhB
K00240,CbuK_1472,0,,cbc,sdhB
K00241,IX88_16715,0,,abaa,
K00241,CBUD_0590,0,,cbd,sdhC
K00242,IX88_16710,0,,abaa,
K00242,CbuK_1474,0,,cbc,sdhD
K01676,IX88_04705,0,,abaa,
K01679,BJAB0715_02262,0,,abab,
K01679,CbuG_0907,0,,cbg,fumC
K00024,IX88_18070,0,,abaa,
K00024,CbuK_1102,0,,cbc,mdh
K00116,BJAB0715_01039,0,,abab,
K01637,IX88_07055,0,,abaa,
K01638,ABD1_15890,0,,abad,glcB
K00261,IX88_00440,0,,abaa,
K11263,ABLAC_21050,0,,abal,
K03781,ABBFA_002102,0,,abb,
K03781,BJAB0868_01471,0,,abaj,
K03781,ACIAD0451,0,,aci,katA
K03841,ABTW07_3011,0,,abd,fbp
K01595,ABZJ_03840,0,,abz,
K01595,BJAB0868_03698,0,,abaj,
K01610,CBUD_2191,0,,cbd,pckA
K01007,ABTW07_2558,0,,abd,
K01007,IX88_13370,0,,abaa,
K02160,COXBURSA331_A1917,0,,cbs,accB
K02160,IX88_12280,0,,abaa,
K01961,CBUD_0276,0,,cbd,accC
K01961,IX88_12285,0,,abaa,
K01962,IX88_05245,0,,abaa,
K01962,COXBURSA331_A1693,0,,cbs,accA
K01963,IX88_17520,0,,abaa,
K01963,CbuK_0758,0,,cbc,accD
K01847,PP1Y_AT29712,0,,npp,
K00626,BJAB0868_01504,0,,abaj,
K01491,ABZJ_03105,0,,abz,
K01491,CbuG_1693,0,,cbg,folD
