TF,TargetGene,effector,RegulationType,Confidence,Evidence
GENE_GalR1,GENE_ALS1,MET_diacetyl,抑制,0.79,文献支持
GENE_GalR1,GENE_ALS2,MET_diacetyl,抑制,0.94,文献支持
GENE_GalR1,GENE_ALS3,MET_diacetyl,抑制,0.88,文献支持
GENE_GalR2,GENE_ALS1,MET_diacetyl,抑制,0.85,文献支持
GENE_GalR2,GENE_ALS2,MET_diacetyl,抑制,0.74,文献支持
GENE_GalR2,GENE_ALS3,MET_diacetyl,抑制,0.74,文献支持
GENE_LysR1,GENE_ALS1,MET_acetoin,激活,0.76,文献支持
GENE_LysR1,GENE_ALS2,MET_acetoin,激活,0.92,文献支持
GENE_LysR1,GENE_ALS3,MET_acetoin,激活,0.87,文献支持
GENE_LysR2,GENE_ALS1,MET_acetoin,激活,0.89,文献支持
GENE_LysR2,GENE_ALS2,MET_acetoin,激活,0.75,文献支持
GENE_LysR2,GENE_ALS3,MET_acetoin,激活,0.94,文献支持
GENE_AdhR1,GENE_ADH1,MET_acetaldehyde,激活,0.87,文献支持
GENE_AdhR1,GENE_ADH2,MET_acetaldehyde,激活,0.74,文献支持
GENE_AdhR1,GENE_ADH3,MET_acetaldehyde,激活,0.74,文献支持
GENE_AdhR1,GENE_ADH4,MET_acetaldehyde,激活,0.74,文献支持
GENE_AdhR1,GENE_ADH5,MET_acetaldehyde,激活,0.76,文献支持
GENE_AdhR2,GENE_ADH1,MET_acetaldehyde,激活,0.8,文献支持
GENE_AdhR2,GENE_ADH2,MET_acetaldehyde,激活,0.79,文献支持
GENE_AdhR2,GENE_ADH3,MET_acetaldehyde,激活,0.76,文献支持
GENE_AdhR2,GENE_ADH4,MET_acetaldehyde,激活,0.82,文献支持
GENE_AdhR2,GENE_ADH5,MET_acetaldehyde,激活,0.73,文献支持
GENE_AcsR1,GENE_ALD1,MET_acetyl_CoA,抑制,0.67,文献支持
GENE_AcsR1,GENE_PDC1,MET_acetyl_CoA,激活,0.74,文献支持
GENE_AcsR2,GENE_ALD1,MET_acetyl_CoA,抑制,0.71,文献支持
GENE_AcsR2,GENE_PDC1,MET_acetyl_CoA,激活,0.85,文献支持
GENE_FadR1,GENE_FAD1,MET_oleic_acid,激活,0.56,预测
GENE_FadR1,GENE_FAD2,MET_oleic_acid,激活,0.65,预测
GENE_FadR1,GENE_FAD3,MET_oleic_acid,抑制,0.68,预测
GENE_FadR2,GENE_FAD1,MET_oleic_acid,激活,0.51,预测
GENE_FadR2,GENE_FAD2,MET_oleic_acid,激活,0.68,预测
GENE_FadR2,GENE_FAD3,MET_oleic_acid,激活,0.55,预测
GENE_CRP1,GENE_PDC2,,激活,0.52,预测
GENE_CRP1,GENE_MDH1,,抑制,0.83,预测
GENE_CRP1,GENE_MISC002,MET_glucose,抑制,0.84,预测
GENE_CRP1,GENE_ENO4,,抑制,0.78,预测
GENE_CRP1,GENE_ENO3,MET_glucose,激活,0.61,预测
GENE_CRP1,GENE_MDH4,,抑制,0.53,预测
GENE_CRP1,GENE_PROT007,MET_cAMP,抑制,0.74,预测
GENE_CRP1,GENE_PROT015,MET_glucose,激活,0.65,预测
GENE_CRP1,GENE_MISC044,MET_cAMP,激活,0.54,预测
GENE_CRP1,GENE_ENO1,MET_glucose,抑制,0.67,预测
GENE_CRP2,GENE_BCAT2,,抑制,0.51,预测
GENE_CRP2,GENE_AMY029,,激活,0.82,预测
GENE_CRP2,GENE_AMY022,,激活,0.59,预测
GENE_CRP2,GENE_PROT031,MET_glucose,激活,0.73,预测
GENE_CRP2,GENE_CS2,MET_cAMP,激活,0.61,预测
GENE_CRP2,GENE_MISC021,MET_glucose,激活,0.68,预测
GENE_CRP2,GENE_ALD3,MET_cAMP,抑制,0.69,预测
GENE_CRP2,GENE_LIP009,MET_cAMP,抑制,0.56,预测
GENE_CRP2,GENE_SD4,MET_glucose,抑制,0.84,预测
GENE_CRP2,GENE_PROT046,MET_cAMP,激活,0.77,预测
GENE_TF001,GENE_PROT032,MET_citrate,激活,0.87,预测
GENE_TF001,GENE_SL3,MET_succinate,激活,0.85,文献支持
GENE_TF001,GENE_ACS1,MET_galactose,抑制,0.7,预测
GENE_TF001,GENE_PROT021,MET_citrate,激活,0.86,文献支持
GENE_TF001,GENE_LDH1,MET_phenylalanine,抑制,0.44,文献支持
GENE_TF001,GENE_MISC022,MET_aspartate,抑制,0.5,预测
GENE_TF001,GENE_LIP010,MET_aspartate,抑制,0.42,文献支持
GENE_TF002,GENE_AT2,MET_tyrosine,抑制,0.56,预测
GENE_TF002,GENE_PROT022,MET_pyruvate,激活,0.59,预测
