reaction_id,reaction_name,enzyme,substrates,products
RXN_0001,Glycolysis_葡萄糖磷酸化,PRO_HXK1,MET_glucose,MET_G6P
RXN_0002,Glycolysis_G6P异构化,PRO_HXK2,MET_G6P,MET_F6P
RXN_0003,Glycolysis_F6P磷酸化,PRO_PFK1,MET_F6P,MET_F16BP
RXN_0004,Glycolysis_醛缩酶反应,PRO_PFK2,MET_F16BP,MET_GAP
RXN_0005,Glycolysis_GAP脱氢,PRO_PGK1,MET_GAP,MET_BPG
RXN_0006,Glycolysis_BPG转磷酸,PRO_PGK2,MET_BPG,MET_PEP
RXN_0007,Glycolysis_PEP转磷酸,PRO_PYK1,MET_PEP,MET_pyruvate
RXN_0008,TCA_柠檬酸合成,PRO_CS1,MET_acetyl_CoA;MET_oxaloacetate,MET_citrate
RXN_0009,TCA_顺乌头酸酶反应,PRO_ACO1,MET_citrate,MET_isocitrate
RXN_0010,TCA_异柠檬酸脱氢,PRO_IDH1,MET_isocitrate,MET_aKG
RXN_0011,TCA_α-酮戊二酸脱氢,PRO_KGD1,MET_aKG,MET_succinyl_CoA
RXN_0012,TCA_琥珀酰辅酶A合成,PRO_SL1,MET_succinyl_CoA,MET_succinate
RXN_0013,TCA_琥珀酸脱氢,PRO_SD1,MET_succinate,MET_fumarate
RXN_0014,TCA_延胡索酸水合,PRO_FH1,MET_fumarate,MET_malate
RXN_0015,TCA_苹果酸脱氢,PRO_MDH1,MET_malate,MET_oxaloacetate
RXN_0016,Pyruvate_decarboxylation,PRO_PDC1,MET_pyruvate,MET_acetaldehyde;MET_carbon_dioxide
RXN_0017,Ethanol_reduction,PRO_ADH1,MET_acetaldehyde,MET_ethanol
RXN_0018,Lactate_formation,PRO_LDH1,MET_pyruvate,MET_lactate
RXN_0019,Leucine_transamination,PRO_BCAT1,MET_leucine,MET_a_ketoisocaproate
RXN_0020,3_methylbutanal_formation,PRO_PDC2,MET_a_ketoisocaproate,MET_3_methylbutanal
RXN_0021,3_methylbutanol_reduction,PRO_ADH2,MET_3_methylbutanal,MET_3_methylbutanol
RXN_0022,Phenylethanol_formation,PRO_ADH3,MET_phenylacetaldehyde,MET_phenylethanol
RXN_0023,Ethyl_acetate_synthesis,PRO_AAT1,MET_ethanol;MET_acetyl_CoA,MET_ethyl_acetate
RXN_0024,Isoamyl_acetate_synthesis,PRO_AAT2,MET_3_methylbutanol;MET_acetyl_CoA,MET_isoamyl_acetate
RXN_0025,Phenylethyl_acetate_synthesis,PRO_AAT3,MET_phenylethanol;MET_acetyl_CoA,MET_phenylethyl_acetate
RXN_0026,Ethyl_hexanoate_synthesis,PRO_AAT4,MET_ethanol;MET_hexanoic_acid,MET_ethyl_hexanoate
RXN_0027,Acetolactate_synthesis,PRO_ALS1,MET_pyruvate,MET_acetolactate
RXN_0028,Diacetyl_formation,,MET_acetolactate,MET_diacetyl
RXN_0029,Acetoin_reduction,PRO_ALDC1,MET_diacetyl,MET_acetoin
RXN_0030,2_3_butanediol_formation,PRO_BDA1,MET_acetoin,MET_2_3_butanediol
