Gene,T0.0h_Rep1,T0.0h_Rep2,T0.0h_Rep3,T1.2h_Rep1,T1.2h_Rep2,T1.2h_Rep3,T2.4h_Rep1,T2.4h_Rep2,T2.4h_Rep3,T3.7h_Rep1,T3.7h_Rep2,T3.7h_Rep3,T4.9h_Rep1,T4.9h_Rep2,T4.9h_Rep3,T6.1h_Rep1,T6.1h_Rep2,T6.1h_Rep3,T7.3h_Rep1,T7.3h_Rep2,T7.3h_Rep3,T8.5h_Rep1,T8.5h_Rep2,T8.5h_Rep3,T9.8h_Rep1,T9.8h_Rep2,T9.8h_Rep3,T11.0h_Rep1,T11.0h_Rep2,T11.0h_Rep3,T12.2h_Rep1,T12.2h_Rep2,T12.2h_Rep3,T13.4h_Rep1,T13.4h_Rep2,T13.4h_Rep3,T14.6h_Rep1,T14.6h_Rep2,T14.6h_Rep3,T15.9h_Rep1,T15.9h_Rep2,T15.9h_Rep3,T17.1h_Rep1,T17.1h_Rep2,T17.1h_Rep3,T18.3h_Rep1,T18.3h_Rep2,T18.3h_Rep3,T19.5h_Rep1,T19.5h_Rep2,T19.5h_Rep3,T20.7h_Rep1,T20.7h_Rep2,T20.7h_Rep3,T22.0h_Rep1,T22.0h_Rep2,T22.0h_Rep3,T23.2h_Rep1,T23.2h_Rep2,T23.2h_Rep3,T24.4h_Rep1,T24.4h_Rep2,T24.4h_Rep3,T25.6h_Rep1,T25.6h_Rep2,T25.6h_Rep3,T26.8h_Rep1,T26.8h_Rep2,T26.8h_Rep3,T28.1h_Rep1,T28.1h_Rep2,T28.1h_Rep3,T29.3h_Rep1,T29.3h_Rep2,T29.3h_Rep3,T30.5h_Rep1,T30.5h_Rep2,T30.5h_Rep3,T31.7h_Rep1,T31.7h_Rep2,T31.7h_Rep3,T32.9h_Rep1,T32.9h_Rep2,T32.9h_Rep3,T34.2h_Rep1,T34.2h_Rep2,T34.2h_Rep3,T35.4h_Rep1,T35.4h_Rep2,T35.4h_Rep3,T36.6h_Rep1,T36.6h_Rep2,T36.6h_Rep3,T37.8h_Rep1,T37.8h_Rep2,T37.8h_Rep3,T39.1h_Rep1,T39.1h_Rep2,T39.1h_Rep3,T40.3h_Rep1,T40.3h_Rep2,T40.3h_Rep3,T41.5h_Rep1,T41.5h_Rep2,T41.5h_Rep3,T42.7h_Rep1,T42.7h_Rep2,T42.7h_Rep3,T43.9h_Rep1,T43.9h_Rep2,T43.9h_Rep3,T45.2h_Rep1,T45.2h_Rep2,T45.2h_Rep3,T46.4h_Rep1,T46.4h_Rep2,T46.4h_Rep3,T47.6h_Rep1,T47.6h_Rep2,T47.6h_Rep3,T48.8h_Rep1,T48.8h_Rep2,T48.8h_Rep3,T50.0h_Rep1,T50.0h_Rep2,T50.0h_Rep3,T51.3h_Rep1,T51.3h_Rep2,T51.3h_Rep3,T52.5h_Rep1,T52.5h_Rep2,T52.5h_Rep3,T53.7h_Rep1,T53.7h_Rep2,T53.7h_Rep3,T54.9h_Rep1,T54.9h_Rep2,T54.9h_Rep3,T56.1h_Rep1,T56.1h_Rep2,T56.1h_Rep3,T57.4h_Rep1,T57.4h_Rep2,T57.4h_Rep3,T58.6h_Rep1,T58.6h_Rep2,T58.6h_Rep3,T59.8h_Rep1,T59.8h_Rep2,T59.8h_Rep3,T61.0h_Rep1,T61.0h_Rep2,T61.0h_Rep3,T62.2h_Rep1,T62.2h_Rep2,T62.2h_Rep3,T63.5h_Rep1,T63.5h_Rep2,T63.5h_Rep3,T64.7h_Rep1,T64.7h_Rep2,T64.7h_Rep3,T65.9h_Rep1,T65.9h_Rep2,T65.9h_Rep3,T67.1h_Rep1,T67.1h_Rep2,T67.1h_Rep3,T68.3h_Rep1,T68.3h_Rep2,T68.3h_Rep3,T69.6h_Rep1,T69.6h_Rep2,T69.6h_Rep3,T70.8h_Rep1,T70.8h_Rep2,T70.8h_Rep3,T72.0h_Rep1,T72.0h_Rep2,T72.0h_Rep3
bcatA,10.1256,9.5512,9.8806,9.6991,9.6203,9.7545,9.6238,9.2817,9.2516,10.0065,9.6016,9.5419,9.9727,9.8558,10.1804,10.5774,10.2167,10.2949,9.4857,9.6277,9.4259,9.5494,9.4388,9.8269,10.3561,10.2702,10.3337,9.8837,9.9839,10.2438,10.8075,10.2932,10.7903,10.3969,10.2497,10.2678,9.3057,9.9108,9.7034,9.3760,9.8499,9.6240,10.1521,10.3930,10.2762,9.6365,9.4502,9.5927,9.5229,9.2763,9.6542,9.5740,9.3242,9.6134,8.9815,9.5642,9.2234,8.7511,8.4001,8.4843,8.5153,8.8892,9.1842,9.1080,9.0555,8.7638,7.6616,8.0788,7.8573,9.5370,9.3595,9.5883,8.5534,8.4879,8.4489,7.5358,7.2023,7.5529,7.8669,7.7957,7.8250,7.6106,7.5815,7.3785,7.8008,7.6279,7.6431,7.9432,7.9253,7.6001,8.0807,8.0314,7.9047,8.0538,8.0981,7.6019,7.4607,7.4100,7.3960,7.4759,7.5175,7.5602,7.4998,7.5173,7.3389,7.9053,7.8572,7.4672,8.0757,8.1255,8.0688,7.5466,7.6398,7.4374,7.1842,7.1127,7.4685,6.0094,5.3177,5.5243,7.5611,7.6216,7.5803,7.4196,7.2568,7.4338,7.2578,7.6600,7.7934,7.0204,7.1635,7.2177,7.4863,7.3631,7.4048,7.4474,7.3546,7.3155,7.9683,7.6975,7.7516,7.2850,7.5116,7.1114,6.7994,6.8156,6.5797,6.8001,6.8573,7.2806,7.1469,7.0388,7.5119,7.2652,7.6463,7.0128,9.1235,8.8323,9.1040,7.8487,7.7315,7.6929,7.4265,7.2976,7.5075,7.7121,7.7954,7.5520,8.0948,7.8609,7.4008,7.5986,6.8576,7.4127,7.4940,7.6609,7.8553,7.0579,7.0452,6.7829
bcatB,8.8352,8.8042,9.0008,9.0291,9.0730,9.1733,10.0422,10.3104,9.8949,9.9443,9.8361,9.6791,10.4355,10.4922,10.5423,10.1922,10.2866,10.1083,9.6460,9.7993,10.0898,10.2876,10.1598,10.0172,10.6012,10.2450,10.3139,10.1062,10.4373,10.6906,9.4001,9.8316,9.9995,10.3891,10.5747,10.1820,10.2129,9.8136,10.3695,9.6303,9.5911,9.4758,10.0334,9.7775,10.0715,9.5140,9.4691,9.5219,9.4316,9.2811,9.2722,9.2218,8.9126,9.1862,8.7791,8.2418,8.0937,8.3326,8.6686,8.2598,10.3481,10.5916,10.5038,7.8167,7.9064,8.0086,7.7451,7.9295,7.9553,7.4383,6.8666,7.2086,7.1184,7.3382,7.1154,7.5198,7.1454,7.0860,6.2787,6.9065,6.6861,6.8780,6.8776,6.8646,6.7855,6.8765,6.9792,7.4849,7.3807,7.2975,6.3732,6.7218,7.0495,6.3788,6.6902,6.3845,6.5798,6.7016,6.7290,6.4331,6.3520,5.9794,6.6381,6.3173,6.2513,6.3469,6.0507,6.2131,6.4474,6.9684,7.2450,6.6165,6.4342,6.1710,5.6352,5.8549,5.6799,6.4365,5.8217,6.0350,6.0994,6.3451,6.2042,6.5901,6.7883,6.9032,6.7487,6.7664,6.5718,7.0650,6.7494,7.0134,6.9763,6.9314,7.4159,6.4928,6.4968,6.2356,6.7512,6.9358,7.1385,6.1781,6.4421,6.3933,7.4615,6.9854,7.2681,5.8509,5.8072,5.6945,5.5939,5.6079,5.6363,5.6385,5.9964,5.8673,5.9019,5.8199,6.0119,6.6263,6.1909,6.1113,6.2148,6.4351,6.2513,6.5301,6.5344,6.1762,6.2360,6.1317,6.4777,6.7407,6.5486,6.8089,7.7531,7.1614,7.6764,6.7129,6.5754,6.7250
bkdA1,8.2035,7.7862,7.9899,8.7096,8.6571,8.8610,8.7106,8.6816,8.6731,8.7290,8.8894,8.8589,9.2727,8.9233,9.2200,9.1051,9.5329,9.2081,9.4113,9.3724,9.3905,10.1140,9.8024,9.8448,9.8947,9.7521,10.1664,10.3444,10.7218,10.6043,10.9668,10.8641,11.1290,9.7423,10.0745,9.7769,9.6248,9.8119,9.6292,11.3260,11.0395,10.8392,8.0530,7.8788,8.1628,9.8405,9.7310,9.8161,10.1509,9.8464,10.2325,9.5338,9.4943,9.9153,9.1035,9.1860,9.0957,9.2536,9.1774,9.8996,9.6134,9.3921,9.7294,9.1454,9.2145,9.6728,9.2670,9.2825,9.4943,9.3367,10.0005,9.9239,9.4351,8.9903,9.5681,8.8576,8.9857,9.2586,9.1821,9.0881,9.0085,8.5345,7.9851,8.4212,8.6164,8.1868,8.3461,8.0697,7.7109,7.9833,8.2668,8.1504,7.8727,7.4750,7.8791,8.1455,8.4278,8.6301,8.4710,8.2443,8.4425,7.9593,7.1793,7.2385,7.3671,7.8152,8.0462,7.9366,7.3445,7.2462,7.3437,7.0479,7.1187,7.4696,6.8666,6.9011,7.0172,7.1037,7.3282,7.8467,6.5592,7.0816,6.9343,6.9286,6.8848,7.0261,7.7068,7.4113,7.6075,6.7967,6.4398,6.4719,6.2700,6.3570,6.0542,6.6867,6.2021,6.8131,6.7046,6.9871,6.9525,6.1268,6.4345,6.1566,6.2695,6.6665,6.6017,5.8738,5.9351,5.9805,6.3441,6.3126,6.3227,5.3459,5.5626,5.9692,6.0696,5.9959,6.3178,5.4605,5.4929,5.1139,6.1441,5.9683,6.0690,5.7685,6.0752,5.5341,6.2093,6.1056,6.2453,5.0705,5.3881,5.3958,5.1828,5.2532,5.0831,6.1679,5.3548,5.8438
bkdA2,7.4541,7.7320,7.8670,8.7335,8.5282,8.6304,7.7813,7.2792,7.8391,8.8723,9.0129,9.1647,8.7635,8.7062,9.0158,9.3402,9.2658,9.1452,9.4489,9.6783,9.3832,9.4223,9.4428,9.4591,9.4320,9.2389,9.2978,10.2446,10.7013,10.2503,10.1698,9.8899,10.1255,10.2293,9.8971,10.2177,9.9105,10.1945,10.1459,10.9747,10.1844,10.5093,9.6751,10.1390,10.1117,10.1947,9.9888,10.0772,9.5975,9.7167,9.6169,9.5649,9.9090,9.5193,9.8213,9.7947,10.1586,9.4462,9.0804,8.7954,9.4580,9.6440,9.5340,8.9114,9.3491,9.2917,8.8791,9.0175,9.2024,9.1877,8.8281,8.4983,9.3231,9.1982,9.2196,8.6339,8.4416,8.8110,9.4368,9.3294,9.9159,8.9126,8.6601,8.9632,9.1798,9.4781,9.0565,8.2880,8.1361,8.4439,8.5253,8.5495,8.7393,8.3344,8.3941,8.3011,8.0131,8.3275,8.2116,8.3184,8.2217,8.3218,8.3516,7.9715,7.7357,7.2451,7.5851,7.0391,7.7167,7.4177,7.8924,7.4724,7.4622,7.4427,7.2000,7.1091,7.2810,6.8529,6.8696,6.7533,7.0887,6.8857,7.1636,6.6278,6.5719,6.9906,6.7255,6.3043,6.7822,6.5478,6.2874,6.1410,6.8268,6.6623,6.6424,6.5965,6.8128,6.8765,6.6645,6.6907,6.4198,6.7560,6.8504,7.1745,6.3383,5.9803,6.1854,6.1378,6.1491,6.2878,6.4201,6.6269,6.3288,5.3765,5.8998,5.9758,6.0938,6.3896,6.6655,5.9921,5.7223,6.1175,5.5922,5.5858,5.5033,5.2840,5.3369,5.4543,5.0670,5.3682,5.0258,5.5815,5.8710,5.5652,5.8925,6.2425,5.8908,5.7602,6.4256,6.3925
bkdB,7.9789,8.0874,7.8170,7.6449,7.4609,7.5799,8.6106,7.8856,8.5004,8.7905,9.0633,8.9406,9.9342,9.5808,10.0824,9.4048,9.2136,9.4672,8.6957,9.0567,9.1521,10.1728,9.8230,9.7914,8.8849,8.7822,9.3372,9.7033,9.5881,9.5756,10.9299,10.7520,10.8407,9.7435,9.4814,9.4411,9.6298,9.4543,9.0454,9.6068,10.1986,10.0081,9.7175,9.9096,10.0787,10.0227,9.5633,9.5352,9.6172,9.5980,9.8232,9.0590,9.1168,9.5740,9.1074,9.6112,9.3544,9.6315,9.4564,9.5613,9.6422,9.7535,9.4459,9.2920,9.9864,9.3992,9.1962,9.0834,9.3970,8.6488,8.9124,8.9398,8.7503,8.8270,8.8701,9.1451,9.1678,9.0598,9.1372,8.5512,8.8618,8.2358,8.6134,8.2469,8.7007,8.9256,8.5220,8.1899,8.2565,8.3716,8.3424,8.3647,8.1999,8.0119,8.1172,8.2176,8.2011,8.2552,8.1742,7.8388,7.6178,7.9092,8.0926,7.3707,7.7974,7.5272,7.8203,7.4400,6.5487,7.0710,6.7827,7.5111,7.7782,7.6738,7.7018,7.5424,7.7952,6.8290,6.6692,6.3640,7.7149,7.4272,7.4160,6.4557,6.6152,6.6030,6.1561,6.3429,6.6012,6.3224,6.2499,6.6669,7.2516,6.7383,7.0388,6.7143,5.9928,6.5204,6.4247,6.5556,6.6901,7.0983,6.9688,6.4504,6.2992,6.1294,6.1718,6.6302,6.3809,6.2760,5.9346,6.2371,5.8081,5.5479,5.5040,5.5978,6.6147,6.3069,6.5392,6.3042,6.1316,6.1825,6.1733,5.5105,5.8852,5.3944,5.2969,5.4360,5.3965,5.0582,5.2554,5.2515,5.4345,5.7099,5.5461,5.9130,5.6814,5.7754,5.4420,5.7088
lpdA,6.8973,7.3179,6.9728,7.3657,7.3823,7.4077,7.4158,7.2228,7.3425,7.7062,7.5080,7.6974,7.8554,7.9374,8.1123,7.5161,7.6793,7.6056,8.1546,8.3884,8.4556,8.2130,8.3869,8.4128,8.5179,8.5552,8.6547,8.5934,8.5807,8.2460,8.0144,7.9660,8.1012,8.9988,8.5937,8.8387,9.0666,9.0844,8.8902,8.6010,8.7114,8.6402,8.5856,8.8211,8.3684,9.2155,8.9352,9.3298,8.4174,8.4311,8.2335,8.3585,8.4000,8.9951,8.8867,8.8269,9.2422,8.6618,8.6870,8.7590,8.8784,8.6382,8.6600,9.5351,9.1908,9.4346,8.4200,8.3522,8.3340,9.6673,9.2114,9.0995,9.2321,9.3067,9.6664,9.9952,9.2273,9.4071,9.4731,9.5375,9.1632,9.2897,9.6187,9.6180,9.5226,10.2186,9.5709,9.0864,9.2666,9.1001,9.4428,9.1772,9.3010,9.0176,9.1535,8.7920,9.3316,9.3530,9.2330,8.8038,8.7898,9.0154,8.9229,8.7684,8.6695,8.7626,8.5388,8.8635,8.6257,8.4707,8.3022,8.0951,7.8957,7.8393,8.0134,8.1333,7.8540,8.4777,8.7340,8.6666,7.5200,7.9648,7.4259,8.0426,7.9026,7.7924,8.2175,8.1929,8.3826,8.1237,7.7535,7.7632,7.3051,6.8358,7.2343,6.9330,6.9455,7.3199,7.0842,6.8944,7.1169,7.1080,6.9596,6.7952,7.2344,6.9351,6.9001,6.8131,7.1365,6.8008,6.9819,6.6768,6.8017,7.1920,7.0020,6.9380,7.5093,7.2235,7.2962,6.9673,7.1401,7.0722,6.5979,6.9173,6.2740,6.4720,6.5375,6.5470,6.8870,6.7419,6.9070,6.6325,6.5367,6.2206,7.2385,7.6922,7.6493,6.4380,6.5714,6.7539
ilvE,7.3133,7.9443,7.2708,8.9498,8.8069,8.7983,8.1745,8.1804,8.6206,8.1097,7.8651,8.4775,8.2475,8.4870,8.3494,9.0378,8.5254,8.9439,9.2103,9.4152,9.1699,8.9148,8.6470,9.0572,8.2786,8.2811,8.4261,9.4506,9.6142,9.6826,9.0767,8.6983,8.7585,9.1228,8.5292,8.7909,9.0809,8.3498,8.8746,9.2021,8.6294,8.8241,8.3298,8.3350,8.3212,8.5573,8.9025,8.4144,8.1684,8.1160,8.1249,8.7527,8.8845,8.7454,7.5368,7.7240,7.1437,8.3224,8.0005,8.2547,8.2979,8.3109,8.2462,7.8081,7.4868,7.7216,7.2851,7.3281,7.2023,8.1241,8.1560,7.5394,7.8116,7.3450,7.6223,7.4527,7.4612,7.5472,7.3221,7.3049,7.5327,8.0533,7.5480,7.8494,7.2971,7.1689,7.6116,6.8668,6.7032,6.9011,6.5826,6.9988,7.2887,6.4027,5.8902,6.5392,7.4254,6.9234,7.4304,6.5656,7.0407,6.9677,7.8151,7.9125,8.1269,7.4928,7.8894,7.6970,7.7525,7.2184,7.4694,7.7488,7.2799,7.3236,7.4524,7.3365,7.3553,6.9545,7.3423,6.8756,7.0907,7.1065,7.2560,7.4497,7.1185,7.1748,6.7471,7.1763,6.6536,6.0128,6.3573,6.2013,7.4635,7.1835,6.9639,7.1684,7.1141,7.1687,6.5539,7.0948,6.6350,7.2163,6.9701,6.8799,6.6348,6.4394,6.7602,7.1989,7.1371,7.0439,7.2525,6.9812,7.0957,7.2704,7.5391,7.2595,7.6634,8.0556,7.5421,7.9835,7.5934,7.7797,7.2437,7.6643,7.3553,7.7063,7.7210,7.4244,7.5822,8.0877,7.8814,7.6653,7.4367,7.0627,7.3053,7.0544,6.8928,6.7492,6.7227,6.9424
leuA,6.4006,6.3114,6.2256,7.0001,7.0750,6.6943,6.8721,7.5395,7.0961,7.6053,7.6077,7.7016,7.8097,7.1191,7.3850,7.5219,7.9024,7.6669,7.5320,7.6900,7.9824,7.2014,7.3055,7.3540,8.1375,7.7669,8.1479,8.2241,7.9034,8.3170,8.4135,8.3798,8.0234,8.6080,8.6222,8.4663,8.2389,8.6785,8.6355,8.2141,8.4402,8.0945,8.2264,8.2894,8.2599,9.3789,9.2488,9.0396,8.5994,8.6432,8.8865,9.3071,9.0353,9.6367,9.0870,9.2093,9.1319,8.6751,9.0713,9.3274,8.7652,8.5045,8.5746,8.9495,8.4002,8.8924,8.7164,8.8670,8.5819,9.6325,9.6642,9.9096,9.6874,9.9825,9.9492,9.6984,9.6569,9.9496,10.1676,9.9115,10.1884,10.2347,9.9313,9.6741,10.2012,10.1464,9.9742,10.0917,9.7826,9.9214,10.3047,10.2042,10.5936,9.6126,9.6291,9.3789,8.9408,9.3519,9.0366,9.5391,9.5134,9.6683,9.4842,9.5357,9.7814,9.5608,9.3362,9.2509,9.9850,10.2601,10.3441,9.6043,9.8495,9.5452,9.7590,10.1345,9.8074,9.7207,9.8776,10.0221,10.1801,10.1672,10.3378,9.9499,10.1533,10.1298,9.0863,8.8063,9.4817,9.8787,10.1506,9.6499,10.4309,10.2274,10.5035,10.2704,10.3066,10.0121,10.4535,10.5096,10.4319,10.0388,10.0162,9.4845,9.8775,10.1460,10.2424,10.3769,10.3831,10.3480,9.5517,9.7630,9.6723,9.5579,9.5851,9.9754,9.9507,10.4148,10.1020,9.5034,9.4240,9.4855,10.1934,10.5096,10.5058,9.9621,9.8540,9.1544,9.4545,9.5693,9.3780,9.8215,9.2278,9.4127,9.8971,9.6679,9.7556,9.7343,9.8579,10.0561
leuB,6.6081,6.7243,6.6503,7.6897,7.6720,7.8221,7.9892,7.6066,7.6857,7.2486,7.1548,8.0049,7.9773,7.5977,7.8823,8.2255,8.1445,7.8003,8.0771,8.0712,7.9413,9.5258,9.0879,8.9266,8.5725,8.3169,8.6782,8.1892,8.1871,7.9526,8.1476,8.1858,7.8517,8.5893,8.4341,8.7151,9.0196,8.5535,8.9952,9.2374,9.1071,8.8166,9.7968,9.8383,10.1631,8.3243,8.6307,8.9804,9.2279,9.3227,9.2733,9.2737,9.0101,8.8461,9.9064,9.5666,10.0041,8.9204,8.9261,9.1348,9.0666,9.1370,9.4223,9.4934,9.3243,9.4238,9.2459,8.8587,9.1640,9.9208,10.4325,10.3211,9.8419,9.6761,9.2725,9.2423,9.3571,9.4159,8.9109,9.4090,9.2274,8.3813,8.6139,8.1447,9.0888,9.1548,9.0245,9.9956,9.7122,9.8379,8.5950,8.8301,8.4773,9.0226,8.9106,8.2355,9.4798,9.2342,9.2553,9.2442,9.1097,8.8989,9.1210,9.5754,9.1070,9.4137,9.8912,9.7583,9.8678,9.8540,10.0908,9.5861,9.8477,9.8431,9.8124,10.0403,9.7258,9.1662,8.9427,9.6525,8.6879,9.1115,8.8094,9.6781,10.1191,9.4429,9.6531,10.0462,10.2254,9.7966,9.8397,10.1313,9.6782,10.3470,10.1759,10.3109,9.7654,10.2040,9.3606,9.4275,9.5416,10.0189,9.8893,9.4851,10.9526,10.6240,10.4793,9.8925,9.9072,9.7037,9.1489,9.3729,9.6740,10.5014,10.0198,10.3270,9.5036,9.1792,9.4729,10.4350,10.1614,10.1393,9.9221,9.6030,9.6301,9.5775,9.4682,9.0822,9.6939,9.9136,10.0245,9.4175,9.4173,9.2323,9.5988,9.5615,9.7552,9.7498,9.6617,9.2747
leuC,6.5231,6.4373,6.4329,7.1477,7.2748,7.1611,7.6427,7.6931,7.6391,7.8497,8.1281,7.5881,7.7970,7.6971,7.8526,8.5806,8.2726,8.5308,8.2511,8.3916,8.4730,8.7341,8.6695,8.7519,8.7221,8.9502,9.1303,8.9763,8.9703,8.8642,9.0023,9.1959,9.3551,8.3073,8.5317,8.6725,9.2006,9.2569,8.9120,10.1294,9.8332,9.5399,9.4665,8.9080,9.4129,8.7280,8.7704,8.9634,9.6932,10.2505,9.9272,9.4793,9.6215,9.5335,8.8408,8.7321,8.9031,9.4398,9.9431,9.9516,8.7190,8.4399,8.1015,9.1776,9.3536,8.9312,9.3034,9.4160,9.1672,8.9249,9.0867,9.0234,9.0173,8.5829,8.6052,8.8429,8.5907,8.6485,9.1043,8.9880,9.1860,9.2488,9.1796,9.4598,9.2699,9.0364,9.3296,9.6229,9.8197,9.8544,9.8095,9.6103,9.7198,9.1964,9.7081,9.4128,9.6622,9.4233,9.6857,9.5601,9.3054,9.4575,9.1432,9.2879,9.2677,9.2804,9.4435,9.6772,8.7965,9.3146,8.8539,9.6532,9.7294,9.1997,9.5908,9.6257,9.6801,9.4247,9.2037,9.4756,9.4878,10.1968,9.8925,9.2131,9.4149,9.3827,8.7190,9.1130,8.8257,9.2956,9.3217,9.5817,8.8832,9.5615,9.5257,9.4251,9.5999,9.7218,10.1645,10.1287,10.0580,9.3806,9.1888,9.5330,9.8147,9.6188,10.0337,10.1546,9.6509,10.1459,9.7334,9.3728,9.4824,10.8962,10.7056,10.4442,9.8484,9.8267,9.9056,9.6714,9.7048,9.9084,8.9324,9.1952,9.0565,9.8535,9.6814,9.8494,9.0342,9.1914,9.2569,9.2617,9.1617,8.9786,9.1158,9.1813,9.1709,9.7720,9.7070,9.2579
