ID,geneName,ORF,Entrez,fullName,uniprot,GO,EC,KO,pfam,organism
B5DEN4,Ldha,,24533,L-lactate dehydrogenase,B5DEN4,GO:0005737; GO:0004459; GO:0005975; GO:0019752,1.1.1.27,K00016,B5DEN4:Ldh_1_N(22|160)+Ldh_1_C(164|324),Rattus norvegicus
P42123,Ldhb,,24534,L-lactate dehydrogenase B chain,P42123,GO:0005737; GO:0042802; GO:0019900; GO:0004459; GO:0004457; GO:0051287; GO:0005975; GO:0006089; GO:0019674,1.1.1.27,K00016,,Rattus norvegicus
Q5XIJ3,Idh3g,,25179,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",Q5XIJ3,GO:0005739; GO:0005730; GO:0005654; GO:0004449; GO:0000287; GO:0051287; GO:0006099,,K00030,Q5XIJ3:Iso_dh(56|379),Rattus norvegicus
B0BN46,Grhpr,rCG_54768,680021,Glyoxylate and hydroxypyruvate reductase,B0BN46,GO:0005829; GO:0031406; GO:0008465; GO:0030267; GO:0016618; GO:0051287; GO:0050661; GO:0070402; GO:0016616; GO:0042803; GO:0043648; GO:0007588; GO:0046487; GO:0051259,,K00049,B0BN46|E9PSJ6:2-Hacid_dh(16|332)+2-Hacid_dh_C(123|302),Rattus norvegicus
E9PSJ6,Grhpr,rCG_54768,680021,Glyoxylate and hydroxypyruvate reductase,E9PSJ6,GO:0005829; GO:0031406; GO:0008465; GO:0030267; GO:0016618; GO:0051287; GO:0050661; GO:0070402; GO:0016616; GO:0042803; GO:0043648; GO:0007588; GO:0046487; GO:0051259,,K00049,B0BN46|E9PSJ6:2-Hacid_dh(16|332)+2-Hacid_dh_C(123|302),Rattus norvegicus
P12711,Adh5,,100145871,Alcohol dehydrogenase class-3,P12711,GO:0005737; GO:0005829; GO:0005634; GO:0004022; GO:0004024; GO:0051903; GO:0008270; GO:0007568; GO:0006068; GO:0006069; GO:0046294,1.1.1.1; 1.1.1.-; 1.1.1.284,K00121,,Rattus norvegicus
Q5XIF8,Adh5,,100145871,Alcohol dehydrogenase class-3,Q5XIF8,GO:0005737; GO:0005829; GO:0005634; GO:0004022; GO:0004024; GO:0051903; GO:0008270; GO:0007568; GO:0006068; GO:0006069; GO:0046294,1.1.1.1; 1.1.1.-; 1.1.1.284,K00121,,Rattus norvegicus
G3V7J0,Aldh6a1,rCG_20746,81708,"Aldehyde dehydrogenase family 6, subfamily A1, isoform CRA_b",G3V7J0,GO:0005739; GO:0005654; GO:0004491; GO:0050873; GO:0006210; GO:0006574,,K00140,G3V7J0:Aldedh(48|512),Rattus norvegicus
A0A0G2JSI1,Aldh9a1,,64040,4-trimethylaminobutyraldehyde dehydrogenase,A0A0G2JSI1,GO:0016620,,K00149,A0A0G2JSI1:Aldedh(27|483),Rattus norvegicus
Q4FZZ4,Pdha1,rCG_36458,29554,Pyruvate dehydrogenase E1 component subunit alpha,Q4FZZ4,GO:0043231; GO:0004739; GO:0006086,1.2.4.1,K00161,Q4FZZ4:E1_dh(67|360),Rattus norvegicus
