id,name,type
GENE_HXK1,Hexokinase,gene
GENE_HXK2,Hexokinase,gene
GENE_HXK3,Hexokinase,gene
GENE_HXK4,Hexokinase,gene
GENE_HXK5,Hexokinase,gene
GENE_PFK1,Phosphofructokinase,gene
GENE_PFK2,Phosphofructokinase,gene
GENE_PFK3,Phosphofructokinase,gene
GENE_PFK4,Phosphofructokinase,gene
GENE_PGK1,Phosphoglycerate_kinase,gene
GENE_PGK2,Phosphoglycerate_kinase,gene
GENE_PGK3,Phosphoglycerate_kinase,gene
GENE_PGK4,Phosphoglycerate_kinase,gene
GENE_ENO1,Enolase,gene
GENE_ENO2,Enolase,gene
GENE_ENO3,Enolase,gene
GENE_ENO4,Enolase,gene
GENE_PYK1,Pyruvate_kinase,gene
GENE_PYK2,Pyruvate_kinase,gene
GENE_PYK3,Pyruvate_kinase,gene
GENE_PYK4,Pyruvate_kinase,gene
GENE_CS1,Citrate_synthase,gene
GENE_CS2,Citrate_synthase,gene
GENE_CS3,Citrate_synthase,gene
GENE_ACO1,Aconitase,gene
GENE_ACO2,Aconitase,gene
GENE_ACO3,Aconitase,gene
GENE_IDH1,Isocitrate_dehydrogenase,gene
GENE_IDH2,Isocitrate_dehydrogenase,gene
GENE_IDH3,Isocitrate_dehydrogenase,gene
GENE_IDH4,Isocitrate_dehydrogenase,gene
GENE_KGD1,Alpha_ketoglutarate_dehydrogenase,gene
GENE_KGD2,Alpha_ketoglutarate_dehydrogenase,gene
GENE_KGD3,Alpha_ketoglutarate_dehydrogenase,gene
GENE_SL1,Succinyl_CoA_synthetase,gene
GENE_SL2,Succinyl_CoA_synthetase,gene
GENE_SL3,Succinyl_CoA_synthetase,gene
GENE_SD1,Succinate_dehydrogenase,gene
GENE_SD2,Succinate_dehydrogenase,gene
GENE_SD3,Succinate_dehydrogenase,gene
GENE_SD4,Succinate_dehydrogenase,gene
GENE_FH1,Fumarase,gene
GENE_FH2,Fumarase,gene
GENE_FH3,Fumarase,gene
GENE_MDH1,Malate_dehydrogenase,gene
GENE_MDH2,Malate_dehydrogenase,gene
GENE_MDH3,Malate_dehydrogenase,gene
GENE_MDH4,Malate_dehydrogenase,gene
GENE_BCAT1,Branched_chain_amino_acid_transaminase,gene
GENE_BCAT2,Branched_chain_amino_acid_transaminase,gene
GENE_BCAT3,Branched_chain_amino_acid_transaminase,gene
GENE_PDC1,Pyruvate_decarboxylase,gene
GENE_PDC2,Pyruvate_decarboxylase,gene
GENE_PDC3,Pyruvate_decarboxylase,gene
GENE_PDC4,Pyruvate_decarboxylase,gene
