,x1,x2,x3,x4
0,1.9989359,0.1013619,0.5001667,1.0003333
0.0005,1.9978736,0.1027224,0.5003333,1.0006667
0.001,1.9968128,0.1040817,0.5005,1.001
0.0015,1.9957537,0.1054398,0.5006667,1.0013333
0.002,1.9946961,0.1067966,0.5008333,1.0016667
0.0025,1.9936401,0.1081522,0.501,1.002
0.003,1.9925856,0.1095067,0.5011667,1.0023333
0.0035,1.9915328,0.1108599,0.5013333,1.0026667
0.004,1.9904815,0.1122119,0.5015,1.003
0.0045,1.9894318,0.1135626,0.5016667,1.0033333
0.005,1.9883837,0.1149122,0.5018333,1.0036667
0.0055,1.9873371,0.1162606,0.502,1.004
0.006,1.9862921,0.1176077,0.5021667,1.0043333
0.0065,1.9852487,0.1189537,0.5023333,1.0046667
0.007,1.9842068,0.1202984,0.5025,1.005
0.0075,1.9831665,0.1216419,0.5026667,1.0053333
0.008,1.9821277,0.1229842,0.5028333,1.0056667
0.0085,1.9810906,0.1243253,0.503,1.006
0.009,1.9800549,0.1256652,0.5031667,1.0063333
0.0095,1.9790209,0.1270039,0.5033333,1.0066667
0.01,1.9779883,0.1283414,0.5035,1.007
0.0105,1.9769574,0.1296777,0.5036667,1.0073333
0.011,1.9759279,0.1310128,0.5038333,1.0076667
0.0115,1.9749001,0.1323467,0.504,1.008
0.012,1.9738738,0.1336794,0.5041667,1.0083333
0.0125,1.972849,0.135011,0.5043333,1.0086667
0.013,1.9718257,0.1363413,0.5045,1.009
0.0135,1.9708041,0.1376704,0.5046667,1.0093333
0.014,1.9697839,0.1389983,0.5048333,1.0096667
0.0145,1.9687653,0.140325,0.505,1.01
0.015,1.9677482,0.1416506,0.5051667,1.0103333
0.0155,1.9667327,0.1429749,0.5053333,1.0106667
0.016,1.9657187,0.1442981,0.5055,1.011
0.0165,1.9647062,0.1456201,0.5056667,1.0113333
0.017,1.9636953,0.1469408,0.5058333,1.0116667
0.0175,1.9626859,0.1482604,0.506,1.012
0.018,1.961678,0.1495788,0.5061667,1.0123333
0.0185,1.9606717,0.1508961,0.5063333,1.0126667
0.019,1.9596669,0.1522121,0.5065,1.013
0.0195,1.9586636,0.153527,0.5066667,1.0133333
0.02,1.9576618,0.1548406,0.5068333,1.0136667
0.0205,1.9566615,0.1561531,0.507,1.014
0.021,1.9556628,0.1574645,0.5071667,1.0143333
0.0215,1.9546656,0.1587746,0.5073333,1.0146667
0.022,1.9536699,0.1600836,0.5075,1.015
0.0225,1.9526757,0.1613913,0.5076667,1.0153333
0.023,1.951683,0.1626979,0.5078333,1.0156667
0.0235,1.9506919,0.1640034,0.508,1.016
0.024,1.9497022,0.1653076,0.5081667,1.0163333
0.0245,1.9487141,0.1666107,0.5083333,1.0166667
0.025,1.9477274,0.1679126,0.5085,1.017
0.0255,1.9467423,0.1692134,0.5086667,1.0173333
0.026,1.9457587,0.170513,0.5088333,1.0176667
0.0265,1.9447766,0.1718114,0.509,1.018
0.027,1.9437959,0.1731086,0.5091667,1.0183333
0.0275,1.9428168,0.1744047,0.5093333,1.0186667
0.028,1.9418392,0.1756996,0.5095,1.019
0.0285,1.9408631,0.1769933,0.5096667,1.0193333
0.029,1.9398884,0.1782859,0.5098333,1.0196667
0.0295,1.9389153,0.1795773,0.51,1.02
0.03,1.9379436,0.1808676,0.5101667,1.0203333
0.0305,1.9369735,0.1821567,0.5103333,1.0206667
0.031,1.9360048,0.1834446,0.5105,1.021
0.0315,1.9350376,0.1847314,0.5106667,1.0213333
0.032,1.9340719,0.186017,0.5108333,1.0216667
0.0325,1.9331077,0.1873014,0.511,1.022
0.033,1.9321449,0.1885847,0.5111667,1.0223333
0.0335,1.9311837,0.1898669,0.5113333,1.0226667
0.034,1.9302239,0.1911479,0.5115,1.023
0.0345,1.9292656,0.1924277,0.5116667,1.0233333
0.035,1.9283088,0.1937064,0.5118333,1.0236667
0.0355,1.9273534,0.194984,0.512,1.024
0.036,1.9263995,0.1962603,0.5121667,1.0243333
0.0365,1.9254471,0.1975356,0.5123333,1.0246667
0.037,1.9244962,0.1988097,0.5125,1.025
0.0375,1.9235467,0.2000826,0.5126667,1.0253333
0.038,1.9225987,0.2013544,0.5128333,1.0256667
0.0385,1.9216522,0.2026251,0.513,1.026
0.039,1.9207071,0.2038946,0.5131667,1.0263333
0.0395,1.9197635,0.2051629,0.5133333,1.0266667
0.04,1.9188214,0.2064302,0.5135,1.027
0.0405,1.9178807,0.2076963,0.5136667,1.0273333
0.041,1.9169414,0.2089612,0.5138333,1.0276667
0.0415,1.9160037,0.210225,0.514,1.028
0.042,1.9150674,0.2114877,0.5141667,1.0283333
0.0425,1.9141325,0.2127492,0.5143333,1.0286667
0.043,1.9131991,0.2140096,0.5145,1.029
0.0435,1.9122671,0.2152688,0.5146667,1.0293333
0.044,1.9113366,0.216527,0.5148333,1.0296667
0.0445,1.9104075,0.2177839,0.515,1.03
0.045,1.9094799,0.2190398,0.5151667,1.0303333
0.0455,1.9085537,0.2202945,0.5153333,1.0306667
0.046,1.907629,0.2215481,0.5155,1.031
0.0465,1.9067057,0.2228006,0.5156667,1.0313333
0.047,1.9057838,0.2240519,0.5158333,1.0316667
0.0475,1.9048634,0.2253021,0.516,1.032
0.048,1.9039445,0.2265512,0.5161667,1.0323333
0.0485,1.9030269,0.2277992,0.5163333,1.0326667
0.049,1.9021108,0.229046,0.5165,1.033
0.0495,1.9011961,0.2302917,0.5166667,1.0333333
0.05,1.9002829,0.2315363,0.5168333,1.0336667
0.0505,1.8993711,0.2327797,0.517,1.034
0.051,1.8984607,0.2340221,0.5171667,1.0343333
0.0515,1.8975517,0.2352633,0.5173333,1.0346667
0.052,1.8966442,0.2365034,0.5175,1.035
0.0525,1.8957381,0.2377424,0.5176667,1.0353333
0.053,1.8948334,0.2389803,0.5178333,1.0356667
0.0535,1.8939301,0.240217,0.518,1.036
0.054,1.8930283,0.2414526,0.5181667,1.0363333
0.0545,1.8921278,0.2426872,0.5183333,1.0366667
0.055,1.8912288,0.2439206,0.5185,1.037
0.0555,1.8903312,0.2451529,0.5186667,1.0373333
0.056,1.889435,0.246384,0.5188333,1.0376667
0.0565,1.8885403,0.2476141,0.519,1.038
0.057,1.8876469,0.2488431,0.5191667,1.0383333
0.0575,1.8867549,0.2500709,0.5193333,1.0386667
0.058,1.8858644,0.2512977,0.5195,1.039
0.0585,1.8849752,0.2525233,0.5196667,1.0393333
0.059,1.8840875,0.2537478,0.5198333,1.0396667
0.0595,1.8832012,0.2549713,0.52,1.04
0.06,1.8823162,0.2561936,0.5201667,1.0403333
0.0605,1.8814327,0.2574148,0.5203333,1.0406667
0.061,1.8805506,0.2586349,0.5205,1.041
0.0615,1.8796698,0.259854,0.5206667,1.0413333
0.062,1.8787905,0.2610719,0.5208333,1.0416667
0.0625,1.8779126,0.2622887,0.521,1.042
0.063,1.877036,0.2635044,0.5211667,1.0423333
0.0635,1.8761608,0.264719,0.5213333,1.0426667
0.064,1.8752871,0.2659326,0.5215,1.043
0.0645,1.8744147,0.267145,0.5216667,1.0433333
0.065,1.8735437,0.2683563,0.5218333,1.0436667
0.0655,1.8726741,0.2695666,0.522,1.044
0.066,1.8718059,0.2707757,0.5221667,1.0443333
0.0665,1.870939,0.2719838,0.5223333,1.0446667
0.067,1.8700736,0.2731908,0.5225,1.045
0.0675,1.8692095,0.2743966,0.5226667,1.0453333
0.068,1.8683468,0.2756014,0.5228333,1.0456667
0.0685,1.8674855,0.2768051,0.523,1.046
0.069,1.8666255,0.2780077,0.5231667,1.0463333
0.0695,1.865767,0.2792093,0.5233333,1.0466667
0.07,1.8649098,0.2804097,0.5235,1.047
0.0705,1.8640539,0.2816091,0.5236667,1.0473333
0.071,1.8631995,0.2828073,0.5238333,1.0476667
0.0715,1.8623464,0.2840045,0.524,1.048
0.0720000000000001,1.8614947,0.2852006,0.5241667,1.0483333
0.0725000000000001,1.8606443,0.2863957,0.5243333,1.0486667
